SOSR_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SOSR501,6438,24194,87476,100009,85594,58477,11861,813,41,374911,18835,20013,20255,14658,12805,14524,10441,2040,147,113715,862,1230,3656,3578,3215,3323,1087,132,17,17111,392,1154,2734,1972,1385,871,280,93,27,8898,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,1355,2752,4371,3385,3338,2893,511,34,3,18639,4574,2020,1483,703,722,985,566,63,4,11123,5932,4773,5854,4091,4068,3876,1081,95,6,29765,32462,51363,119970,124304,107064,81068,24752,3169,242,544400,26089,9131,11053,9802,11657,21311,55711,39333,13274,197371,2100,2841,6903,6216,5019,3897,3147,2731,1833,34678,60648,63332,137925,140322,123749,106272,83614,45232,15345,776449,2687,17997,58794,51657,53146,33028,5127,193,4,222641,24591,26420,41813,52783,43503,34165,11244,1144,59,235729,927,1583,7637,5196,2849,3227,932,105,5,22472,443,919,1828,1230,1046,674,219,78,37,6479,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,859,1482,2522,2235,2185,1411,139,11,0,10837,4619,1965,2810,2996,2160,1769,369,27,3,16712,5476,3449,5329,5229,4341,3184,508,36,7,27552
SOSR511,375,1023,2778,3194,3055,2351,449,21,0,13243,699,336,478,401,386,456,346,55,3,3157,46,59,142,129,167,170,49,7,0,773,17,24,82,58,53,27,5,4,0,279,1143,1446,3479,3782,3662,3005,846,82,4,17452,69,96,144,116,105,83,16,0,0,632,108,39,49,17,33,32,16,3,0,305,182,135,193,135,135,118,31,3,0,934,1320,1582,3670,3917,3797,3125,876,85,4,18386,889,239,460,518,485,950,2338,1605,483,7963,83,109,243,212,210,174,158,97,75,1356,2294,1933,4376,4645,4493,4249,3369,1790,561,27709,219,680,1515,1499,1921,1175,122,5,0,7136,992,564,1402,2060,1766,1361,434,36,0,8611,55,73,248,148,125,135,24,6,0,823,21,32,39,47,35,15,8,0,0,208,1290,1351,3211,3750,3844,2691,588,42,3,16784,55,44,73,58,59,56,9,0,0,347,155,54,89,94,87,53,12,4,0,540,207,100,162,154,144,111,18,4,0,889
SOSR512,730,1695,4537,4746,4768,3801,806,58,5,21160,1136,520,774,714,702,989,661,118,14,5619,65,94,195,219,271,298,82,17,6,1246,39,74,140,92,94,67,20,10,3,537,1968,2383,5649,5767,5837,5150,1567,203,23,28560,95,139,199,160,159,127,22,0,0,894,172,48,78,56,37,71,35,0,0,496,269,180,275,214,198,198,56,0,0,1395,2240,2565,5925,5981,6040,5350,1624,202,23,29955,1218,429,767,708,808,1489,3892,2781,981,13075,270,254,699,699,616,629,464,283,130,4032,3722,3255,7389,7385,7462,7471,5974,3262,1137,47058,422,1183,2512,2627,3286,2152,344,13,0,12536,1520,856,2079,2759,2618,2298,776,76,0,12983,71,97,383,215,215,263,66,15,0,1328,24,42,75,60,84,47,16,11,5,360,2033,2176,5049,5663,6200,4768,1199,104,11,27205,56,74,74,80,90,50,7,0,0,434,148,59,104,107,88,112,12,0,0,633,202,129,180,188,184,166,22,0,0,1072
SOSR513,368,1000,3711,4203,3524,2399,463,25,0,15697,501,189,443,435,381,410,250,46,3,2658,35,45,255,299,277,299,122,28,0,1366,19,36,147,123,59,51,14,3,0,451,922,1277,4550,5063,4236,3167,846,102,5,20171,63,88,96,86,87,78,12,0,0,517,92,24,20,22,23,18,13,0,0,217,158,117,115,117,110,99,23,5,0,733,1076,1392,4671,5177,4349,3263,871,103,5,20902,681,200,360,323,385,769,1904,1002,180,5797,273,366,1210,1328,1221,985,422,189,48,6037,2025,1958,6234,6824,5957,5016,3191,1288,231,32740,211,691,2418,2191,1999,1225,213,5,0,8955,607,371,1337,1695,1061,797,250,34,0,6157,30,90,396,242,197,247,97,6,0,1308,31,35,102,57,37,38,6,4,0,312,880,1191,4250,4192,3297,2302,562,52,3,16732,44,43,77,62,60,33,6,0,0,321,68,35,91,70,39,43,9,0,0,346,108,75,169,136,99,74,16,0,0,671
SOSR514,122,294,866,1112,1010,713,171,7,0,4297,245,107,236,191,219,258,175,31,0,1461,22,9,45,75,79,82,14,0,0,334,19,13,34,26,24,9,8,3,0,130,406,427,1177,1399,1335,1060,367,43,5,6221,25,30,65,50,38,35,7,0,0,248,25,13,9,11,15,14,6,0,0,92,51,45,75,61,53,51,11,0,0,340,456,468,1250,1465,1383,1114,378,41,5,6564,328,71,109,142,178,388,1110,631,184,3140,74,50,154,145,149,127,104,77,35,920,856,595,1518,1751,1709,1620,1593,756,221,10618,70,173,483,553,640,381,57,3,0,2355,296,159,523,875,748,555,197,22,0,3369,19,16,70,88,50,56,17,3,0,330,6,9,17,26,14,12,4,0,0,84,388,354,1101,1543,1454,999,277,31,0,6139,20,7,40,16,23,26,0,0,0,133,33,8,22,29,29,30,5,0,0,156,53,13,56,45,59,51,8,0,0,284
SOSR515,463,1237,3746,3746,3824,2991,712,68,0,16781,595,280,570,492,572,791,507,110,9,3931,60,64,262,319,332,414,181,18,3,1656,37,66,138,117,96,71,22,17,5,562,1153,1644,4715,4680,4819,4270,1422,219,14,22937,66,116,161,119,152,141,24,3,0,777,94,31,36,41,32,60,29,3,3,325,158,141,198,155,187,203,46,8,3,1106,1317,1794,4914,4835,5002,4476,1472,220,18,24039,1016,291,451,514,682,1462,4027,2383,663,11490,321,320,851,817,869,727,527,280,123,4847,2651,2402,6217,6165,6560,6667,6025,2885,804,40378,242,807,2176,2069,2249,1630,314,18,0,9506,778,494,1591,1980,1730,1602,524,73,5,8780,45,100,393,263,283,387,109,9,0,1596,41,41,63,62,65,48,27,14,0,369,1113,1444,4222,4375,4326,3667,976,114,7,20248,43,59,80,72,83,60,3,0,0,399,92,40,79,108,78,80,20,6,0,494,136,94,157,180,163,138,22,6,0,890
SOSR521,176,443,1295,1333,1446,1373,356,25,3,6435,165,112,189,196,210,340,205,55,3,1467,24,22,100,83,104,186,72,6,0,606,22,19,55,45,61,48,14,8,0,275,382,593,1636,1659,1824,1943,639,90,12,8788,20,44,88,66,71,76,15,0,0,379,22,11,10,14,18,20,10,0,0,119,41,56,100,78,92,93,28,0,0,494,428,649,1735,1738,1912,2039,670,98,12,9284,447,172,288,323,406,757,1866,1002,262,5529,92,154,509,477,543,482,326,185,42,2817,975,976,2531,2545,2865,3280,2863,1281,317,17631,88,234,710,672,854,684,144,14,0,3401,218,163,507,690,678,692,221,33,0,3203,22,28,126,95,102,154,42,6,0,566,19,22,41,33,25,28,7,6,0,178,350,451,1387,1490,1651,1553,412,57,0,7350,27,20,40,44,41,38,3,0,0,211,30,16,28,38,36,35,9,0,0,197,59,41,70,79,74,72,18,0,0,414
SOSR522,102,229,725,702,802,733,227,27,0,3548,54,83,135,126,123,198,127,35,3,893,3,10,53,70,69,106,38,10,0,369,5,17,37,22,20,25,13,0,0,144,168,336,953,921,1014,1067,405,75,8,4951,18,44,56,45,44,42,8,0,0,263,16,11,21,19,15,22,9,0,0,115,36,58,78,71,59,65,17,0,0,377,196,395,1031,995,1077,1133,420,75,8,5330,363,165,281,263,280,476,1146,612,138,3722,58,60,174,195,208,222,240,106,35,1288,620,617,1478,1448,1563,1832,1807,796,179,10341,40,160,404,327,453,435,73,13,0,1908,119,130,292,362,312,372,141,16,0,1746,5,15,68,76,55,90,33,3,0,353,6,7,21,15,11,19,6,0,0,87,177,320,774,787,829,912,258,29,0,4089,11,19,26,34,29,17,3,0,0,145,20,11,35,37,18,19,4,0,0,139,33,25,65,67,51,37,7,0,0,281
SOSR531,1014,2801,8240,9485,10946,9142,2603,444,46,44725,1035,648,981,1088,1393,1976,1455,429,53,9050,100,180,604,831,984,1069,364,32,5,4173,68,87,208,227,219,201,105,57,18,1195,2216,3716,10028,11632,13539,12395,4529,963,126,59138,96,125,199,197,223,221,51,0,0,1109,146,51,44,42,58,88,62,4,0,503,237,180,245,238,282,308,112,8,0,1608,2450,3895,10275,11869,13822,12697,4639,969,129,60745,1915,741,1783,1715,1643,3230,7278,3430,628,22355,437,1247,4364,4435,4353,3276,1346,470,86,20012,4805,5878,16417,18019,19811,19205,13265,4870,842,103108,429,1453,3207,3243,4734,3769,882,139,10,17852,1446,912,2051,3572,3931,3840,1491,220,9,17475,97,161,651,551,607,883,213,19,0,3182,72,73,112,119,161,133,77,37,4,784,2047,2598,6023,7488,9433,8623,2662,410,20,39300,57,61,110,99,112,115,13,0,0,576,149,46,87,108,123,122,28,0,0,659,208,112,194,208,233,236,38,0,0,1230
SOSR579,3,49,219,432,404,198,25,6,0,1339,0,0,7,19,13,12,3,0,0,54,0,0,12,27,33,21,7,0,0,99,0,0,0,6,3,6,0,0,0,18,3,54,237,494,451,234,32,6,0,1517,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,5,0,0,0,7,6,54,242,491,457,240,32,6,0,1525,0,0,4,10,5,19,46,6,0,87,10,28,191,410,372,193,35,0,0,1247,13,81,430,908,842,449,117,15,0,2854,7,22,51,25,22,18,0,0,0,139,0,0,5,0,3,4,0,0,0,20,0,0,4,3,7,8,3,5,0,25,0,0,0,0,0,0,0,0,0,3,7,23,54,28,32,29,5,5,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
