SOSR_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
SOSR501,27152,4528,361,194,25685,2727,63,60713,22521,9476,1137,479,26108,3606,190,63523,40964,36428,6237,2696,42747,8849,548,138475,36633,46803,11637,4976,32548,7721,388,140711,33283,42249,9888,4070,28253,5996,372,124118,27197,34776,8752,3869,27114,4557,397,106670,15633,25144,10166,4994,24102,3573,342,83955,6915,10898,5373,3221,15799,3028,118,45355,1986,2485,1159,831,6931,1959,28,15374,212289,212785,54711,25345,229301,42015,2453,778901,26972,6427,666,297,21079,2595,67,58103,22104,14686,2728,1670,18387,3094,187,62845,28409,45226,17203,19840,30130,7666,478,148949,16245,45788,29030,30106,21850,6468,242,149730,15338,47387,26804,18352,18988,5004,262,132138,13469,38889,22657,15421,20933,3978,513,115861,7457,22589,19568,16442,23008,3848,446,93356,4569,10039,8571,8067,17427,4035,140,52848,2626,3332,1822,1350,11890,3516,45,24582,137190,234364,129052,111535,183693,40201,2380,838412,54126,10953,1028,494,46762,5324,129,118813,44619,24159,3868,2148,44494,6700,379,126375,69373,81656,23438,22537,72880,16519,1024,287428,52878,92594,40669,35081,54405,14188,632,290440,48629,89634,36698,22423,47243,10998,635,256255
SOSR511,1036,165,12,4,971,102,4,2300,643,345,64,16,703,159,0,1932,1242,1192,226,105,1167,442,14,4384,1151,1571,405,175,937,399,9,4653,1202,1511,396,145,920,321,6,4504,1053,1375,362,188,1033,236,5,4253,590,960,467,216,939,201,0,3372,260,419,240,150,605,116,3,1790,54,110,40,31,232,97,0,561,7232,7650,2212,1040,7507,2067,44,27749,1099,298,37,17,783,104,0,2329,502,521,137,103,497,91,0,1860,629,1375,671,965,794,261,7,4706,406,1568,1054,1150,613,210,4,5014,583,1873,993,672,645,204,6,4978,465,1492,967,705,770,188,7,4597,246,851,805,703,916,171,3,3701,189,406,343,357,659,172,7,2128,84,131,76,57,411,183,0,949,4210,8506,5081,4736,6091,1591,41,30255,2134,454,48,19,1757,209,6,4627,1145,863,204,119,1204,249,3,3786,1869,2568,893,1074,1965,701,26,9091,1562,3141,1455,1328,1558,610,8,9666,1784,3379,1393,819,1569,525,9,9478
SOSR512,1538,288,29,11,1529,320,0,3724,1012,540,91,32,1241,333,13,3265,1952,1905,373,190,2013,955,26,7421,1767,2323,622,275,1507,899,15,7405,1890,2460,571,224,1584,731,8,7470,1731,2309,625,273,1817,705,21,7488,1034,1699,713,429,1607,494,8,5986,485,744,350,274,1119,283,9,3271,155,147,103,87,501,148,4,1137,11566,12428,3479,1794,12929,4864,110,47164,1522,425,44,23,1192,274,3,3485,783,884,188,154,809,274,7,3096,1070,2121,1038,1350,1160,647,28,7419,700,2416,1566,1542,923,610,6,7765,900,2977,1552,991,1078,535,11,8038,820,2550,1494,954,1397,532,11,7767,459,1379,1345,1223,1443,472,14,6334,321,622,602,624,1245,347,5,3763,179,224,138,131,863,225,4,1766,6750,13603,7960,6985,10111,3926,84,49428,3067,715,70,34,2721,593,3,7209,1797,1427,278,181,2050,610,15,6364,3023,4027,1413,1542,3168,1606,56,14837,2464,4741,2184,1817,2433,1509,19,15166,2783,5437,2120,1211,2667,1266,22,15506
SOSR513,707,172,15,5,829,299,0,2029,549,277,47,16,692,384,14,1978,1516,1441,241,126,1633,1273,82,6316,1543,1913,450,200,1317,1397,45,6867,1275,1510,311,175,1407,1278,21,5979,1087,1180,281,136,1297,1033,29,5045,550,757,263,159,1030,443,12,3203,204,266,118,78,434,195,4,1294,42,32,17,12,95,36,0,231,7475,7541,1743,900,8745,6342,199,32940,708,210,29,13,556,265,4,1793,445,467,92,74,466,317,23,1882,976,1803,711,901,1066,1033,59,6542,553,1813,996,1068,721,788,12,5948,588,1545,765,440,675,675,4,4707,500,1257,604,444,796,584,15,4202,244,665,525,434,743,368,18,3003,123,196,172,150,361,165,0,1173,28,55,19,21,154,59,0,330,4163,8010,3922,3548,5549,4256,131,29578,1416,381,49,23,1387,566,5,3815,993,739,139,87,1162,701,40,3860,2492,3242,952,1028,2699,2305,137,12858,2096,3725,1446,1265,2038,2185,51,12809,1866,3052,1077,615,2089,1959,25,10684
SOSR514,365,68,9,0,322,87,0,856,176,94,15,0,246,61,8,596,433,394,83,44,393,166,28,1549,430,586,164,79,331,152,23,1768,399,581,158,67,343,160,5,1708,362,514,164,76,368,139,3,1625,275,467,192,128,418,113,0,1593,119,167,90,77,238,71,0,760,28,29,18,13,89,43,0,221,2586,2894,886,491,2751,1004,62,10676,314,76,12,5,256,64,0,729,138,125,41,33,117,57,0,510,263,457,205,328,262,132,3,1649,185,624,398,494,226,149,3,2074,189,727,385,253,234,144,5,1934,179,573,364,248,302,121,5,1793,119,370,348,320,347,104,0,1607,64,123,127,165,265,88,3,834,49,50,26,17,134,63,0,340,1496,3119,1902,1866,2142,916,20,11464,683,145,18,7,584,152,0,1589,317,215,51,38,366,120,8,1106,692,854,288,374,655,303,30,3194,612,1209,564,573,554,307,23,3836,586,1304,542,320,578,304,3,3643
SOSR515,1036,245,26,16,953,377,3,2656,744,393,69,31,826,328,101,2503,1586,1597,357,185,1591,893,116,6329,1463,1778,526,292,1250,854,48,6208,1490,1944,481,233,1516,902,22,6586,1475,1851,571,279,1722,763,12,6681,1032,1518,686,494,1747,544,14,6038,373,644,355,259,937,314,4,2890,104,110,72,64,329,132,0,808,9299,10073,3140,1864,10876,5123,320,40698,976,344,30,20,730,335,0,2447,508,599,158,141,556,309,30,2307,886,1761,864,1108,1032,757,66,6480,620,1833,1197,1247,657,715,15,6277,711,2073,1107,782,790,646,9,6116,737,1990,1245,931,1152,570,22,6649,481,1300,1132,1157,1335,489,15,5912,194,475,437,506,851,342,3,2808,114,114,93,77,477,218,0,1099,5230,10497,6274,5977,7571,4382,160,40084,2011,592,59,39,1687,707,4,5104,1247,999,232,179,1379,643,128,4808,2475,3355,1223,1296,2623,1653,181,12807,2080,3610,1724,1543,1907,1571,57,12491,2198,4015,1591,1016,2302,1550,32,12696
SOSR521,388,87,13,3,345,132,0,975,286,183,26,20,303,160,7,983,576,580,146,70,633,518,21,2552,587,689,188,121,472,487,8,2557,613,746,203,116,624,559,0,2863,730,827,258,141,836,480,4,3281,464,673,299,260,806,358,0,2866,167,241,151,123,414,186,0,1281,36,50,28,14,140,45,0,317,3856,4075,1319,865,4582,2936,51,17680,371,147,26,10,252,131,4,946,194,231,77,54,194,129,7,877,339,621,323,457,388,345,31,2504,240,646,477,495,284,313,11,2462,285,862,446,319,365,302,9,2592,353,881,508,440,507,356,5,3045,162,528,452,560,561,301,4,2581,81,196,175,219,366,193,0,1226,45,53,36,31,198,59,0,423,2058,4167,2521,2589,3120,2121,67,16650,756,241,45,16,603,260,4,1925,479,410,106,70,491,289,20,1866,917,1200,478,529,1019,863,52,5059,824,1335,657,614,761,807,20,5022,904,1601,654,429,990,870,10,5453
SOSR522,207,88,26,6,207,85,0,620,182,115,35,18,205,62,3,621,418,338,100,58,377,189,22,1503,378,385,134,74,288,198,0,1447,361,430,137,80,339,214,0,1563,389,491,161,87,473,234,0,1832,311,437,208,114,482,257,0,1806,102,161,86,77,256,108,0,796,21,22,11,18,71,34,0,179,2367,2472,889,535,2697,1385,28,10373,194,116,34,14,146,88,0,587,166,168,65,44,152,67,11,671,252,392,210,241,179,143,21,1436,191,377,253,276,117,139,7,1350,195,463,221,177,168,134,6,1365,215,548,318,235,294,199,3,1810,122,320,310,279,354,194,4,1580,49,99,108,150,176,98,0,685,13,31,11,20,71,48,0,198,1408,2503,1530,1435,1654,1107,47,9688,399,199,56,24,354,173,0,1204,348,284,102,63,356,128,12,1292,673,732,311,296,554,331,45,2939,566,761,383,350,407,333,3,2802,561,894,353,254,506,351,6,2920
SOSR531,2001,457,63,30,1686,561,3,4807,1511,749,132,55,1881,1553,59,5940,3050,2732,612,351,4208,5466,174,16591,3147,3907,1111,600,3761,5487,100,18116,3690,4727,1301,699,4429,4969,64,19874,3706,4789,1476,908,4724,3594,48,19251,2322,3350,1571,1136,3364,1515,28,13287,751,1027,591,521,1431,555,5,4877,126,174,77,62,313,91,0,840,20302,21908,6936,4372,25800,23794,483,103590,1876,531,89,22,1195,471,3,4197,1052,833,207,138,936,630,47,3843,1420,2331,1063,1530,1505,1554,113,9515,932,2963,2185,2363,895,1332,28,10697,1212,4238,2730,1977,1403,1506,12,13079,1313,4390,3092,2446,1884,1363,22,14508,728,2214,2255,2422,1937,962,14,10535,291,675,699,814,923,396,0,3797,118,151,87,77,308,76,4,818,8939,18322,12407,11791,10985,8286,251,70987,3883,995,147,61,2876,1036,7,8998,2562,1577,338,194,2823,2183,111,9785,4468,5062,1675,1881,5713,7018,290,26105,4082,6872,3298,2958,4659,6820,126,28811,4902,8961,4036,2680,5831,6474,74,32959
SOSR579,0,0,0,0,8,7,0,14,7,0,0,0,41,28,0,81,25,32,5,4,172,193,24,459,56,63,22,24,332,413,37,945,43,41,16,14,342,376,53,896,34,30,9,6,178,195,24,473,7,15,0,0,51,35,0,119,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,181,178,61,46,1129,1255,143,3002,0,0,0,0,3,3,0,8,6,0,0,0,17,15,0,37,10,5,3,5,36,28,3,94,3,6,3,0,18,20,7,55,5,9,0,0,25,23,0,57,10,15,3,7,23,29,3,86,4,12,5,7,12,14,0,61,0,3,0,0,4,5,0,17,0,0,0,0,0,0,4,3,41,56,17,19,140,122,16,405,0,0,0,0,7,10,0,19,13,0,0,3,61,43,0,121,35,35,8,7,209,224,33,549,58,72,27,21,349,429,37,999,46,48,19,14,364,394,61,951
