SOSR_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
SOSR501,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,65,146,506,530,570,403,169,40,4,2442,85,846,3939,4245,2813,1276,176,17,0,13404,783,1008,2913,3462,3399,2291,537,62,5,14457,39,168,792,1073,787,416,74,4,0,3349,200,926,3678,3756,2987,2036,482,37,0,14093,193,587,1682,1972,1934,1315,295,32,4,8009,8495,9082,10132,8189,8280,6671,1609,120,6,52595,11085,7164,6985,4554,3385,2139,522,29,4,35874,184,786,2314,2480,2505,1766,442,41,0,10511,219,389,886,723,590,405,102,13,0,3327,113,711,3346,4057,3250,1855,389,38,9,13766,107,557,1757,1844,1759,1312,484,78,8,7895,303,2741,9527,9832,6792,3827,1181,122,6,34334,352,1481,4170,4005,3460,2491,637,46,0,16646,243,1507,5965,7483,7162,5221,1046,66,0,28699,1424,3877,12131,15614,17710,12736,2975,197,6,66671,1723,9571,27667,26535,24640,19385,4751,260,8,114542,1120,1427,2150,1798,1361,909,302,41,0,9115,1036,2241,5303,4562,3761,2446,664,84,3,20106
SOSR511,1143,1446,3479,3782,3662,3005,846,82,4,17452,7,22,41,23,31,21,15,4,0,167,6,36,81,90,88,43,4,0,0,341,54,81,146,187,150,78,10,4,0,718,0,14,28,34,22,28,5,0,0,127,15,36,122,132,114,97,12,3,0,533,9,3,33,38,56,25,11,0,0,182,362,235,424,460,447,335,45,9,0,2317,514,171,223,226,184,91,34,0,0,1442,14,22,47,51,81,82,18,3,0,320,23,16,28,18,12,8,3,0,0,105,0,12,67,73,76,43,9,0,0,288,13,19,60,59,57,47,12,0,0,265,6,31,120,166,127,83,39,4,0,573,6,34,91,130,131,102,21,0,0,521,12,51,169,219,256,155,29,0,0,888,42,69,338,557,732,498,87,3,0,2338,113,336,854,1003,1011,781,175,3,0,4268,32,28,50,39,31,23,3,0,0,216,29,74,182,135,167,101,25,0,0,715
SOSR512,1968,2383,5649,5767,5837,5150,1567,203,23,28560,11,16,37,57,60,69,49,13,0,325,25,125,331,267,244,101,9,3,0,1107,43,43,143,148,129,100,42,0,0,647,5,3,25,37,19,17,7,0,0,115,17,43,166,184,160,110,35,0,0,719,15,34,76,81,85,61,18,0,0,364,664,379,565,570,688,598,147,8,0,3624,724,313,445,454,411,294,70,6,0,2718,18,29,89,124,158,153,50,5,0,632,22,21,35,27,25,18,8,0,0,148,8,30,98,90,105,77,16,0,0,418,17,56,91,76,120,71,20,4,0,454,28,67,236,253,246,164,65,5,0,1074,32,64,187,195,240,177,40,0,0,933,24,62,233,337,375,264,52,7,0,1346,55,179,605,867,1116,808,158,16,0,3803,140,472,1255,1421,1551,1338,317,11,0,6506,44,21,61,57,68,56,3,0,0,315,84,136,243,233,239,158,49,5,0,1144
SOSR513,922,1277,4550,5063,4236,3167,846,102,5,20171,8,16,39,40,38,51,48,9,0,245,16,97,407,335,177,60,6,0,0,1108,22,17,75,56,50,36,4,4,0,264,3,7,45,61,32,17,5,0,0,165,12,27,156,145,109,79,23,0,0,548,13,12,62,63,53,23,5,0,0,233,261,142,336,341,309,245,60,8,0,1702,242,151,367,225,192,126,41,0,0,1360,24,48,171,158,134,103,13,0,0,650,4,8,32,17,20,13,0,0,0,97,3,8,69,72,40,26,7,0,0,235,6,38,92,80,66,51,13,4,0,351,13,29,145,157,102,86,25,5,0,571,12,51,160,195,137,98,22,3,0,686,24,45,273,291,254,178,30,4,0,1108,35,118,558,718,610,341,86,7,0,2468,82,253,863,841,683,581,116,12,0,3430,16,17,52,73,54,38,10,0,0,256,35,40,195,165,121,73,18,0,0,647
SOSR514,406,427,1177,1399,1335,1060,367,43,5,6221,0,6,28,13,14,16,11,0,0,84,8,11,24,36,27,12,3,0,0,119,15,20,80,111,58,25,3,0,0,305,0,3,13,16,11,9,3,0,0,58,0,13,31,50,37,25,5,0,0,164,0,7,15,14,18,13,0,0,0,72,111,67,105,181,186,145,37,5,0,830,158,76,181,167,138,89,24,0,0,829,0,7,7,17,31,31,9,0,0,104,0,0,0,4,8,5,4,0,0,24,0,7,26,35,24,18,7,0,0,109,0,8,13,23,33,16,8,0,0,109,3,12,42,85,66,35,7,0,0,261,12,9,39,79,74,34,10,4,0,258,5,15,45,78,76,58,6,0,0,281,13,15,126,223,240,157,44,4,0,824,24,43,218,275,288,251,69,8,0,1173,7,7,20,21,17,12,3,0,0,76,14,14,48,62,55,41,5,3,0,241
SOSR515,1153,1644,4715,4680,4819,4270,1422,219,14,22937,28,54,126,106,86,105,76,21,0,602,24,82,331,316,236,116,12,0,0,1123,47,64,170,142,148,97,25,7,0,692,0,6,24,22,26,23,8,0,0,111,12,29,107,113,118,111,24,0,0,508,16,29,57,51,51,55,13,8,0,278,312,194,373,456,458,406,119,15,0,2327,345,164,313,286,266,240,61,8,0,1688,16,46,112,116,134,111,40,0,0,570,3,6,18,19,9,12,7,0,0,77,4,20,71,58,64,50,11,0,0,291,6,17,65,74,48,51,18,4,0,290,12,55,160,176,129,101,41,6,0,674,20,58,175,201,183,152,35,9,0,835,20,68,255,335,362,262,61,0,0,1357,36,162,589,731,743,584,128,10,0,2987,82,247,892,834,917,942,236,20,0,4169,15,22,52,70,44,44,8,0,0,252,43,58,186,156,134,104,17,3,0,710
SOSR521,382,593,1636,1659,1824,1943,639,90,12,8788,16,21,99,52,49,43,41,16,0,337,3,24,104,100,74,48,5,0,0,360,13,20,53,67,55,40,3,0,0,249,0,0,3,3,11,7,0,0,0,30,4,10,43,44,34,45,4,0,0,182,6,17,29,14,30,13,11,0,0,124,82,55,120,124,169,163,36,8,0,765,118,57,149,114,118,130,30,4,0,723,0,7,23,35,49,63,28,4,0,213,0,0,6,10,12,5,0,0,0,32,0,9,14,22,23,11,0,4,0,80,3,5,16,21,20,22,0,3,0,94,0,12,45,39,48,46,14,0,0,205,4,17,31,52,65,69,13,5,0,258,8,26,103,118,165,121,22,3,0,568,21,44,218,276,290,238,61,0,0,1153,26,70,211,284,315,382,86,7,0,1386,0,9,14,13,21,13,3,0,0,78,13,15,51,48,55,43,12,0,0,235
SOSR522,168,336,953,921,1014,1067,405,75,8,4951,13,11,50,44,17,52,27,6,0,215,5,16,44,36,33,35,3,0,0,170,4,14,30,36,26,15,3,0,0,130,0,0,4,0,3,3,0,0,0,14,0,4,9,16,14,26,5,0,0,84,3,6,21,14,9,15,0,0,0,75,33,41,52,66,82,77,22,0,0,371,44,52,85,58,65,72,19,3,0,397,4,9,14,25,32,38,17,3,0,148,0,0,4,0,0,3,0,0,0,12,0,0,11,11,10,6,0,0,0,44,0,0,3,4,4,3,5,0,0,21,4,6,22,22,11,29,14,0,0,108,4,22,30,26,36,26,8,0,0,155,4,29,71,63,76,70,12,3,0,328,12,44,141,157,170,179,52,5,0,761,22,32,128,139,150,201,36,0,0,708,9,4,13,9,22,12,10,4,0,87,3,13,23,22,25,30,5,0,0,126
SOSR531,2216,3716,10028,11632,13539,12395,4529,963,126,59138,157,235,630,870,1100,1206,788,228,17,5242,36,344,892,657,638,392,33,4,0,2988,98,75,203,240,308,282,82,13,0,1298,0,15,39,35,56,45,8,0,0,202,25,66,246,324,383,334,77,3,0,1448,48,54,120,145,173,134,30,10,0,716,494,312,328,442,694,680,152,12,0,3111,642,317,494,392,490,483,149,13,0,2986,13,35,106,163,273,274,91,12,0,967,9,8,17,26,19,33,12,0,0,124,3,34,94,138,140,122,13,0,0,547,18,37,85,106,129,129,48,6,0,550,25,99,285,410,387,317,107,12,0,1633,31,79,203,231,306,259,74,6,0,1193,37,124,328,461,602,501,96,14,0,2166,79,185,611,1127,1482,1274,275,7,0,5055,103,327,844,1101,1488,1547,375,19,0,5797,70,67,121,107,113,103,43,6,0,639,75,102,206,266,293,227,58,0,0,1228
SOSR579,3,54,237,494,451,234,32,6,0,1517,0,3,5,0,0,5,0,0,0,15,4,3,13,15,6,6,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,8,3,0,0,0,22,0,10,14,10,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,10,0,0,9,0,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,4,0,0,9,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
