SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR501,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOSR511,1200,776,906,824,801,677,477,308,213,6178,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
SOSR512,2616,1596,1901,1897,1739,1655,1150,610,300,13463,23259,13549,14779,15147,15483,15223,12300,7025,2895,119662
SOSR513,2444,1392,2426,2407,2176,1789,898,341,68,13941,16768,7637,12717,12761,10658,9210,6176,2466,563,78955
SOSR514,658,324,370,400,370,331,249,136,73,2908,5727,2686,3163,3817,3638,3411,3201,1587,561,27798
SOSR515,2636,1493,1840,1812,1785,1635,1238,682,274,13387,19012,9772,12625,12427,12665,13292,11923,5689,1898,99305
SOSR521,1056,557,953,871,946,975,719,360,89,6523,7239,3761,5007,4996,5446,6323,5435,2507,738,41457
SOSR522,712,311,378,390,400,493,461,199,65,3400,4291,2486,2895,2793,2915,3647,3384,1481,369,24271
SOSR531,3091,3462,7313,7191,7115,5607,2881,991,168,37824,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOSR579,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
