SOSR_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOSR501,133,704,85,239,40,11,1209,29,1140,144,171,30,12,1532,427,7257,610,1458,241,76,10067,1400,3358,1381,2181,355,74,8747,2638,1295,379,2578,326,53,7266,9388,1784,554,5259,1093,64,18149,28880,1288,379,12692,1507,147,44890,45624,556,290,14987,1545,167,63173,20113,95,63,5293,433,43,26044,7236,18,11,1764,115,16,9162,3153,21,15,797,63,7,4058,1673,19,5,430,51,0,2187,939,12,5,227,27,5,1213,1543,10,0,469,90,8,2124,1801,1142,296,2459,713,485,6892,124981,18710,4229,51005,6632,1168,206721
SOSR511,5,21,3,10,7,0,39,3,48,11,4,9,0,80,29,323,39,54,11,5,457,54,208,118,83,31,6,500,123,90,42,154,19,4,428,444,105,24,322,39,5,931,1326,50,19,738,54,6,2189,1661,20,24,492,61,5,2263,337,0,0,66,5,0,424,68,0,0,14,9,0,90,16,0,0,7,5,0,32,5,3,0,4,0,0,13,0,0,0,9,0,0,8,7,0,0,3,11,0,17,84,47,21,79,83,21,333,4166,912,299,2045,332,49,7799
SOSR512,5,51,7,25,11,0,104,6,82,7,27,22,0,147,73,645,113,136,86,14,1069,253,401,168,270,128,19,1239,301,178,40,358,127,3,1006,698,304,79,524,169,10,1787,1845,236,53,935,213,10,3298,2281,62,16,791,121,5,3273,772,14,4,167,27,5,985,208,4,0,41,12,0,267,45,3,0,14,3,0,66,12,3,0,3,10,0,29,0,0,0,4,0,0,10,11,0,0,21,20,0,55,112,118,40,178,190,23,664,6631,2101,529,3506,1138,96,14000
SOSR513,50,49,6,10,863,0,980,11,70,5,6,69,0,153,26,352,35,43,564,7,1029,60,293,37,82,216,5,694,95,209,20,82,212,0,617,199,338,42,146,304,5,1035,544,312,41,286,274,4,1454,835,97,24,322,281,7,1565,684,21,0,135,137,0,979,462,3,0,73,56,3,605,317,4,0,52,45,0,419,212,5,0,44,32,0,303,154,3,0,21,28,0,212,217,0,0,61,108,0,388,231,164,27,119,637,28,1199,4106,1932,241,1480,3827,61,11638
SOSR514,0,6,0,0,0,0,14,0,20,5,3,4,0,21,5,123,11,34,7,0,177,36,83,7,46,19,0,195,71,46,3,83,5,0,213,208,61,4,128,24,0,423,231,40,6,147,39,0,470,324,7,0,232,15,0,580,220,0,0,98,8,0,329,65,0,0,26,0,0,92,15,0,0,6,29,0,50,4,0,0,7,3,0,15,0,0,0,3,0,0,8,9,0,0,18,4,0,27,21,39,6,59,25,3,152,1212,433,40,895,179,11,2767
SOSR515,32,101,84,19,1060,4,1296,11,93,84,10,163,6,371,69,536,103,131,647,9,1497,220,444,184,191,342,11,1393,242,222,42,293,189,8,990,492,304,54,432,271,5,1566,1046,178,54,610,203,5,2100,892,53,20,453,142,15,1570,283,18,6,112,54,0,481,127,6,0,50,23,0,202,43,4,0,21,18,0,90,29,0,0,11,14,4,61,7,0,0,10,7,0,28,40,0,0,67,68,0,178,113,153,44,181,421,23,940,3644,2110,672,2598,3639,89,12755
SOSR521,9,154,68,15,89,6,341,0,107,40,18,43,0,204,14,261,133,111,128,9,659,86,161,61,168,101,8,582,63,86,22,166,58,0,400,151,85,28,239,81,8,587,222,70,12,213,77,5,597,157,20,3,119,35,0,338,55,5,0,28,14,0,107,12,0,3,13,6,0,44,8,0,0,7,3,0,11,0,0,0,5,9,0,12,0,0,0,5,3,0,8,10,0,0,15,13,0,32,31,76,25,105,194,6,435,819,1024,401,1231,848,38,4358
SOSR522,0,248,120,15,108,6,497,8,133,131,8,69,4,357,6,201,100,61,53,7,426,32,95,89,106,60,5,390,41,35,9,93,28,4,214,69,54,18,92,39,4,276,63,19,11,70,45,0,205,37,3,5,33,37,5,112,10,0,0,5,6,0,29,6,0,0,6,4,0,13,0,7,0,3,9,0,18,6,0,0,0,9,0,17,0,0,0,7,4,0,11,4,12,0,21,66,0,102,8,72,29,58,177,4,350,293,892,512,574,715,44,3026
SOSR531,0,179,227,122,179,4,708,5,124,85,56,88,4,362,22,92,100,376,248,9,853,63,32,50,382,190,8,730,83,17,6,352,183,4,641,127,17,18,426,190,7,790,244,17,12,467,182,11,926,388,7,0,416,106,4,926,211,0,0,223,49,4,478,114,0,0,94,25,0,233,67,0,0,40,11,0,123,27,0,0,30,14,0,67,10,0,0,17,13,0,40,19,0,0,89,110,5,220,59,51,67,546,986,33,1731,1436,537,572,3630,2569,80,8827
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
