SOSR_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR501,2372,2200,4565,60182,57039,117220,2033,1879,3910,64586,61109,125696,2382,2179,4558,62819,59943,122756,2255,2210,4469,67457,64330,131782,2306,2266,4569,62515,58937,121455,2238,2064,4303,67058,63263,130320,2064,1932,3994,56702,54232,110933,1890,1863,3755,60648,58036,118685,1861,1785,3647,59140,58686,117823,2336,2186,4520,63332,62657,125988,1651,1732,3382,61997,64607,126601,2776,2819,5600,66422,69160,135581,1423,1489,2914,67196,74995,142191,2886,2834,5718,71502,79315,150821,1156,1220,2373,70588,75821,146412,2695,2835,5531,74444,79867,154314,970,1016,1990,62382,66546,128928,2525,2053,4580,65878,69618,135495,929,1006,1936,59503,63842,123349,2202,2058,4258,62639,66901,129540,812,987,1801,58232,62156,120387,2064,1825,3889,61113,64975,126083,717,812,1530,53344,57560,110899,1895,1630,3527,55948,59999,115954,541,620,1162,48211,53267,101477,1572,1459,3026,50322,55346,105668,821,1063,1891,138005,162671,300679,5370,6415,11782,144193,170157,314350,19995,20307,40300,920818,970292,1891114,34728,34139,68863,975547,1024731,2000278
SOSR511,152,145,300,2096,1949,4039,73,84,150,2316,2174,4488,162,137,299,2404,2226,4629,103,72,174,2669,2439,5103,162,164,325,2470,2322,4794,100,113,213,2735,2595,5328,129,158,290,2084,2097,4178,79,70,153,2294,2323,4624,115,119,237,1722,1661,3381,98,74,168,1933,1856,3782,112,105,212,1861,1981,3846,103,103,204,2078,2189,4263,94,71,168,2108,2332,4438,93,103,199,2297,2505,4806,72,88,157,2193,2418,4609,93,85,183,2354,2591,4944,58,62,116,2147,2276,4424,94,78,171,2290,2419,4712,56,81,140,2110,2293,4405,95,78,173,2270,2453,4722,49,61,119,2090,2369,4461,83,86,168,2224,2520,4746,46,53,100,2018,2153,4169,94,88,182,2153,2298,4451,38,39,74,1984,2175,4159,78,73,155,2093,2290,4387,51,76,125,5386,6317,11707,285,378,663,5722,6771,12492,1294,1362,2653,32668,34564,67234,1466,1491,2956,35427,37415,72840
SOSR512,428,380,810,2965,2895,5862,216,203,421,3610,3475,7085,410,383,791,3345,3177,6523,266,276,547,4022,3841,7863,456,440,895,3523,3350,6864,288,258,549,4261,4048,8307,369,354,721,3128,2922,6054,222,201,425,3722,3480,7202,338,284,625,2704,2592,5297,215,212,428,3255,3091,6346,337,267,603,3057,3028,6087,308,259,568,3701,3553,7258,262,227,488,3143,3343,6485,285,268,550,3690,3838,7526,218,235,450,3277,3499,6775,285,274,564,3780,4011,7791,226,202,427,3089,3313,6398,300,231,530,3609,3748,7359,189,211,401,3258,3543,6799,291,207,498,3743,3958,7697,172,202,378,3287,3634,6922,258,232,494,3722,4064,7788,149,181,328,3339,3474,6816,283,236,519,3765,3888,7657,131,147,279,3270,3489,6758,296,231,527,3698,3864,7564,188,274,464,9492,10850,20341,700,722,1421,10378,11842,22223,3871,3783,7656,50862,53114,103976,4214,3808,8027,58954,60702,119662
SOSR513,504,437,939,2072,1956,4024,287,230,523,2867,2622,5491,539,460,995,2151,2135,4289,357,350,707,3050,2935,5990,481,493,976,1926,1802,3724,298,281,588,2707,2583,5291,392,388,775,1392,1216,2604,247,187,434,2025,1788,3812,310,305,613,1319,1290,2606,334,265,604,1958,1864,3818,275,368,644,2016,2176,4189,532,433,962,2822,2977,5801,347,344,691,2458,2705,5161,606,465,1069,3409,3511,6918,273,286,557,2693,2686,5382,663,399,1062,3631,3371,6996,256,267,524,2319,2007,4323,618,295,912,3194,2566,5762,204,211,422,2243,1879,4127,567,306,864,3010,2397,5409,212,217,435,2138,1766,3906,589,315,908,2943,2298,5247,163,202,362,1978,1645,3627,535,265,799,2676,2108,4788,118,164,282,1813,1649,3462,415,271,683,2341,2082,4427,185,233,417,3954,3773,7737,573,475,1047,4719,4482,9201,4267,4374,8642,30476,28680,59152,6622,4543,11160,41367,37592,78955
SOSR514,73,46,121,757,699,1454,70,65,131,895,811,1706,72,77,153,877,849,1728,68,78,144,1017,1007,2023,62,67,131,894,832,1728,75,65,141,1031,969,1999,79,60,139,707,622,1330,73,47,119,856,729,1589,47,31,84,498,435,929,46,41,88,595,510,1098,23,34,58,602,623,1220,60,42,108,688,699,1385,23,29,53,731,843,1574,75,69,146,833,945,1778,28,29,52,741,965,1701,70,75,148,831,1064,1902,18,39,64,823,901,1728,71,61,130,913,1000,1917,30,24,59,800,926,1723,71,64,138,901,1018,1921,18,20,36,728,830,1559,61,63,125,805,911,1720,27,27,54,708,794,1499,63,69,132,798,888,1682,14,23,36,753,832,1583,57,42,103,821,904,1729,32,39,68,2368,2565,4930,169,175,343,2572,2775,5346,553,556,1107,11985,12714,24694,1027,969,1995,13562,14233,27798
SOSR515,452,401,858,2373,2228,4601,293,253,544,3120,2884,6001,472,465,939,2599,2411,5011,371,336,710,3444,3208,6649,437,458,894,2514,2269,4786,351,329,681,3309,3048,6359,351,380,729,1994,1816,3807,311,247,556,2651,2440,5095,298,303,599,1808,1695,3508,295,281,570,2402,2277,4676,267,290,553,2284,2483,4768,383,332,712,2929,3103,6026,259,282,546,2596,2674,5269,430,347,784,3291,3308,6599,246,246,491,2568,2680,5246,428,352,781,3240,3277,6519,217,227,444,2353,2467,4816,358,294,652,2927,2987,5915,230,225,452,2516,2435,4955,382,291,681,3127,2953,6085,185,261,443,2803,2614,5418,438,280,719,3430,3153,6581,187,216,401,2768,2749,5515,357,289,646,3315,3255,6565,150,154,308,2856,2970,5829,341,239,586,3353,3371,6723,238,312,551,8735,8773,17512,737,716,1451,9713,9803,19517,3982,4221,8205,40776,40258,81031,5486,4591,10076,50244,49068,99305
SOSR521,276,251,528,856,779,1640,115,112,226,1249,1149,2392,277,248,519,878,787,1668,128,135,262,1277,1178,2452,282,242,521,835,776,1617,130,129,251,1241,1148,2392,224,260,486,660,598,1261,87,92,171,975,945,1916,190,226,415,638,536,1180,144,108,251,976,867,1841,189,215,403,790,790,1573,217,156,367,1189,1151,2341,146,192,336,931,958,1892,264,170,436,1343,1320,2663,142,197,340,935,958,1891,248,138,383,1325,1294,2616,139,174,314,860,842,1701,218,145,365,1218,1162,2382,151,143,297,903,871,1770,213,133,340,1267,1140,2407,144,191,340,1164,1098,2262,290,153,443,1600,1439,3041,130,154,287,1257,1192,2453,228,173,408,1621,1528,3145,113,113,225,1311,1240,2550,237,166,399,1662,1518,3180,172,223,404,3793,3553,7346,495,442,936,4468,4220,8680,2588,2827,5411,15814,14985,30801,3002,2242,5240,21405,20054,41457
SOSR522,281,253,532,361,362,723,48,50,98,691,662,1353,308,290,599,428,394,821,63,64,133,799,753,1554,248,300,547,375,352,720,68,53,116,686,698,1385,292,273,566,285,268,557,43,39,81,620,587,1204,235,262,497,339,344,681,43,51,94,617,663,1279,203,213,423,441,419,858,76,60,139,722,699,1424,216,201,419,478,460,939,67,52,119,760,718,1476,191,201,389,484,458,940,82,55,140,748,718,1467,157,188,348,456,389,846,88,46,132,702,623,1331,149,155,300,533,419,949,91,50,144,769,628,1395,120,144,260,569,525,1096,109,58,165,787,731,1520,103,123,222,650,659,1309,84,95,179,833,875,1711,97,94,196,780,748,1531,120,91,207,997,940,1934,113,166,273,2347,2033,4385,321,265,586,2785,2460,5242,2698,2874,5576,8524,7837,16360,1291,1044,2333,12517,11752,24271
SOSR531,321,291,608,3353,3111,6468,290,256,538,3965,3652,7621,381,311,692,4306,3908,8210,423,388,807,5105,4606,9715,391,387,776,4492,4251,8743,438,411,847,5325,5044,10372,454,371,821,3923,3458,7384,425,360,788,4805,4189,8990,474,273,748,4199,2935,7137,1210,580,1791,5878,3795,9679,537,240,779,5100,3461,8555,1970,738,2708,7605,4434,12043,586,281,863,5928,3975,9900,2297,708,3004,8808,4961,13771,505,257,765,6476,4415,10888,2322,623,2938,9297,5295,14593,425,233,662,6292,4525,10814,2002,613,2617,8716,5377,14091,389,219,611,6986,5246,12228,2113,694,2810,9486,6159,15642,306,234,541,7838,5964,13800,2179,716,2898,10322,6913,17237,255,176,432,7946,6475,14421,1849,706,2555,10052,7356,17413,205,162,364,7560,6386,13947,1386,581,1964,9150,7120,16271,285,261,543,16912,13621,30535,1777,1252,3032,18974,15130,34111,5522,3699,9216,91306,71722,163029,20678,8626,29304,117502,84045,201544
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,7,11,3,3,6,13,8,20,4,0,4,49,21,73,29,15,41,81,36,116,0,0,0,89,29,120,60,14,72,152,43,196,3,0,4,153,29,178,132,9,138,283,40,327,9,0,14,233,13,254,195,10,207,441,29,470,3,0,3,251,13,263,213,11,216,465,24,483,3,3,8,227,11,238,190,6,196,418,23,440,9,0,14,221,24,245,182,11,193,418,36,453,0,0,3,170,27,195,135,11,145,305,43,341,0,0,3,92,28,114,55,14,71,150,40,188,0,0,0,88,57,143,45,24,64,131,77,209,39,6,48,1574,267,1836,1241,121,1364,2856,395,3250
