IP_RA_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
RA50,923,185575,100011,285587,387,536,925,10175,14475,24653,20,49,70,10587,15065,25646,14951,15434,30385,805802,837271,1643077,3089,3183,6267,823841,855892,1679733,3582,3947,7535,133860,141907,275770,442,441,878,137884,146296,284181,7925,7978,15903,521932,540960,1062898,2200,2274,4474,532055,551214,1083268,8509,9465,17976,364508,387865,752376,1009,1044,2052,374032,398375,772409
RA51,200,27671,14944,42614,69,108,178,1358,2265,3623,7,6,7,1433,2372,3806,2543,2568,5107,84786,87237,172028,582,613,1203,87911,90425,178335,629,645,1278,14848,15795,30649,74,78,145,15550,16520,32067,1435,1371,2800,58032,58933,116964,455,470,925,59917,60772,120686,1370,1547,2924,36554,39380,75933,152,173,320,38081,41101,79183
RA52,185,20162,10278,30442,95,175,274,1130,1786,2918,4,9,11,1230,1968,3202,3847,4096,7947,65292,64830,130125,549,513,1063,69688,69446,139135,856,902,1757,11433,11752,23184,84,73,159,12376,12724,25097,2235,2338,4572,44978,43682,88665,422,368,785,47630,46389,94019,1958,2167,4126,27888,29225,57111,176,187,361,30020,31578,61594
RA53,69,9957,4160,14119,81,170,255,399,665,1055,5,0,5,481,833,1312,3747,3849,7592,26528,24278,50811,213,209,418,30488,28331,58820,970,999,1974,6469,6578,13042,32,29,65,7477,7602,15078,2061,2136,4195,15640,13669,29307,136,133,269,17832,15938,33767,2106,2238,4340,15196,15185,30378,91,78,167,17391,17500,34896
RA54,54,6435,2289,8725,133,213,347,256,277,534,0,5,8,392,496,884,7086,7374,14463,13354,9796,23151,166,138,305,20607,17317,37919,1008,1066,2074,4325,3716,8040,35,49,81,5373,4832,10200,5135,5325,10460,7353,4912,12267,112,79,194,12598,10322,22918,2161,2337,4494,9328,7740,17065,72,77,147,11558,10148,21707
RA55,0,100,3,100,0,0,0,0,3,4,0,0,0,3,3,4,8,3,7,196,26,225,3,0,3,200,24,229,5,0,5,56,10,66,0,0,0,55,10,71,8,3,9,117,10,130,6,0,6,123,16,139,0,0,0,136,24,158,0,0,0,137,24,163
RA59,7,662,286,946,6,6,15,33,45,74,0,0,0,39,49,85,90,65,159,543,370,912,15,4,16,650,443,1089,104,124,228,1625,1531,3156,12,7,24,1743,1662,3403,50,41,91,305,192,499,12,0,11,365,234,595,121,127,248,1770,1627,3393,12,12,22,1901,1766,3664
