IP_RA_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
RA50,1604,1721,3331,477,620,1100,1087,1157,2247,1054,1356,2404,675,1253,1928,704,1313,2014,537,1011,1548,722,898,1618,934,1011,1945,723,757,1473,709,638,1341,567,392,962,1941,870,2811,1372,757,2124,13100,13752,26847
RA51,275,298,579,74,104,184,179,199,379,183,218,405,137,258,395,141,267,414,113,166,280,125,183,306,184,156,341,109,88,196,90,71,167,96,50,147,255,81,341,843,86,922,2819,2232,5048
RA52,465,447,917,136,170,301,336,312,647,364,435,800,247,430,680,214,397,611,154,285,439,191,265,457,219,224,448,155,133,287,148,113,257,120,54,180,336,111,443,665,286,953,3741,3670,7415
RA53,434,470,903,78,128,200,308,308,616,334,451,789,183,300,476,143,282,425,105,202,304,121,212,339,190,225,411,145,199,344,194,179,375,170,108,277,631,269,897,467,247,714,3498,3572,7069
RA54,557,511,1066,160,201,362,1667,1527,3192,917,1118,2029,431,657,1086,277,532,812,158,252,421,195,264,455,196,220,417,151,181,333,132,135,267,113,81,195,458,170,630,725,532,1259,6136,6392,12529
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,3,9
RA59,27,19,46,23,24,45,215,161,373,121,100,215,50,52,102,19,30,50,15,19,35,3,10,15,6,0,10,0,7,6,9,3,14,0,0,3,12,0,19,238,176,416,749,597,1349
