IP_RA_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
RA50,341,12185,12530,129,4508,4641,386,8655,9037,499,15482,15974,764,37505,38274,823,28768,29594,1001,38161,39169,987,39809,40798,1231,47853,49079,1236,49444,50679,998,40971,41968,860,39801,40667,1961,84523,86486,1293,53930,55224,1008,50695,51702,2506,132689,135198,1733,56590,58322,397,10038,10433,18159,751606,769764
RA51,46,1224,1271,15,553,571,57,1010,1068,69,1940,2006,143,5224,5363,143,3625,3767,155,5562,5711,176,5009,5188,229,5643,5871,223,5486,5707,174,4060,4239,162,4154,4313,302,8452,8747,195,5509,5707,164,4707,4871,295,9197,9490,338,7644,7982,63,1487,1549,2934,80483,83418
RA52,97,1053,1143,37,482,520,114,964,1076,182,1552,1732,252,4440,4695,209,3032,3241,294,4333,4626,321,4111,4427,302,4431,4734,265,4289,4561,241,3317,3560,196,3363,3555,382,6743,7127,228,4133,4357,209,3610,3822,363,7103,7466,395,5238,5630,173,1425,1598,4254,63612,67865
RA53,64,326,390,33,130,165,99,225,325,175,408,578,170,991,1165,131,657,788,173,944,1115,166,1008,1175,210,1300,1505,201,1343,1539,165,1196,1362,150,1268,1417,374,2938,3313,216,1691,1909,240,2011,2246,586,5390,5974,428,2333,2762,164,485,649,3736,24642,28374
RA54,59,167,223,54,45,97,252,98,355,249,188,438,402,440,843,240,256,494,430,394,823,381,427,809,406,523,924,332,628,963,222,558,779,206,636,842,301,1409,1711,169,730,898,149,839,990,264,1796,2061,481,990,1473,263,315,575,4862,10441,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
