IP_RA_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
RA50,1256,647,1907,10076,12462,22540,1763,1527,3291,13104,14639,27739
RA51,801,30,826,3338,1063,4400,462,248,709,4598,1334,5934
RA52,536,138,678,1600,1336,2939,382,231,610,2518,1701,4225
RA53,308,114,417,999,537,1535,842,320,1155,2144,965,3111
RA54,554,232,781,4935,1637,6577,3811,972,4781,9297,2838,12135
RA55,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0
