IP_RA_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
RA50,3890,96934,100824,925,11023,11951,242,1791,2031,64,366,427,33,104,140,1264,13284,14549,5624,224589,230217,4366,253843,258208,1499,116286,117778,168,12720,12885,11657,607438,619088,18159,751606,769764
RA51,594,7501,8099,141,946,1086,44,188,233,11,44,55,8,16,23,204,1194,1397,840,20760,21603,723,28663,29384,287,16260,16548,34,1659,1699,1884,67342,69234,2934,80483,83418
RA52,885,7182,8062,260,785,1046,63,124,189,21,31,48,14,3,18,358,943,1301,1262,16962,18220,1019,23201,24220,314,10425,10741,34,1444,1486,2629,52032,54667,4254,63612,67865
RA53,934,3384,4314,228,372,597,73,42,118,27,11,31,14,4,23,342,429,769,1076,7003,8076,801,8275,9073,202,3358,3560,21,524,553,2100,19160,21262,3736,24642,28374
RA54,1195,1860,3058,552,218,774,262,42,301,143,14,158,106,9,109,1063,283,1342,1231,2997,4228,838,3213,4058,200,988,1189,30,207,231,2299,7405,9706,4862,10441,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
