IP_RA_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
RA50,..,4141,3349,2900,1614,1123,13135,..,..,..,269,256,567,1094,..,..,..,..,..,80,80,..,4141,3349,3170,1874,1771,14307,..,229123,117352,118950,43326,14753,523491,..,..,..,6103,6678,10127,22902,..,..,..,..,..,1126,1126,..,229123,117352,125049,50000,26009,547526
RA51,..,699,559,501,262,222,2239,..,..,..,35,48,127,208,..,..,..,..,..,9,9,..,699,559,533,307,357,2460,..,28777,10973,10859,4516,1557,56671,..,..,..,728,725,955,2404,..,..,..,..,..,116,116,..,28777,10973,11585,5238,2622,59196
RA52,..,1051,727,628,378,295,3082,..,..,..,77,54,144,281,..,..,..,..,..,21,21,..,1051,727,700,443,465,3384,..,22535,7954,7289,3227,1207,42210,..,..,..,385,336,562,1278,..,..,..,..,..,39,39,..,22535,7954,7672,3561,1808,43527
RA53,..,857,639,579,370,249,2696,..,..,..,57,48,152,260,..,..,..,..,..,25,25,..,857,639,634,413,428,2980,..,7890,3132,3602,1658,499,16782,..,..,..,129,109,201,440,..,..,..,..,..,11,11,..,7890,3132,3730,1764,717,17237
RA54,..,1003,766,649,441,426,3297,..,..,..,108,191,622,914,..,..,..,..,..,306,306,..,1003,766,760,631,1344,4514,..,3240,1172,1220,531,163,6333,..,..,..,58,36,86,185,..,..,..,..,..,10,10,..,3240,1172,1283,568,255,6520
RA55,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
RA59,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
