IP_RA_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
RA50,40629,79328,34650,54380,3267,4552,8472,225273,29305,54914,32731,49278,2642,6068,7708,182643,20374,35353,27765,43492,2217,5854,7891,142942,17117,35374,30312,43629,2190,7876,26149,162644,142684,306064,163414,279268,24653,29539,63017,1008636,0,0,4,28,12,0,3571,3618,3,33,15,63,5,3,5284,5404,24,62,36,100,14,11,14935,15174,25,109,60,129,14,4,13290,13642,27,77,79,168,14,8,11097,11474,43,76,68,166,6,23,8644,9025,53,152,136,270,11,43,11494,12154,178,512,397,923,70,97,68313,70480,39,76,855,8011,5010,734,5562,20289,2479,21070,8994,22840,5376,1448,8522,70730,32920,80667,28734,60698,4689,3185,23134,234021,40820,79778,35054,55603,3384,4643,21977,241256,29505,55270,33178,50177,2718,6137,19028,196004,20528,35629,28075,44133,2256,5936,16760,153310,17231,35671,30569,44125,2211,7951,37870,175621,143518,308147,165457,285587,25646,30028,132850,1091231
RA51,1570,4596,2814,8144,467,517,868,18981,1568,4136,3294,8043,410,723,967,19135,1403,3131,3388,7299,376,766,1124,17488,1449,3610,3847,6778,356,982,3457,20485,6984,19415,15619,41484,3623,3479,7752,98353,0,0,0,8,0,0,671,679,0,0,0,12,0,0,776,794,0,0,5,20,4,0,1708,1742,3,5,18,26,0,0,1811,1868,3,8,3,31,0,3,2050,2103,7,9,8,48,0,0,1825,1909,3,23,21,54,3,8,2370,2477,22,55,52,200,7,23,11212,11575,6,0,64,1102,734,89,1047,3033,76,584,386,2902,730,135,1052,5868,917,3396,1882,7688,674,304,2487,17351,1588,4641,2870,8352,491,530,2717,21198,1590,4188,3354,8216,427,738,3062,21573,1425,3173,3434,7453,395,780,2996,19657,1464,3644,3898,6892,357,999,5883,23137,7067,19633,15884,42614,3806,3571,19242,111819
RA52,1176,3198,1910,5319,388,328,542,12853,1108,2779,2153,5413,355,503,696,13007,1003,2211,2414,5181,298,564,896,12571,944,2328,2776,4828,239,719,3132,14976,5216,13966,10974,29119,2918,2474,6189,70861,0,0,0,3,0,0,761,762,0,0,0,4,6,0,747,760,0,6,3,23,4,0,1820,1857,0,12,10,32,4,4,1977,2034,3,18,8,26,0,5,2076,2141,5,4,10,55,4,0,1975,2052,0,12,11,47,5,4,2645,2731,13,51,51,185,11,19,12008,12336,0,0,43,741,545,60,1109,2507,91,616,312,2141,673,97,1004,4943,905,2877,1430,6028,615,233,2404,14491,1184,3263,1977,5592,420,349,2603,15385,1125,2849,2252,5637,382,525,2882,15652,1012,2272,2500,5373,321,576,2990,15044,958,2374,2820,4918,250,730,5935,17988,5277,14243,11338,30442,3202,2575,18928,85998
RA53,748,1995,1211,3160,204,173,321,7804,503,1252,1053,2471,129,212,330,5950,326,709,855,1858,82,193,336,4362,183,495,581,1140,47,152,651,3255,2469,6867,4674,12774,1055,898,2134,30878,0,0,0,0,0,0,542,544,0,0,4,0,0,0,617,628,4,5,0,11,0,0,1844,1860,0,3,3,15,0,0,1780,1806,0,4,3,17,0,0,1585,1608,0,4,6,19,0,0,1294,1321,3,3,9,9,0,0,1082,1106,6,14,22,69,5,0,8739,8867,0,0,6,237,206,25,723,1199,41,301,144,954,249,37,783,2507,689,2171,887,3545,298,132,2270,10000,769,2040,1300,3510,250,193,2194,10255,522,1305,1115,2695,154,226,2010,8024,344,761,908,1984,101,208,1731,6044,198,519,610,1195,55,159,1822,4565,2567,7096,4969,14119,1312,996,11535,42594
RA54,333,898,579,1801,88,77,166,3940,244,584,481,1397,58,78,181,3029,202,404,444,1123,51,93,203,2525,100,206,265,574,17,52,308,1532,1325,3713,2405,7356,534,400,1166,16904,0,0,0,0,0,0,374,375,0,0,0,0,0,0,758,761,0,5,0,12,0,3,2311,2335,4,4,3,15,0,3,1937,1962,0,3,4,15,0,0,1673,1699,0,3,4,12,0,0,1313,1333,0,0,0,5,0,6,700,710,3,20,15,54,8,7,9064,9175,0,0,4,132,89,12,637,872,20,252,87,569,183,51,948,2114,423,1408,597,2299,235,120,2753,7826,354,921,638,2165,165,135,2330,6713,263,628,533,1664,103,114,2045,5348,224,446,479,1268,80,118,1635,4250,109,226,295,628,26,68,1118,2467,1391,3879,2637,8725,884,614,11461,29592
RA55,0,11,8,35,0,4,6,69,3,8,4,20,0,0,6,39,0,10,0,7,0,3,0,19,0,0,3,0,0,0,0,9,7,37,28,101,4,8,18,206,0,0,0,0,0,0,5,5,0,0,0,0,0,0,15,15,0,0,0,0,0,0,47,47,0,0,0,0,0,0,72,72,0,0,0,0,0,0,47,47,0,0,0,0,0,0,21,21,0,0,0,0,0,0,3,8,0,0,0,0,0,0,211,218,0,0,0,0,0,0,3,3,0,4,0,8,0,0,17,32,0,14,7,26,4,6,49,97,0,13,11,39,0,4,84,145,3,8,4,15,0,0,54,92,0,10,0,7,0,3,21,48,0,0,4,0,0,0,3,15,7,39,35,100,4,7,233,428
RA59,44,130,68,191,10,7,309,758,33,58,47,154,7,9,289,596,40,62,67,158,7,24,193,547,28,44,48,142,4,11,142,412,219,560,323,888,74,61,1275,3397,0,0,0,0,0,0,27,27,0,0,0,0,0,0,93,99,0,0,0,3,0,0,249,253,0,0,0,0,0,0,210,209,0,0,0,0,0,0,201,203,0,0,0,5,0,0,186,186,0,0,0,0,0,0,140,138,0,0,0,7,0,0,1113,1122,0,0,0,14,11,0,102,131,0,54,18,68,23,3,239,400,76,221,79,191,22,11,673,1270,44,131,71,203,15,6,815,1293,31,58,50,162,10,14,753,1073,43,60,77,158,7,23,508,876,30,44,44,143,4,14,353,628,225,563,335,946,85,66,3446,5668
