IP_RA_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
RA50,4616,474468,1223,480308,1535,64929,263,66717,3866,138163,646,142677,840,23534,175,24550,548,17860,156,18569,203,5249,53,5500,476,12990,38650,52115,12085,737190,41163,790433,5461,520164,1240,526864,1743,63316,253,65306,3681,137313,651,141644,826,22851,199,23870,485,21704,216,22403,115,6773,45,6934,451,15323,29235,45006,12755,787438,31833,832026,10076,994634,2463,1007167,3273,128241,507,132024,7552,275471,1294,284318,1665,46385,373,48424,1035,39563,369,40967,316,12024,98,12433,930,28311,67885,97121,24845,1524628,72995,1622462
RA51,655,35688,179,36516,276,9687,55,10019,1251,25708,151,27112,169,4320,40,4530,114,2720,35,2872,70,364,3,438,96,2325,6352,8778,2636,80818,6813,90268,689,43553,200,44446,347,9815,63,10233,695,22228,127,23052,150,3372,43,3563,61,2290,55,2409,15,231,4,244,84,1827,4777,6692,2049,83317,5275,90639,1345,79243,377,80962,625,19505,126,20252,1948,47930,283,50156,321,7697,82,8094,177,5010,94,5286,81,598,8,682,187,4155,11133,15476,4680,164137,12094,180906
RA52,899,27086,151,28138,396,7525,70,7995,1337,19508,161,21005,271,3747,42,4056,252,2630,47,2925,71,374,5,441,248,1538,6444,8233,3472,62403,6922,72793,987,32259,164,33417,545,7492,51,8093,1122,16024,142,17289,247,2772,36,3051,159,2015,44,2217,33,340,10,384,293,1534,5448,7277,3391,62449,5894,71733,1884,59353,319,61553,944,15021,124,16085,2461,35530,303,38291,519,6523,74,7108,414,4642,88,5142,100,717,11,829,548,3076,11892,15515,6867,124846,12814,144526
RA53,1011,13067,57,14141,501,3258,22,3785,1053,7117,52,8224,245,1225,15,1493,182,745,10,929,59,88,3,153,235,568,4826,5631,3286,26070,4994,34352,1181,14801,81,16059,588,2668,24,3278,930,4830,40,5805,225,766,4,997,156,521,7,689,35,74,0,113,237,407,3893,4538,3355,24064,4054,31479,2187,27866,139,30201,1095,5928,46,7069,1986,11950,93,14027,473,1994,21,2491,333,1264,22,1618,95,161,3,261,475,978,8721,10172,6648,50138,9052,65830
RA54,1256,7550,61,8867,918,1963,21,2900,1891,4066,51,6010,555,733,7,1300,638,408,13,1059,159,106,0,266,437,405,5959,6804,5863,15228,6111,27196,1510,6954,49,8510,1110,1220,16,2347,1848,2193,35,4081,502,358,9,869,550,214,3,768,163,48,3,214,441,226,3091,3754,6128,11211,3206,20543,2765,14502,111,17386,2028,3181,32,5246,3742,6260,88,10087,1055,1091,16,2162,1190,625,18,1830,328,144,3,476,880,627,9046,10557,11988,26435,9316,47737
RA55,5,138,0,139,3,33,0,38,0,63,0,59,0,9,0,13,0,0,0,0,0,3,0,3,0,8,191,197,7,256,193,453,0,33,0,30,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,38,19,61,9,167,0,173,3,34,0,38,0,66,0,61,0,11,0,16,0,0,0,0,0,3,0,3,0,8,214,226,9,289,218,515
RA59,39,952,5,994,17,216,0,231,62,546,3,617,20,109,5,137,13,56,0,78,4,12,0,10,592,855,711,2158,747,2752,731,4222,42,984,4,1030,22,184,0,205,37,370,5,410,18,71,0,90,9,33,0,36,5,9,0,14,455,350,407,1212,592,1997,417,3007,75,1937,6,2024,31,399,3,438,105,913,11,1024,40,176,12,225,27,87,0,117,5,24,0,30,1048,1207,1115,3375,1338,4747,1145,7225
