IP_RA_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
RA50,678,46667,63310,109978,499,894,1393,21864,28214,50071,162,246,404,22526,29348,51869,5257,6671,11933,239005,288959,527965,1192,1489,2673,245454,297117,542570,2244,1496,3740,36504,36059,72562,44831,34968,79796,83581,72515,156093,20293,20513,40806,960829,999780,1960606,47981,38278,86256,1029106,1058569,2087667
RA51,113,6422,8273,14694,99,153,256,3107,3909,7016,31,44,75,3239,4109,7343,886,1065,1943,29988,35322,65311,216,270,486,31093,36651,67745,994,234,1231,6458,4063,10518,7383,5739,13124,14837,10035,24869,4076,3347,7426,104217,105383,209593,8011,6413,14424,116314,115138,231450
RA52,121,5194,6554,11745,165,271,436,2623,3105,5730,37,53,92,2827,3429,6259,1367,1683,3053,23542,26536,50079,235,247,486,25144,28469,53615,920,542,1470,3604,3073,6674,7816,6696,14508,12341,10311,22652,5518,5367,10888,79090,78529,157616,8432,7298,15727,93046,91191,184237
RA53,21,1583,1829,3411,87,171,256,633,653,1289,6,7,11,726,830,1552,1015,1377,2390,7717,7911,15627,57,65,121,8786,9348,18138,655,387,1034,1421,1124,2542,5988,4963,10955,8062,6474,14533,5237,5176,10411,33969,31642,65613,6224,5184,11409,45432,42002,87426
RA54,16,901,1027,1926,132,239,367,275,249,522,9,3,12,413,492,909,1405,1825,3235,3710,3221,6925,45,42,87,5164,5089,10246,964,834,1795,726,495,1214,6677,3776,10456,8360,5105,13466,8761,8898,17659,18218,13937,32152,6892,3964,10860,33874,26800,60672
RA55,0,3,0,3,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,35,4,39,0,0,0,43,4,43,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514
RA59,0,152,163,318,12,5,18,64,61,125,0,3,5,79,67,147,81,76,152,676,629,1306,11,12,19,768,713,1482,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
