IP_RA_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
RA50,19273,19584,38860,506,434,938,510,504,1008,20293,20513,40806,960829,999780,1960606,47981,38278,86256,1029106,1058569,2087667
RA51,3927,3235,7163,55,47,104,97,63,159,4076,3347,7426,104217,105383,209593,8011,6413,14424,116314,115138,231450
RA52,5350,5224,10572,75,79,146,101,68,165,5518,5367,10888,79090,78529,157616,8432,7298,15727,93046,91191,184237
RA53,4819,4801,9619,173,131,300,246,240,483,5237,5176,10411,33969,31642,65613,6224,5184,11409,45432,42002,87426
RA54,8591,8721,17312,63,58,121,101,120,226,8761,8898,17659,18218,13937,32152,6892,3964,10860,33874,26800,60672
RA55,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
RA59,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
