IP_RA_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
RA50,410531,853264,1372,1105,2473,456476,423989,880465,1695,972,2663,28366,25160,53525,44715,34821,79534,74776,60950,135729,606,599,1208,18451,17123,35578,30,27,60,19097,17749,36847,4577,4349,8924,125653,119137,244785,370,359,734,130601,123847,254448,1229,1298,2523,46386,46520,92901,139,140,277,47755,47955,95708,316,443,757,25256,27998,53249,56,51,106,25628,28485,54115,446,842,1281,32334,51774,84111,86,119,200,32863,52732,85595,4680,5542,10223,477080,522768,999850,1240,1255,2495,483005,529560,1012566,1803,2014,3819,74914,73187,148101,281,277,562,76997,75481,152478,4222,3999,8219,149071,147716,296788,683,686,1371,153975,152404,306380,1115,1094,2205,32638,31324,63956,207,223,434,33958,32636,66599,584,519,1102,19028,22802,41834,157,219,378,19772,23541,43312,205,114,322,5261,6784,12046,53,45,98,5521,6950,12465,15283,16025,31313,766132,796513,1562644,21515,21343,42862,802929,833883,1636812,0,9,10,79,61,143,4,3,11,93,75,162,2422,2743,5168,140461,158155,298617,8271,8615,16882,151160,169513,320671,17711,18775,36491,906671,954729,1861403,29791,29959,59754,954182,1003467,1957640
RA51,51688,107516,307,311,616,58262,54022,112286,907,118,1031,5646,3003,8645,7377,5714,13091,13933,8839,22772,94,79,171,1538,1480,3019,6,16,22,1644,1569,3215,823,746,1567,13840,12842,26678,103,99,195,14765,13678,28445,222,239,465,4381,4298,8682,30,29,60,4634,4561,9203,22,40,60,814,1057,1873,6,7,10,844,1094,1934,41,126,164,1511,4061,5573,7,17,21,1555,4202,5760,661,698,1364,35951,43853,79801,176,205,383,36795,44756,81553,330,391,717,10578,10751,21331,58,71,131,10967,11215,22180,1314,760,2073,26853,23410,50265,162,135,294,28331,24305,52636,221,204,429,5338,4330,9667,41,51,88,5603,4582,10187,120,78,198,2852,2400,5248,35,55,94,3007,2529,5537,70,15,81,362,231,592,3,4,8,442,244,683,2836,2849,5683,87495,91976,179467,4430,4539,8965,94756,99361,194117,0,6,6,84,46,134,13,8,23,101,58,155,175,235,411,5118,6191,11306,579,603,1178,5872,7027,12899,3014,3083,6101,92695,98216,190909,5026,5143,10168,100731,106443,207170
RA52,36322,77413,303,249,552,44261,39329,83590,833,429,1262,2970,2318,5289,7786,6706,14494,11592,9454,21045,109,113,224,1131,1076,2211,3,10,17,1248,1200,2451,1105,1090,2197,9736,9213,18956,94,82,174,10940,10385,21332,314,322,634,2979,2986,5969,29,28,56,3320,3334,6658,23,51,73,559,681,1245,4,0,4,588,732,1315,60,133,197,1365,3081,4450,10,18,26,1437,3233,4668,916,1008,1928,27260,32457,59720,156,171,325,28335,33637,61975,460,617,1076,8173,8190,16358,79,58,137,8709,8860,17569,1417,1223,2639,20234,16821,37058,170,149,315,21822,18195,40010,355,317,673,4406,3452,7863,40,36,84,4805,3812,8615,267,161,430,2702,2090,4795,51,44,91,3017,2294,5316,71,33,100,378,340,716,5,10,11,446,384,829,4100,4390,8487,66427,67153,133577,5512,5395,10903,76044,76930,152971,7,0,4,68,46,117,10,5,10,78,52,132,475,472,940,4827,4983,9807,853,768,1627,6154,6228,12380,4577,4857,9435,71322,72184,143502,6375,6163,12542,82274,83208,165477
RA53,16014,34714,129,113,237,21425,18562,39980,692,436,1122,1083,807,1889,5982,4957,10941,7751,6199,13955,126,96,224,613,629,1238,3,4,7,742,728,1471,1065,1014,2078,4481,4326,8804,46,38,81,5588,5382,10966,243,248,487,1036,973,2005,9,4,10,1286,1223,2509,25,34,64,203,283,485,0,4,4,229,321,545,61,152,216,656,1470,2124,3,0,7,714,1631,2344,1032,1201,2237,13135,14857,27995,63,79,142,14232,16144,30375,557,634,1188,3496,2880,6382,27,21,46,4079,3543,7618,1117,1005,2125,7408,5109,12516,53,42,98,8581,6163,14744,298,274,570,1468,996,2461,18,8,24,1776,1277,3056,193,171,359,772,554,1324,10,9,24,979,728,1706,59,35,95,88,74,161,3,0,3,153,113,261,3657,3812,7474,26483,25405,51885,3690,3546,7233,33826,32763,66595,6,3,18,31,21,47,9,5,12,43,30,69,810,766,1579,3628,3282,6911,988,878,1872,5434,4925,10355,4477,4587,9064,30135,28703,58844,4684,4427,9119,39307,37712,77023
RA54,7341,17454,104,93,195,13040,10060,23104,1436,1291,2723,675,431,1099,6681,3776,10457,8787,5496,14288,181,164,350,227,224,451,3,3,8,408,397,807,1562,1517,3081,1657,1467,3121,27,36,62,3249,3019,6267,294,293,585,279,267,552,5,5,12,583,565,1147,17,23,42,99,113,207,0,0,0,120,131,254,43,92,139,416,678,1100,3,5,7,470,775,1245,1272,1530,2805,7581,6973,14559,61,50,115,8921,8555,17475,974,1152,2125,2028,1284,3317,21,17,35,3021,2450,5474,1977,1933,3908,4141,2261,6407,50,35,84,6172,4228,10404,606,559,1165,799,403,1202,13,9,17,1416,972,2388,662,575,1234,416,233,646,13,3,18,1093,807,1894,159,163,328,106,48,144,0,3,3,266,214,476,7145,7589,14731,9964,9328,19298,2213,2233,4447,19317,19155,38469,25,13,42,59,49,101,9,14,24,92,72,164,442,497,938,1553,1517,3067,382,386,771,2374,2404,4778,7608,8102,15712,11567,10896,22462,2608,2630,5244,21789,21634,43418
RA55,20,137,3,0,3,123,21,144,0,0,0,9,0,9,191,19,214,196,23,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,15,0,17,5,0,9,138,33,169,0,0,0,143,30,174,3,0,3,33,0,34,0,0,0,38,0,38,0,0,0,63,6,66,0,0,0,59,6,61,0,0,0,9,0,11,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,1073,2370,14,5,25,1452,1197,2652,620,502,1117,938,421,1364,752,439,1189,2311,1361,3674,6,0,6,17,17,28,0,0,0,22,17,34,18,24,48,144,140,282,0,0,0,163,164,327,3,11,8,31,31,65,0,0,0,38,44,76,3,7,7,26,33,52,0,0,0,26,33,62,6,4,10,57,103,162,0,0,0,63,106,169,39,42,75,950,991,1937,4,4,10,997,1029,2024,17,18,36,226,194,415,0,0,3,239,218,457,62,37,104,550,375,927,3,5,11,620,423,1036,20,23,42,114,72,193,5,0,12,143,100,241,17,9,28,63,33,91,0,0,0,80,36,118,4,5,5,12,9,24,0,0,0,10,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
