IP_RA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
RA50,68169,133410,3950,2314,6262,70150,71475,141632,936,991,1921,62677,65722,128403,3667,2353,6023,67276,69067,136341,804,976,1783,61692,64448,126137,3563,2175,5740,66062,67599,133658,722,820,1545,56731,60081,116810,3124,2027,5151,60572,62939,123506,534,622,1155,51269,55842,107115,2471,1790,4262,54271,58262,112534,826,1061,1886,145126,169184,314309,6296,7071,13365,152245,177319,329559,20293,20513,40806,960829,999780,1960606,47981,38278,86256,1029106,1058569,2087667
RA51,6782,13296,556,392,946,7297,7362,14662,228,180,411,6888,7227,14118,643,410,1052,7755,7820,15578,151,175,325,7324,7702,15030,683,430,1113,8158,8311,16469,164,157,326,7191,7527,14720,603,428,1033,7963,8115,16078,126,124,247,7204,7718,14920,542,408,947,7871,8246,16116,183,204,389,20979,21806,42787,1341,1396,2740,22500,23412,45912,4076,3347,7426,104217,105383,209593,8011,6413,14424,116314,115138,231450
RA52,4782,9178,587,477,1060,5278,5542,10816,294,290,588,4945,5129,10076,584,454,1042,5826,5877,11706,262,303,563,5433,5521,10951,651,511,1163,6343,6335,12677,261,276,536,5787,5754,11544,618,503,1127,6665,6539,13205,211,232,447,5859,5819,11675,581,432,1014,6659,6476,13137,330,447,779,16757,16800,33555,1523,1427,2947,18610,18677,37290,5518,5367,10888,79090,78529,157616,8432,7298,15727,93046,91191,184237
RA53,2233,4735,470,366,837,3277,2914,6189,269,268,531,2459,2243,4702,491,369,863,3212,2883,6097,247,283,525,2431,2073,4508,452,334,785,3126,2686,5819,215,257,476,2364,1989,4355,435,312,749,3019,2558,5573,181,201,383,2185,1750,3935,367,248,609,2738,2195,4930,247,326,577,4289,3745,8033,618,537,1158,5159,4609,9769,5237,5176,10411,33969,31642,65613,6224,5184,11409,45432,42002,87426
RA54,986,2469,601,273,868,2624,1811,4439,505,504,1009,1412,918,2328,583,251,833,2501,1670,4170,470,523,995,1471,972,2441,605,276,882,2541,1770,4313,356,395,751,1381,947,2328,506,251,756,2235,1592,3832,307,304,612,1207,907,2113,387,214,604,1898,1426,3330,443,556,995,2008,1381,3389,444,294,733,2895,2228,5123,8761,8898,17659,18218,13937,32152,6892,3964,10860,33874,26800,60672
RA55,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
RA59,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
