IP_RA_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
RA50,66,8529,11711,20243,1409,778,2182,11241,11409,22648,43734,34006,77741,56386,46191,102574,8584,8307,16887,259323,273956,533275,44425,34704,79127,312331,316962,629290
RA51,6,636,979,1613,850,95,946,3708,1424,5129,7217,5597,12818,11775,7117,18892,2054,1316,3370,25790,25158,50947,7370,5756,13128,35216,32230,67446
RA52,12,490,676,1168,719,339,1058,1471,1121,2595,7582,6510,14094,9770,7972,17744,2337,2051,4386,17254,18169,35421,7720,6647,14362,27304,26864,54167
RA53,0,197,320,519,493,284,781,516,399,908,5813,4815,10628,6820,5498,12319,2009,1830,3845,7497,8076,15572,5878,4868,10739,15380,14776,30157
RA54,0,108,146,253,652,503,1159,345,235,576,6545,3678,10225,7545,4418,11957,2752,2600,5355,3029,2982,6014,6588,3726,10315,12375,9308,21683
RA55,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
RA59,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
