IP_RA_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
RA50,341,12185,12530,213,5408,5615,1069,15214,16282,1186,26410,27596,1456,59300,60753,1518,56862,58383,1379,51003,52375,1570,66934,68501,1798,81946,83735,1382,67794,69180,1077,59403,60475,910,50743,51656,2142,131788,133928,1733,56590,58322,397,10038,10433,18171,751618,769764
RA51,46,1224,1271,31,608,633,155,1807,1960,188,3359,3551,268,8579,8850,293,7159,7451,271,6253,6512,267,7625,7896,325,8743,9071,186,6726,6915,175,5551,5728,110,4353,4460,225,9366,9589,338,7644,7982,63,1487,1549,2941,80484,83418
RA52,97,1053,1143,63,551,620,284,1501,1778,386,2618,3005,428,6895,7322,444,5715,6160,310,4641,4948,370,6028,6403,390,6730,7120,263,5117,5378,231,4370,4603,147,3584,3729,281,8146,8428,395,5238,5630,173,1425,1598,4262,63612,67865
RA53,64,326,390,56,139,201,243,374,614,266,619,885,266,1485,1751,234,1287,1519,205,1218,1423,245,1684,1924,298,2273,2569,267,2174,2443,233,2067,2304,217,1899,2115,563,6273,6833,428,2333,2762,164,485,649,3749,24636,28382
RA54,59,167,223,125,53,175,680,151,831,752,255,1004,583,618,1199,462,452,906,255,456,711,242,735,975,252,986,1241,171,998,1174,145,885,1031,130,915,1049,261,2460,2722,481,990,1473,263,315,575,4861,10436,15289
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
