SEX,AGE,REGION,YEAR,POPULATION
Female,25-29,Western Australia - Wheat Belt,2012,3612
Female,25-29,Western Australia - Wheat Belt,2013,3743
Female,25-29,Western Australia - Wheat Belt,2014,3741
Female,25-29,Western Australia - Wheat Belt,2015,3691
Female,25-29,Western Australia - Wheat Belt,2016,3610
Female,25-29,Western Australia - Wheat Belt,2017,3469
Female,25-29,Western Australia - Wheat Belt,2018,3454
Female,25-29,Western Australia - Wheat Belt,2019,3419
Female,25-29,Western Australia - Wheat Belt,2020,3334
Female,25-29,Western Australia - Wheat Belt,2021,3288
Female,25-29,Western Australia - Wheat Belt,2022,3264
Male,65-69,Perth - Inner,2012,3487
Male,65-69,Perth - Inner,2013,3633
Male,65-69,Perth - Inner,2014,3776
Male,65-69,Perth - Inner,2015,3884
Male,65-69,Perth - Inner,2016,4047
Male,65-69,Perth - Inner,2017,4130
Male,65-69,Perth - Inner,2018,4150
Male,65-69,Perth - Inner,2019,4197
Male,65-69,Perth - Inner,2020,4249
Male,65-69,Perth - Inner,2021,4338
Male,65-69,Perth - Inner,2022,4411
Male,30-34,Perth - Inner,2012,7570
Male,30-34,Perth - Inner,2013,8052
Male,30-34,Perth - Inner,2014,8268
Male,30-34,Perth - Inner,2015,8394
Male,30-34,Perth - Inner,2016,8470
Male,30-34,Perth - Inner,2017,8399
Male,30-34,Perth - Inner,2018,8279
Male,30-34,Perth - Inner,2019,8277
Male,30-34,Perth - Inner,2020,8395
Male,30-34,Perth - Inner,2021,8350
Male,30-34,Perth - Inner,2022,8480
Total,30-34,Western Australia - Outback (North),2012,10283
Total,30-34,Western Australia - Outback (North),2013,10846
Total,30-34,Western Australia - Outback (North),2014,10967
Total,30-34,Western Australia - Outback (North),2015,11006
Total,30-34,Western Australia - Outback (North),2016,11024
Total,30-34,Western Australia - Outback (North),2017,10892
Total,30-34,Western Australia - Outback (North),2018,10732
Total,30-34,Western Australia - Outback (North),2019,10556
Total,30-34,Western Australia - Outback (North),2020,10420
Total,30-34,Western Australia - Outback (North),2021,10157
Total,30-34,Western Australia - Outback (North),2022,10129
Total,20-24,Mandurah,2012,5336
Total,20-24,Mandurah,2013,5571
Total,20-24,Mandurah,2014,5649
Total,20-24,Mandurah,2015,5622
Total,20-24,Mandurah,2016,5574
Total,20-24,Mandurah,2017,5524
Total,20-24,Mandurah,2018,5491
Total,20-24,Mandurah,2019,5556
Total,20-24,Mandurah,2020,5574
Total,20-24,Mandurah,2021,5540
Total,20-24,Mandurah,2022,5635
Female,25-29,Perth - North West,2012,20939
Female,25-29,Perth - North West,2013,21975
Female,25-29,Perth - North West,2014,22387
Female,25-29,Perth - North West,2015,22386
Female,25-29,Perth - North West,2016,21988
Female,25-29,Perth - North West,2017,21283
Female,25-29,Perth - North West,2018,20767
Female,25-29,Perth - North West,2019,20426
Female,25-29,Perth - North West,2020,20138
Female,25-29,Perth - North West,2021,19575
Female,25-29,Perth - North West,2022,19440
Male,70-74,Perth - South West,2012,5499
Male,70-74,Perth - South West,2013,5700
Male,70-74,Perth - South West,2014,5975
Male,70-74,Perth - South West,2015,6232
Male,70-74,Perth - South West,2016,6498
Male,70-74,Perth - South West,2017,6979
Male,70-74,Perth - South West,2018,7581
Male,70-74,Perth - South West,2019,7942
Male,70-74,Perth - South West,2020,8417
Male,70-74,Perth - South West,2021,8755
Male,70-74,Perth - South West,2022,8778
Female,60-64,Perth - North West,2012,13406
Female,60-64,Perth - North West,2013,13692
Female,60-64,Perth - North West,2014,13818
Female,60-64,Perth - North West,2015,14005
Female,60-64,Perth - North West,2016,14266
Female,60-64,Perth - North West,2017,14849
Female,60-64,Perth - North West,2018,15246
Female,60-64,Perth - North West,2019,15748
Female,60-64,Perth - North West,2020,16408
Female,60-64,Perth - North West,2021,16621
Female,60-64,Perth - North West,2022,16788
Male,60-64,Perth - South West,2012,9488
Male,60-64,Perth - South West,2013,9595
Male,60-64,Perth - South West,2014,9781
Male,60-64,Perth - South West,2015,9852
Male,60-64,Perth - South West,2016,10065
Male,60-64,Perth - South West,2017,10353
Male,60-64,Perth - South West,2018,10662
Male,60-64,Perth - South West,2019,11057
Male,60-64,Perth - South West,2020,11673
Male,60-64,Perth - South West,2021,12089
Male,60-64,Perth - South West,2022,12543
Female,80-84,Bunbury,2012,1710
Female,80-84,Bunbury,2013,1722
Female,80-84,Bunbury,2014,1721
Female,80-84,Bunbury,2015,1768
Female,80-84,Bunbury,2016,1899
Female,80-84,Bunbury,2017,2003
Female,80-84,Bunbury,2018,2062
Female,80-84,Bunbury,2019,2189
Female,80-84,Bunbury,2020,2334
Female,80-84,Bunbury,2021,2413
Female,80-84,Bunbury,2022,2499
Total,35-39,Western Australia - Wheat Belt,2012,8117
Total,35-39,Western Australia - Wheat Belt,2013,8099
Total,35-39,Western Australia - Wheat Belt,2014,7927
Total,35-39,Western Australia - Wheat Belt,2015,7766
Total,35-39,Western Australia - Wheat Belt,2016,7552
Total,35-39,Western Australia - Wheat Belt,2017,7637
Total,35-39,Western Australia - Wheat Belt,2018,7750
Total,35-39,Western Australia - Wheat Belt,2019,7836
