SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS50,18644,17149,35790,62036,58278,120313,14171,14094,28266,11781,11645,23424,88132,84172,172303,40192,37390,77583,14824,14616,29443,15475,15243,30719,70573,67343,137919,4769,4503,9268,3849,6505,10356,5943,3475,9416,6630,11711,18340,92,89,181,21277,26284,47555,22063,28262,50319,8821,11621,20437,3661,4581,8239,8441,14098,22536,99,121,220,43079,58680,101755,64472,85087,149559,3084,3371,6458,5149,8039,13192,97,97,194,8335,11507,19842,43858,42321,86176,2636,2568,5203,296648,310142,606795
SOS51,3423,3293,6711,12587,11628,24211,2939,2843,5778,1808,1833,3643,17354,16329,33687,8870,8371,17243,2361,2519,4880,1615,1713,3328,12860,12620,25482,575,556,1131,345,736,1082,1372,891,2260,1337,2743,4083,33,14,41,3666,4932,8598,421,947,1372,394,987,1381,154,379,533,920,2286,3208,7,14,21,1892,4614,6506,5572,9568,15132,371,385,753,733,1227,1961,20,17,30,1117,1627,2746,21670,17201,38873,750,458,1208,62755,61089,123841
SOS52,455,421,876,1942,1779,3718,337,331,666,202,216,417,2484,2322,4802,1113,1111,2224,181,190,376,183,202,380,1471,1513,2985,51,73,124,28,62,98,138,69,210,122,285,413,3,6,4,345,496,841,42,79,123,43,101,139,18,28,47,94,264,363,0,0,4,200,478,677,539,976,1521,56,57,112,67,124,190,10,9,15,132,189,320,4755,3709,8464,84,115,194,9921,9240,19162
SOS53,1083,1039,2118,4338,3883,8223,1083,1058,2140,1066,971,2039,6489,5922,12410,2784,2565,5346,857,889,1743,1231,1213,2441,4872,4671,9541,239,204,450,103,174,280,578,268,850,501,811,1316,14,10,19,1440,1472,2906,389,628,1013,153,332,490,101,191,297,463,822,1284,3,0,9,1120,1972,3088,2554,3448,6003,154,158,312,242,396,639,5,4,11,402,562,962,24439,9080,33519,503,262,774,40348,24974,65319
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
