SOS_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOS50,4158,787,1512,164,6631,1519,203,494,86,2304,1200,358,1078,128,2761,872,345,1930,86,3231,4405,823,3315,247,8794,3444,1235,5786,285,10751,17944,2623,6375,434,27381,12813,3995,8004,832,25650,14228,7249,8848,822,31153,15960,10796,7802,971,35533,9741,11581,6157,685,28164,11201,12814,5193,662,29863,24535,32211,8816,1235,66798,18627,28371,3881,745,51624,14910,26807,2740,462,44925,9259,18367,1079,251,28960,24341,61996,3208,432,89982,14372,29736,6317,339,50760,2452,1535,1050,123,5164,205986,251858,83590,8990,550426
SOS51,579,80,225,16,908,254,29,87,16,383,220,42,261,13,538,159,35,473,11,678,941,117,830,45,1935,721,165,1337,48,2271,4314,395,1516,79,6305,2634,584,1691,119,5044,2808,1077,1818,117,5823,3104,1755,1435,142,6427,1698,1874,1058,94,4730,2121,2172,862,88,5234,4716,5513,1385,144,11759,3519,4961,533,85,9094,2871,4502,411,69,7857,1629,2755,152,24,4560,3868,7249,341,49,11506,3355,6275,1333,80,11053,630,333,312,36,1305,40142,39936,16070,1270,97412
SOS52,111,14,31,5,155,62,14,33,0,111,43,22,134,9,207,48,6,147,4,210,251,104,170,21,545,159,97,254,15,523,883,211,274,39,1402,535,180,312,45,1064,469,226,257,35,992,553,282,179,18,1040,234,269,112,8,622,349,310,93,11,757,685,670,128,23,1504,480,465,64,11,1019,359,428,29,6,827,174,250,18,4,447,395,538,46,0,973,537,856,264,22,1673,171,81,114,16,385,6485,5035,2645,291,14467
SOS53,433,88,53,11,588,222,32,23,0,282,142,37,83,9,269,106,28,129,15,269,663,125,227,20,1022,362,130,255,18,761,1865,214,275,29,2385,1311,337,358,54,2060,1515,574,347,46,2479,1638,779,304,25,2748,906,764,220,15,1905,1131,842,200,19,2196,2193,1917,292,25,4436,1536,1764,153,17,3470,1241,1504,89,10,2842,729,1073,58,9,1863,1905,3059,111,19,5098,1567,3374,444,16,5407,406,205,102,23,735,19878,16840,3732,375,40824
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
