SOS_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS50,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOS51,9553,5584,7444,7331,6868,6083,4010,2086,923,49877,79692,42053,52349,53805,51916,49969,40660,20677,7433,398565
SOS52,1765,865,1327,1254,1349,1468,1178,556,153,9920,11526,6249,7910,7789,8361,9967,8821,3999,1111,65723
SOS53,3091,3462,7313,7191,7115,5607,2881,991,168,37824,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOS57,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
