SOS_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS50,2372,2200,4565,60182,57039,117220,2033,1879,3910,64586,61109,125696,2382,2179,4558,62819,59943,122756,2255,2210,4469,67457,64330,131782,2306,2266,4569,62515,58937,121455,2238,2064,4303,67058,63263,130320,2064,1932,3994,56702,54232,110933,1890,1863,3755,60648,58036,118685,1861,1785,3647,59140,58686,117823,2336,2186,4520,63332,62657,125988,1651,1732,3382,61997,64607,126601,2776,2819,5600,66422,69160,135581,1423,1489,2914,67196,74995,142191,2886,2834,5718,71502,79315,150821,1156,1220,2373,70588,75821,146412,2695,2835,5531,74444,79867,154314,970,1016,1990,62382,66546,128928,2525,2053,4580,65878,69618,135495,929,1006,1936,59503,63842,123349,2202,2058,4258,62639,66901,129540,812,987,1801,58232,62156,120387,2064,1825,3889,61113,64975,126083,717,812,1530,53344,57560,110899,1895,1630,3527,55948,59999,115954,541,620,1162,48211,53267,101477,1572,1459,3026,50322,55346,105668,821,1063,1891,138005,162671,300679,5370,6415,11782,144193,170157,314350,19995,20307,40300,920818,970292,1891114,34728,34139,68863,975547,1024731,2000278
SOS51,1609,1409,3016,10260,9724,19981,936,837,1771,12805,11970,24774,1654,1525,3178,11386,10791,22176,1171,1109,2280,14206,13428,27634,1597,1624,3222,11326,10571,21900,1119,1047,2166,14040,13248,27284,1320,1336,2655,9306,8671,17982,929,755,1683,11558,10769,22321,1102,1047,2153,8049,7677,15718,985,873,1858,10134,9598,19729,1011,1059,2072,9820,10293,20111,1384,1166,2557,12219,12523,24736,987,951,1939,11034,11892,22929,1492,1252,2742,13513,14104,27618,830,884,1712,11460,12241,23709,1540,1187,2728,13836,14313,28143,773,803,1570,10727,10964,21691,1441,963,2402,12936,12725,25662,714,755,1468,10924,11075,22000,1407,945,2360,13052,12777,25830,643,767,1407,11047,11212,22260,1437,972,2411,13127,12953,26085,575,669,1249,10808,10817,21622,1325,952,2277,12710,12439,25146,458,531,990,10664,11120,21783,1192,857,2054,12313,12509,24821,703,928,1631,29944,32273,62219,2454,2472,4926,33108,35671,68781,13971,14289,28259,166765,169326,336089,18809,15400,34209,199548,199016,398565
SOS52,559,504,1062,1223,1144,2361,159,168,321,1935,1809,3752,576,539,1121,1309,1185,2494,190,202,396,2075,1926,3998,532,541,1068,1207,1130,2335,192,177,368,1934,1845,3777,514,535,1051,952,870,1813,131,130,259,1595,1532,3122,424,481,912,979,885,1859,186,163,349,1588,1532,3119,394,430,823,1225,1207,2431,291,217,512,1912,1854,3766,360,394,755,1409,1422,2828,327,228,554,2103,2038,4140,331,402,730,1417,1416,2828,327,197,522,2070,2013,4086,302,365,662,1315,1233,2543,304,196,500,1920,1789,3709,298,296,594,1432,1286,2722,302,185,488,2034,1771,3803,266,337,594,1732,1624,3353,395,214,607,2391,2168,4557,229,280,509,1910,1850,3762,316,264,581,2457,2398,4855,213,212,426,2087,1994,4078,355,253,609,2656,2457,5110,288,390,679,6147,5583,11729,813,705,1517,7250,6681,13922,5289,5700,10991,24337,22824,47165,4289,3286,7571,33918,31810,65723
SOS53,321,291,608,3353,3111,6468,290,256,538,3965,3652,7621,381,311,692,4306,3908,8210,423,388,807,5105,4606,9715,391,387,776,4492,4251,8743,438,411,847,5325,5044,10372,454,371,821,3923,3458,7384,425,360,788,4805,4189,8990,474,273,748,4199,2935,7137,1210,580,1791,5878,3795,9679,537,240,779,5100,3461,8555,1970,738,2708,7605,4434,12043,586,281,863,5928,3975,9900,2297,708,3004,8808,4961,13771,505,257,765,6476,4415,10888,2322,623,2938,9297,5295,14593,425,233,662,6292,4525,10814,2002,613,2617,8716,5377,14091,389,219,611,6986,5246,12228,2113,694,2810,9486,6159,15642,306,234,541,7838,5964,13800,2179,716,2898,10322,6913,17237,255,176,432,7946,6475,14421,1849,706,2555,10052,7356,17413,205,162,364,7560,6386,13947,1386,581,1964,9150,7120,16271,285,261,543,16912,13621,30535,1777,1252,3032,18974,15130,34111,5522,3699,9216,91306,71722,163029,20678,8626,29304,117502,84045,201544
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,7,11,3,3,6,13,8,20,4,0,4,49,21,73,29,15,41,81,36,116,0,0,0,89,29,120,60,14,72,152,43,196,3,0,4,153,29,178,132,9,138,283,40,327,9,0,14,233,13,254,195,10,207,441,29,470,3,0,3,251,13,263,213,11,216,465,24,483,3,3,8,227,11,238,190,6,196,418,23,440,9,0,14,221,24,245,182,11,193,418,36,453,0,0,3,170,27,195,135,11,145,305,43,341,0,0,3,92,28,114,55,14,71,150,40,188,0,0,0,88,57,143,45,24,64,131,77,209,39,6,48,1574,267,1836,1241,121,1364,2856,395,3250
