SOS_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS50,29764,19357,12492,7493,2691,544,98086,792,8034,10219,9334,7201,4222,1340,222,41369,20563,78237,77979,53611,34068,22652,9001,2303,298420,9626,27909,33902,31685,26539,18474,8273,2288,158681,29577,57255,52315,46880,41069,26502,11902,3285,268788,10067,4490,3231,2601,2147,1433,554,117,24642,2110,3053,4468,5859,5630,4475,2348,766,28709,41755,64801,60020,55335,48839,32412,14805,4162,322135,900,1955,2436,2233,2022,2156,1504,544,13751,11966,17199,15929,13298,11734,11847,11295,8139,101419,87243,222239,230253,184862,142892,99255,48913,18211,1033862
SOS51,1891,1411,1116,831,240,43,7214,96,963,1356,1269,1047,696,174,31,5625,1448,7928,8186,6284,4595,3391,1301,296,33433,811,3809,5300,5193,5011,3624,1452,312,25510,6511,15004,14529,12886,10846,6769,2484,570,69601,2559,1400,929,714,586,355,117,21,6689,371,597,877,1140,1163,931,378,98,5556,9442,17007,16337,14733,12596,8062,2978,687,81837,103,265,311,321,325,384,241,71,2027,4582,6555,6332,6019,5700,4530,3195,1787,38698,16586,38108,39710,35233,30395,21511,9585,3229,194353
SOS52,187,175,210,143,47,3,961,5,114,117,145,166,123,19,0,689,162,944,913,721,726,574,201,45,4289,76,437,587,641,837,690,213,39,3521,721,1864,1748,1690,1928,1359,426,78,9802,274,194,121,114,122,74,21,0,922,54,93,122,144,177,178,52,10,828,1051,2150,1985,1942,2235,1607,495,90,11552,10,22,41,34,45,73,42,13,285,891,1277,1264,1376,1520,1402,781,252,8761,2209,5135,5097,5027,5738,4613,1808,438,30061
SOS53,828,760,825,584,182,27,3929,24,336,489,633,652,459,63,11,2675,788,3694,3945,3787,3152,2284,613,75,18338,394,1467,2189,3047,3385,2373,682,110,13634,2865,6517,7148,7327,6958,3868,1061,118,35860,895,446,446,376,328,190,41,4,2728,162,230,391,602,706,567,178,34,2867,3925,7193,7983,8303,7998,4623,1281,156,41456,51,96,134,176,209,225,93,18,1008,3038,6248,6156,6327,5235,3048,1318,241,31614,8289,19688,21721,23041,21451,13598,4235,628,112651
SOS57,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
