SOS_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOS50,11341,11327,22662,13950,13155,27098,128,76,209,31,15,45,1966,1679,3644,334514,296171,630681,17966,25004,42971,4560,134,4693,2464,255,2711,5224,1495,6715,8767,2178,10939,6941,7011,13950,407844,358480,766327,6731,6529,13258,9,7,25,0,4,5,4523,4112,8630,658,912,1570,495,188,681,12413,11755,24171,13,8,24,8,8,15,725,766,1495,450,877,1326,502,350,855,1699,2006,3704,3833,2067,5899,17947,15828,33771,2108,2514,4617,324,225,549,196,78,274,2628,2815,5442,33695,43286,76978,50297,65332,115625,2236,1566,3799,514630,487315,1001946
SOS51,79,72,154,2389,649,3039,34,7,41,0,0,5,193,202,393,63226,57992,121215,5815,5405,11217,1165,52,1218,566,129,701,1080,543,1627,1556,471,2031,2493,2945,5448,78602,68475,147083,49,37,83,0,0,0,0,0,0,94,73,169,3,10,18,0,0,4,152,123,278,0,0,0,0,0,0,354,120,478,48,47,95,82,24,106,489,191,677,1001,471,1473,1640,781,2428,36,27,63,70,12,89,65,23,93,175,67,241,2787,5203,7993,11502,12134,23640,624,435,1065,95336,87106,182442
SOS52,9,11,14,604,184,789,6,0,8,0,0,0,10,0,10,7804,6285,14092,793,638,1427,335,10,344,36,5,41,130,94,227,388,113,507,1025,1414,2437,11146,8758,19902,4,5,3,0,0,0,0,0,0,13,16,34,0,0,0,0,0,0,18,22,38,0,0,0,0,0,0,20,6,29,9,0,11,13,6,22,44,14,56,152,68,223,212,112,319,11,0,9,29,4,33,15,3,19,54,8,62,476,756,1232,1654,1653,3309,196,154,354,13738,11442,25180
SOS53,130,123,253,5884,1057,6940,14,4,17,0,4,6,97,25,120,25927,19673,45593,3259,1796,5055,1408,84,1489,199,26,229,133,55,189,4377,1103,5480,3655,2460,6116,45087,26411,71494,20,20,47,0,0,0,0,0,0,123,129,252,14,10,19,3,0,3,155,166,322,0,0,0,0,0,0,74,21,99,48,13,66,324,68,389,452,108,555,921,252,1174,1529,521,2053,43,43,88,277,52,325,87,17,106,406,114,517,6052,6223,12278,5466,5665,11126,599,375,976,59138,39300,98440
SOS57,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
