SOS_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS50,587114,604198,1191319,3070,2305,5377,1384,1258,2647,2191,2843,5035,11534,15426,26953,2011,2138,4152,1238,1105,2341,470,541,1011,3808,4674,8487,947,1033,1982,2874,3311,6184,29855,27814,57670,4862,7955,12815,3161,2989,6144,1835,1662,3495,8027,7568,15592,8176,7786,15967,1235,3071,4310,2634,3321,5956,603,534,1135,13851,16977,30827,2144,2051,4190,3224,3381,6608,28190,26974,55156,4392,2748,7144,12484,17635,30116,2127,2935,5059,6792,8282,15076,17876,19153,37031,4386,4145,8528,1148,2216,3361,2181,5979,8156,95422,96181,191611,4156,4312,8467,7211,9672,16876,54164,61826,115993,38773,38735,77508,2636,2568,5203,978179,1027301,2005481
SOS51,141843,141918,283761,172,94,262,73,53,126,285,460,744,413,596,1011,96,79,172,86,50,134,171,140,309,693,977,1667,55,46,101,90,125,216,1446,1162,2608,263,597,868,95,68,159,40,39,75,749,708,1456,686,583,1275,69,199,271,176,184,364,44,31,74,408,467,876,113,103,221,643,668,1303,6624,6002,12624,220,151,373,2352,3243,5594,142,204,352,253,300,557,2484,2630,5112,264,209,472,142,326,470,310,1079,1388,12350,13061,25411,526,590,1112,270,399,667,4759,4791,9549,20148,16679,36831,750,458,1208,200300,199476,399776
SOS52,24147,22923,47070,10,5,14,0,5,3,38,44,81,21,44,70,15,14,25,0,7,10,25,18,46,106,159,265,5,8,13,11,13,26,109,115,218,28,62,90,10,3,9,10,0,10,110,101,206,91,67,163,11,20,28,3,15,15,4,0,3,43,35,89,10,3,20,106,110,219,945,833,1781,11,4,14,288,367,651,15,23,38,25,22,49,230,233,458,20,11,30,17,48,66,22,100,123,2063,1965,4034,60,83,154,24,38,65,565,571,1134,4711,3726,8431,84,115,194,33998,31926,65920
SOS53,74820,58311,133126,69,6,75,31,5,42,186,239,424,234,149,383,96,58,156,30,10,44,88,29,116,459,522,980,36,19,54,51,49,107,387,170,554,139,147,283,96,10,105,39,11,46,536,311,847,479,313,790,22,88,109,56,34,91,24,4,33,264,210,468,24,4,25,413,354,763,3877,2230,6108,57,18,74,639,485,1129,87,88,174,143,141,284,1268,960,2226,95,35,136,31,77,113,64,260,331,7736,6993,14727,316,318,634,258,201,455,2953,1907,4864,21397,9270,30664,503,262,774,118008,84308,202315
SOS57,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
