SOS_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS50,726344,751917,1478263,5383,5862,11244,7838,7497,15337,858,996,1848,8733,10317,19042,22207,26895,49095,1689,2056,3746,32622,39266,71891,2164,2533,4706,3886,4374,8259,3059,3729,6790,1970,2148,4118,1838,1790,3626,4957,4754,9709,5844,5404,11247,2422,2326,4750,10547,9283,19834,2969,2966,5933,4621,3355,7983,1289,1295,2578,34481,31177,65660,10463,11971,22439,2301,3325,5624,632,870,1503,3047,3449,6501,2771,2903,5674,4507,4408,8917,3677,3641,7322,2212,2902,5118,3443,4097,7533,1335,2143,3482,422,361,779,2624,2753,5377,4365,5539,9906,4838,6592,11425,6187,7992,14179,3321,4384,7704,18710,24503,43216,5281,6217,11504,4215,4161,8372,1807,4455,6255,987,937,1923,9757,11636,21391,34940,38172,73115,204703,229653,434358,44496,43161,87657,2636,2568,5203,978179,1027301,2005481
SOS51,161497,163981,325477,1168,1180,2345,270,201,474,1110,1283,2398,209,262,470,797,1044,1841,35,45,85,1047,1346,2393,79,93,173,466,472,938,474,670,1150,137,130,263,89,67,161,183,143,327,296,240,541,125,114,242,345,285,633,197,149,347,219,159,377,71,59,123,1530,1221,2746,875,898,1774,125,207,326,47,41,92,178,186,363,63,64,129,364,316,679,95,82,178,169,221,390,203,237,439,115,153,266,72,52,129,61,54,119,934,1088,2019,310,426,733,1125,1301,2422,666,793,1461,3035,3606,6635,459,478,938,157,133,287,274,844,1118,39,23,65,339,463,801,4314,4230,8539,16260,17742,34009,21788,17296,39082,750,458,1208,200300,199476,399776
SOS52,25842,24348,50192,84,100,179,22,13,30,2120,2361,4476,9,11,24,70,106,169,0,3,5,78,121,206,19,21,35,42,40,86,53,105,158,15,18,34,4,4,3,4,9,14,16,11,30,13,8,21,27,19,49,8,5,19,3,4,5,0,0,4,79,55,135,75,85,157,16,17,28,0,6,11,7,17,21,14,5,20,32,41,66,6,7,9,10,17,29,22,22,40,5,10,19,0,0,0,5,9,12,117,121,236,30,32,63,129,123,248,26,34,59,298,313,613,59,57,115,15,8,25,20,75,95,0,0,3,32,37,79,2399,2653,5052,3463,3906,7369,4610,3549,8165,84,115,194,33998,31926,65920
SOS53,85767,69283,155050,524,415,941,98,44,141,1401,1369,2771,75,65,142,373,276,653,19,6,24,473,351,822,129,94,221,249,224,471,391,428,819,80,57,139,22,7,35,39,15,53,49,12,59,18,5,28,64,26,88,43,10,56,40,11,52,32,8,36,302,100,406,579,495,1078,47,66,118,23,9,30,50,28,82,65,42,99,30,5,36,57,7,68,87,71,159,117,85,200,43,26,64,26,7,29,58,31,87,223,104,328,114,84,201,292,145,437,153,111,264,789,444,1230,225,208,427,32,13,50,79,213,286,11,8,16,254,229,478,2690,2121,4813,7532,5845,13374,24204,8909,33120,503,262,774,118008,84308,202315
SOS57,1404,244,1654,0,0,0,3,0,3,3,0,0,0,0,0,8,3,12,0,0,0,8,3,12,0,0,0,9,4,6,3,0,5,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,16,0,14,3,0,3,4,0,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,5,7,0,7,3,3,8,0,0,0,18,0,20,13,0,13,28,0,28,6,0,6,67,7,74,4,0,4,0,0,0,5,4,8,0,0,0,7,0,7,41,5,41,208,22,233,1238,122,1364,143,16,164,3003,413,3413
