SOS_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOS50,599829,1630729,83044,155431,32585,65616,115629,221045,20290,32668,15501,24564,17585,28536,10139,17352,789,1624,64306,104740,1146,1665,1167,1696,1395,1491,398,777,4103,5638,1012,1793,784879,1963937,70264,..,855144,1963937
SOS51,127941,326181,13960,23697,2650,5111,16613,28813,2440,3831,361,538,248,399,229,343,87,164,3362,5275,5037,9716,1530,2456,695,873,240,554,7502,13598,969,1686,156386,375551,26219,..,182603,375551
SOS52,22053,52730,1006,1741,101,164,1106,1913,269,414,11,10,0,0,0,0,12,21,295,446,1941,3728,189,316,126,201,109,215,2368,4459,365,554,26193,60102,8111,..,34301,60102
SOS53,53138,136520,412,994,40,92,450,1091,109,192,5,17,0,3,4,4,95,210,217,424,5138,10400,572,961,872,1494,170,426,6751,13273,1737,3237,62293,154547,13513,..,75806,154547
SOS57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
