SOS_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SOS50,995,60869,2726,68,64648,6534,122293,5691,117,134627,2193,56037,2418,63,60713,1545,58595,3189,190,63523,2390,127751,7789,548,138475,2218,131063,7035,388,140711,3061,115114,5572,372,124118,4415,97546,4307,397,106670,6379,73989,3246,342,83955,7707,35113,2415,118,45355,6048,7758,1534,28,15374,43499,886127,45922,2636,978179,583,57994,2539,70,61180,3152,119020,5423,113,127708,1454,54237,2340,67,58103,1135,58819,2706,187,62845,2217,139243,7016,478,148949,2548,140756,6179,242,149730,3653,123420,4803,262,132138,5433,106079,3834,513,115861,7321,82233,3353,446,93356,11021,38706,2979,140,52848,12529,9437,2574,45,24582,51049,929938,43753,2568,1027301,1574,118858,5259,137,125835,9680,241308,11113,230,262338,3648,110275,4766,129,118813,2682,117410,5900,379,126375,4604,266994,14801,1024,287428,4772,271814,13215,632,290440,6715,238539,10369,635,256255,9854,203626,8142,910,222529,13702,156219,6604,788,177310,18728,73813,5399,267,98207,18579,17198,4106,78,39957,94543,1816061,89672,5203,2005481
SOS51,165,11527,1110,8,12814,1382,24278,2587,16,28257,481,10027,1049,14,11570,323,8627,1185,130,10267,464,21706,3561,264,25995,444,22712,3613,128,26902,646,22252,3286,64,26243,1023,21237,2767,69,25084,1432,17087,1646,39,20197,1687,7487,814,19,10005,1135,1526,298,7,2966,9181,168457,21909,750,200300,101,10872,998,6,11974,690,23528,2457,13,26688,264,9634,875,12,10774,198,8427,973,62,9654,420,23486,2715,165,26791,531,24080,2432,32,27075,786,22768,2182,32,25763,1125,21846,1977,56,25011,1559,17526,1415,57,20555,2044,7854,797,14,10709,2240,1785,455,7,4481,9939,171806,17271,458,199476,262,22402,2107,11,24782,2068,47804,5042,27,54946,741,19661,1920,20,22341,518,17056,2155,193,19925,880,45196,6274,432,52783,975,46791,6043,170,53975,1432,45017,5466,89,52008,2152,43084,4739,124,50096,2991,34611,3061,89,40752,3730,15336,1617,35,20711,3375,3316,748,7,7447,19125,340264,39178,1208,399776
SOS52,15,1725,197,0,1935,166,3390,447,0,4007,60,1379,159,0,1595,28,1345,218,20,1605,59,3276,681,44,4051,80,3238,675,11,4001,125,3541,764,0,4429,225,4192,699,3,5112,380,3747,552,8,4676,300,1545,239,0,2080,147,292,59,0,496,1576,27652,4685,84,33998,11,1593,211,0,1809,79,3247,448,3,3776,35,1341,152,4,1533,24,1316,190,20,1551,46,3350,493,54,3946,77,3265,451,14,3816,170,3337,430,11,3953,282,4039,534,3,4860,313,3382,448,5,4157,299,1385,226,0,1914,263,278,77,0,616,1608,26532,3666,115,31926,23,3320,405,0,3752,252,6634,894,3,7782,93,2720,312,4,3128,58,2660,408,31,3154,113,6624,1176,91,8001,153,6504,1131,28,7821,293,6883,1192,16,8375,506,8229,1229,7,9975,686,7130,1001,15,8829,600,2926,468,0,3999,413,566,133,0,1114,3185,54189,8348,194,65920
SOS53,45,3587,331,5,3965,375,9163,890,24,10455,148,4179,475,3,4807,85,4253,1541,59,5940,134,10886,5399,174,16591,127,12530,5358,100,18116,224,14690,4894,64,19874,405,15272,3522,48,19251,581,11254,1426,28,13287,537,3889,446,5,4877,251,506,82,0,840,2918,90219,24368,503,118008,33,3349,269,0,3652,188,8620,852,16,9669,69,3736,390,3,4197,65,3107,621,47,3843,108,7744,1546,113,9515,125,9201,1340,28,10697,263,11326,1483,12,13079,431,12725,1319,22,14508,523,9108,894,14,10535,550,2908,335,0,3797,371,392,50,4,818,2727,72220,9093,262,84308,75,6936,601,5,7622,557,17783,1739,37,20119,214,7914,859,7,8998,148,7364,2160,111,9785,246,18631,6941,290,26105,251,21735,6699,126,28811,486,26017,6384,74,32959,839,28001,4842,75,33753,1106,20363,2317,40,23823,1091,6797,780,12,8679,625,902,132,5,1662,5645,162439,33464,774,202315
SOS57,0,0,0,0,0,0,0,0,0,0,0,5,3,0,14,0,46,31,0,81,0,243,189,24,459,0,494,412,37,945,7,459,374,53,896,0,259,195,24,473,4,75,39,0,119,0,8,0,0,15,0,0,0,0,0,7,1603,1244,143,3003,0,0,0,0,0,0,4,0,0,4,0,7,3,0,8,0,21,15,0,37,0,57,28,3,94,0,30,19,7,55,0,34,23,0,57,3,54,24,3,86,0,42,12,0,61,0,10,5,0,17,0,0,0,4,3,0,269,122,16,413,0,0,0,0,0,0,3,0,0,3,0,11,6,0,19,0,72,44,0,121,0,300,217,33,549,0,528,431,37,999,7,496,391,61,951,0,313,214,29,560,4,119,53,0,178,0,26,6,0,32,0,0,0,4,3,12,1869,1369,164,3413
