SOS_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS50,142892,99255,48913,18211,1033862
SOS51,30395,21511,9585,3229,194353
SOS52,5738,4613,1808,438,30061
SOS53,21451,13598,4235,628,112651
SOS57,465,123,24,0,2853
