SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
SOS50,23181,11106,12014,23123,11322,12083,23405,11305,12140,23448,11016,11780,22792,55948,59999,115954,10759,11634,22386,10397,11450,21846,10015,11094,21102,9772,10680,20450,9379,10491,19875,50322,55346,105668,9633,10487,20118,9027,10224,19255,8618,9946,18567,8571,9590,18164,8348,9303,17649,44192,49557,93749,8235,8978,17217,7908,8751,16659,7622,8691,16309,7648,8264,15919,8005,8670,16674,39424,43357,82781,6205,6729,12930,5785,6363,12146,5604,6235,11839,4759,5491,10253,4820,5412,10226,27172,30227,57400,18064,22481,40545,9986,14317,24306,4271,7590,11866,998,2283,3288,85,345,436,2636,2568,5203,978179,1027301,2005481
SOS51,4945,2484,2403,4880,2552,2494,5051,2605,2514,5122,2543,2606,5149,12710,12439,25146,2651,2636,5289,2463,2492,4958,2463,2554,5012,2335,2525,4856,2401,2312,4712,12313,12509,24821,2303,2380,4691,2136,2291,4425,2126,2121,4249,2014,2159,4166,2026,2135,4160,10609,11081,21696,1999,2011,4003,1924,1886,3810,1926,1861,3780,1834,1782,3622,1872,1883,3754,9554,9417,18969,1394,1445,2837,1319,1375,2690,1275,1271,2545,1043,1140,2177,1059,1131,2187,6087,6355,12445,3899,4341,8239,1956,2738,4692,815,1302,2115,172,380,552,19,55,71,750,458,1208,200300,199476,399776
SOS52,911,511,437,946,490,483,978,521,504,1021,486,518,997,2457,2398,4855,599,481,1086,488,478,965,523,529,1052,489,488,974,555,480,1033,2656,2457,5110,536,460,1003,493,469,962,463,439,902,487,502,986,462,436,893,2444,2302,4750,496,413,908,478,403,882,429,352,779,409,332,743,408,346,756,2225,1848,4071,278,278,548,299,255,557,258,247,506,220,186,411,259,206,466,1319,1163,2485,761,748,1510,342,392,735,120,174,294,33,41,76,0,3,9,84,115,194,33998,31926,65920
SOS53,3407,1952,1462,3411,2000,1508,3508,2099,1483,3578,2006,1498,3505,10052,7356,17413,1965,1535,3496,1890,1435,3330,1805,1448,3246,1744,1359,3109,1745,1342,3094,9150,7120,16271,1687,1411,3102,1548,1266,2809,1476,1199,2674,1404,1137,2546,1339,1057,2392,7455,6060,13513,1313,1000,2313,1224,956,2174,1118,822,1939,1087,834,1917,1071,853,1921,5809,4457,10271,804,628,1440,780,560,1334,650,504,1150,565,438,1007,517,418,927,3316,2542,5860,1558,1246,2806,613,537,1156,190,216,406,33,57,96,0,9,3,503,262,774,118008,84308,202315
SOS57,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
