SOS_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOS50,40664,73666,31411,19290,48050,8531,910,222529,23094,47733,29737,21440,47111,7417,788,177310,11486,20937,13941,11281,33226,7065,267,98207,4611,5816,2973,2182,18828,5478,78,39957,349476,447152,183760,136880,412992,82217,4837,1617314
SOS51,8422,15086,6682,4245,10648,4888,124,50096,5027,9972,6478,5267,10531,3392,89,40752,2338,4064,2835,2628,6712,2100,35,20711,823,995,605,518,3288,1206,7,7447,59999,84327,36597,29205,74278,34471,1167,320040
SOS52,1687,2747,1240,900,2112,1275,7,9975,1059,1962,1271,1218,2203,1112,15,8829,403,700,515,573,1216,590,0,3999,121,153,85,87,487,185,0,1114,9691,13217,6258,5419,12057,7550,195,54391
SOS53,5017,9177,4564,3357,6607,4954,75,33753,3047,5563,3826,3563,5304,2478,40,23823,1043,1702,1289,1333,2346,948,12,8679,244,322,163,139,625,163,5,1662,29247,40235,19337,16166,36779,32078,733,174575
SOS57,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
