SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS50,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOS51,79692,42053,52349,53805,51916,49969,40660,20677,7433,398565
SOS52,11526,6249,7910,7789,8361,9967,8821,3999,1111,65723
SOS53,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOS57,3,137,518,957,896,533,176,32,0,3250
