SOS_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
SOS50,26774,5510,4516,3164,3434,5408,5940,2476,717,57938,11781,2671,981,691,796,1537,2373,978,319,22125,6713,5625,3226,2281,2481,3343,4753,2714,795,31925,2697,4965,4514,3257,3573,4981,11650,9796,3096,48539,2473,4357,3771,2614,3026,4237,9823,7378,2856,40525,2832,5875,5305,3362,3388,4202,8427,5452,1572,40422,1900,6561,6783,4346,3529,4296,6290,3883,1148,38736,1312,7532,12534,8075,6768,6660,5926,2601,728,52141,732,6890,18725,13873,10958,10301,6310,2147,495,70430,277,4009,16142,13329,10376,8798,4284,1209,240,58676,146,2380,14557,14163,11253,9273,3422,913,258,56363,63,1227,10780,12552,10420,7517,2361,478,126,45533,65,1480,19040,28623,24118,16305,4092,755,193,94662,13,225,4215,8484,7525,4673,1197,225,62,26613,40,179,4046,13842,15883,9864,2728,684,165,47429,2841,3850,8797,7664,6214,4875,4031,3543,2577,44389,63,190,548,388,372,397,342,118,28,2453,60713,63523,138475,140711,124118,106670,83955,45355,15374,778901,22399,4745,13185,14910,11038,14595,9632,3098,1252,94854,13957,2981,3173,3942,2954,3904,3705,1354,481,36440
SOS51,4037,545,529,440,539,954,1073,370,109,8598,2126,139,104,119,153,312,469,192,57,3673,1050,506,599,519,529,747,1129,539,183,5798,431,438,697,623,753,1242,3186,2411,651,10418,500,424,502,514,651,1078,2484,1690,539,8384,727,689,678,581,667,966,2019,1163,285,7781,541,1049,1018,654,720,1060,1522,826,219,7601,404,1326,1872,1262,1270,1461,1327,527,122,9582,245,1202,2747,2184,2006,2258,1476,405,67,12587,116,766,2334,2052,2001,1819,851,204,43,10190,75,617,2415,2347,2259,1965,724,153,52,10605,26,393,2059,2268,2233,1828,539,97,19,9466,33,562,4213,5609,5268,3867,804,132,21,20510,3,101,1200,1724,1641,1087,235,40,8,6043,11,75,1071,2215,2104,1467,426,119,23,7507,1230,1303,3699,3668,3386,2913,1897,1123,547,19767,14,130,264,128,64,69,39,19,7,729,11570,10267,25995,26902,26243,25084,20197,10005,2966,159227,3326,556,2206,1857,1469,2717,1614,448,170,14362,2576,234,616,646,444,746,665,216,108,6253
SOS52,588,88,91,80,98,213,241,65,14,1478,146,25,32,32,27,70,101,37,10,492,193,214,322,269,255,244,274,130,27,1928,62,133,206,186,241,343,751,491,102,2521,62,50,95,116,171,268,677,412,93,1945,90,56,114,113,135,220,430,202,56,1413,65,109,132,107,118,199,339,144,38,1261,67,169,251,194,216,304,267,97,24,1595,37,162,321,270,323,447,276,87,14,1942,16,110,302,255,311,377,181,38,5,1588,13,69,326,304,305,374,159,34,7,1588,3,60,250,260,300,301,89,8,4,1272,5,79,557,653,672,602,139,17,0,2723,0,12,168,199,187,167,42,3,3,775,0,9,119,231,258,221,73,13,6,937,248,227,730,725,798,770,640,303,85,4525,0,20,44,11,0,3,8,0,0,81,1595,1605,4051,4001,4429,5112,4676,2080,496,28053,552,107,292,201,248,511,316,68,24,2328,225,50,102,105,84,169,136,41,7,925
SOS53,1736,194,230,243,424,760,731,226,28,4565,695,85,58,72,110,248,337,142,18,1767,362,249,262,295,300,532,723,278,65,3059,170,174,225,260,368,642,1722,969,171,4707,226,175,242,204,313,602,1413,673,166,4004,342,291,285,261,401,703,1180,517,79,4064,217,409,355,325,431,717,900,370,56,3789,164,488,633,534,659,1026,902,304,42,4759,101,524,1000,841,1111,1464,1006,242,35,6329,50,412,894,934,1055,1233,647,146,9,5375,38,317,1019,1062,1318,1303,487,127,18,5691,34,280,997,1164,1302,1212,346,75,8,5408,35,539,2873,3318,3730,2797,685,99,11,14091,7,96,988,1327,1322,920,197,23,7,4892,18,70,858,1687,1909,1300,392,107,17,6349,599,1587,5509,5479,5063,3743,1596,578,105,24259,3,59,174,100,64,48,28,5,0,483,4807,5940,16591,18116,19874,19251,13287,4877,840,103590,1421,170,623,740,948,1645,1007,207,70,6835,904,103,242,312,292,468,397,104,23,2861
SOS57,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,13,0,5,4,3,0,0,0,0,0,14,0,0,0,0,4,0,8,3,0,19,0,0,4,5,3,5,0,0,0,17,0,5,3,4,6,0,8,0,0,24,0,6,11,17,17,7,0,3,0,66,0,3,14,12,17,7,6,0,0,65,0,8,17,23,22,14,8,0,0,93,0,9,14,25,22,10,0,0,0,88,0,11,72,138,110,76,9,0,0,418,0,3,26,82,56,28,6,0,0,207,0,0,61,183,189,89,10,0,0,538,3,32,190,413,386,197,40,4,0,1269,0,0,24,37,53,24,0,0,0,143,14,81,459,945,896,473,119,15,0,3002,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,4,0,0,0
