POW_GCCSA_CODE_2021,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
5GPER,100,173,174,172,117,84,74,113,921,1938,2509,4136,2611,3327,3168,1758,1499,2162,2341,23513,541,598,380,346,438,211,73,216,231,3035,321,1096,413,1565,647,1119,215,920,141,6428,557,1918,1035,3398,1409,2443,406,1838,209,13216,831,2396,1696,4037,1964,2713,554,2203,231,16620,982,2838,2409,5424,2649,3220,734,2708,274,21239,1762,5326,4281,9757,4979,4413,1243,3924,435,36120,2609,7420,6126,12059,6822,4357,1843,4221,508,45969,4577,11543,9819,14275,10068,4246,3801,5084,765,64181,7553,20097,15483,13306,15083,3930,5184,4891,1110,86643,7306,24922,13833,7111,12887,2659,3637,2650,981,75992,8293,30552,12662,5276,9142,1957,2781,1792,873,73322,7532,27294,8937,3718,5082,1244,2122,1062,699,57693,23051,52829,14698,4854,7190,1936,3306,1501,1170,110542,8110,11867,3446,457,1538,545,641,250,314,27162,18660,23327,3205,360,2223,1072,474,229,557,50096,504,1101,934,617,444,269,227,295,1654,6048,93189,225129,99366,86565,82547,36328,27238,33804,10153,694319
5RWAU,50,30,49,44,27,21,44,62,247,593,978,780,874,797,660,500,942,1150,696,7370,405,116,113,69,99,40,44,94,91,1065,172,174,139,322,150,236,42,262,35,1526,336,337,289,537,332,346,75,502,60,2810,373,427,384,661,459,386,120,573,82,3472,472,556,592,1011,635,488,148,704,86,4690,794,906,1074,1955,1164,893,299,1185,118,8382,977,1347,1449,2543,1457,1057,404,1396,132,10761,1526,1918,2298,2965,1947,1037,675,1987,229,14573,2259,3116,3596,2798,2671,914,1213,2045,238,18863,2070,3877,3403,1614,2163,472,1355,1445,237,16647,2149,4951,3813,1317,1552,333,1745,1062,210,17149,1910,4719,3658,879,949,222,2166,806,194,15500,4634,9272,11776,1506,1332,285,5855,1408,448,36508,1568,2416,5041,204,352,73,1380,296,179,11525,3321,3450,4911,138,375,162,946,256,221,13781,244,201,417,149,95,65,176,172,442,1959,23228,37783,42950,18677,15737,7000,16641,14182,2998,179198
59499,4,6,8,15,12,5,14,9,64,145,131,137,305,191,112,51,191,305,181,1602,42,43,66,26,37,13,24,52,37,336,26,116,69,163,30,33,42,130,10,626,21,203,138,300,68,69,90,266,18,1175,58,204,259,326,95,71,125,328,28,1486,78,259,338,400,84,87,180,373,36,1839,108,346,599,647,118,97,260,495,38,2696,138,354,760,745,161,106,300,528,51,3128,162,426,1186,675,174,110,376,561,70,3735,228,511,1882,639,216,129,435,690,77,4811,248,493,1894,332,161,101,291,487,63,4073,314,527,1853,211,119,88,292,380,55,3844,205,445,1289,147,90,51,279,298,53,2865,488,890,2255,169,134,58,718,395,82,5188,156,305,628,16,42,13,179,94,27,1469,352,473,658,18,39,26,144,71,37,1808,23,40,143,34,16,13,46,54,119,491,2633,5640,14011,4832,1600,1067,3787,5209,793,39572
59799,0,0,0,0,0,0,0,0,6,6,0,9,4,4,0,0,8,13,9,41,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,5,0,0,11,0,0,3,6,0,0,0,7,0,11,4,7,14,3,0,0,0,14,0,40,0,6,13,0,0,0,3,4,0,29,0,8,18,7,0,0,6,10,5,51,0,15,24,4,0,0,8,10,5,68,9,49,70,10,11,0,27,60,0,240,8,40,71,4,7,0,25,19,3,166,28,103,264,5,11,0,39,17,8,478,0,0,0,0,0,0,0,3,4,16,51,223,485,39,26,0,110,157,28,1123
