POW_GCCSA_CODE_2021,F_IDNS_H_0,F_IDNS_H_1_19,F_IDNS_H_20_29,F_IDNS_H_30_34,F_IDNS_H_35_39,F_IDNS_H_40_44,F_IDNS_H_45_49,F_IDNS_H_50ov,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_19,F_Tot_H_20_29,F_Tot_H_30_34,F_Tot_H_35_39,F_Tot_H_40_44,F_Tot_H_45_49,F_Tot_H_50ov,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_19,P_AgFF_H_20_29,P_AgFF_H_30_34,P_AgFF_H_35_39,P_AgFF_H_40_44,P_AgFF_H_45_49,P_AgFF_H_50ov,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_19,P_Min_H_20_29,P_Min_H_30_34,P_Min_H_35_39,P_Min_H_40_44,P_Min_H_45_49,P_Min_H_50ov,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_19,P_Mnf_H_20_29,P_Mnf_H_30_34,P_Mnf_H_35_39,P_Mnf_H_40_44,P_Mnf_H_45_49,P_Mnf_H_50ov,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_19,P_EGWWS_H_20_29,P_EGWWS_H_30_34,P_EGWWS_H_35_39,P_EGWWS_H_40_44,P_EGWWS_H_45_49,P_EGWWS_H_50ov,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_19,P_Const_H_20_29,P_Const_H_30_34,P_Const_H_35_39,P_Const_H_40_44,P_Const_H_45_49,P_Const_H_50ov,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_19,P_WST_H_20_29,P_WST_H_30_34,P_WST_H_35_39,P_WST_H_40_44,P_WST_H_45_49,P_WST_H_50ov,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_19,P_RetT_H_20_29,P_RetT_H_30_34,P_RetT_H_35_39,P_RetT_H_40_44,P_RetT_H_45_49,P_RetT_H_50ov,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_19,P_AcFd_H_20_29,P_AcFd_H_30_34,P_AcFd_H_35_39,P_AcFd_H_40_44,P_AcFd_H_45_49,P_AcFd_H_50ov,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_19,P_TPW_H_20_29,P_TPW_H_30_34,P_TPW_H_35_39,P_TPW_H_40_44,P_TPW_H_45_49,P_TPW_H_50ov,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_19,P_IMT_H_20_29,P_IMT_H_30_34,P_IMT_H_35_39,P_IMT_H_40_44,P_IMT_H_45_49,P_IMT_H_50ov,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_19,P_FinIns_H_20_29,P_FinIns_H_30_34,P_FinIns_H_35_39,P_FinIns_H_40_44,P_FinIns_H_45_49,P_FinIns_H_50ov,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_19,P_RHRE_H_20_29,P_RHRE_H_30_34,P_RHRE_H_35_39,P_RHRE_H_40_44,P_RHRE_H_45_49,P_RHRE_H_50ov,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_19,P_ProSTS_H_20_29,P_ProSTS_H_30_34,P_ProSTS_H_35_39,P_ProSTS_H_40_44,P_ProSTS_H_45_49,P_ProSTS_H_50ov,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_19,P_AdSup_H_20_29,P_AdSup_H_30_34,P_AdSup_H_35_39,P_AdSup_H_40_44,P_AdSup_H_45_49,P_AdSup_H_50ov,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_19,P_PubAS_H_20_29,P_PubAS_H_30_34,P_PubAS_H_35_39,P_PubAS_H_40_44,P_PubAS_H_45_49,P_PubAS_H_50ov,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_19,P_EdTrn_H_20_29,P_EdTrn_H_30_34,P_EdTrn_H_35_39,P_EdTrn_H_40_44,P_EdTrn_H_45_49,P_EdTrn_H_50ov,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_19,P_HltHC_SA_H_20_29,P_HltHC_SA_H_30_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40_44,P_HltHC_SA_H_45_49,P_HltHC_SA_H_50ov,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_19,P_ArtsR_H_20_29,P_ArtsR_H_30_34,P_ArtsR_H_35_39,P_ArtsR_H_40_44,P_ArtsR_H_45_49,P_ArtsR_H_50ov,P_ArtsR_H_NS,P_ArtsR_H_Tot
5GPER,575,3181,2518,1396,2715,2584,446,861,2823,17102,22861,97519,85351,51987,98136,74556,19497,31228,6274,487405,180,915,769,602,980,1280,369,1025,98,6211,2863,1415,1637,1255,4906,11689,4518,13539,483,42306,1394,4067,3669,2472,13136,14241,5353,8642,353,53328,426,456,557,529,3305,3027,1045,1764,80,11195,1990,4904,4881,3908,11250,22883,7197,17330,846,75179,717,1816,1824,1308,5986,7229,2283,4325,146,25628,3271,27001,16944,7820,15804,11379,3583,5972,794,92566,1799,25067,12254,5169,7658,6247,2097,4346,739,65366,2040,3593,4143,2673,7583,10848,3910,7935,537,43267,266,1140,862,556,2037,2106,509,899,55,8438,1053,1690,2405,1712,6355,7054,1694,3228,121,25316,368,1731,1595,1011,3054,3455,1164,2593,109,15082,2462,7360,7136,5169,15867,23665,6216,11959,352,80189,968,5478,4675,2170,5204,4753,1220,2444,282,27193,3532,4203,4800,3558,19049,16263,4404,5856,384,62057,3683,16308,13538,9175,17349,15177,5708,9907,501,91348,7615,21388,25868,19338,33436,20819,5029,9537,1082,144111,706,5399,2538,1540,2938,2554,698,1377,131,17885
5RWAU,202,755,500,282,447,448,118,322,867,3940,7113,21490,18088,11988,19351,16447,5681,15706,2148,118021,951,2291,1840,1292,1668,3914,1595,8076,412,22034,6199,1542,1386,459,2270,3867,4982,31103,921,52724,750,1017,827,621,2497,3360,1707,3246,145,14172,179,169,144,128,765,819,378,893,43,3522,1095,1283,1096,885,2077,4196,1734,9143,318,21818,249,384,342,205,643,1314,639,1654,50,5476,886,5067,3344,1934,3387,2612,971,1786,201,20178,828,5074,2675,1531,2192,2028,741,3295,305,18666,769,1067,1064,608,1198,2021,857,3965,182,11732,41,171,116,71,198,204,76,135,9,1021,100,235,277,189,448,478,132,260,11,2132,134,302,277,167,589,541,202,846,21,3081,253,936,769,610,1155,1343,426,1543,60,7089,341,1316,933,566,950,892,375,1469,100,6939,1007,1063,971,731,3622,3761,973,1649,121,13900,1073,3072,3039,2339,3572,3555,1472,2568,169,20865,1846,3767,4481,3828,6027,4291,1002,2190,281,27720,126,645,399,190,350,293,94,250,30,2378
59499,93,282,125,69,87,104,13,65,195,1029,1457,6212,3370,1569,1660,1552,372,1349,417,17965,156,212,147,105,98,243,91,396,39,1491,1004,146,157,52,212,294,283,3273,123,5550,94,139,103,82,214,217,68,252,9,1175,36,29,26,27,80,78,27,119,7,426,877,1394,1503,1495,2474,5082,1526,3951,286,18594,46,108,65,47,130,201,49,158,6,808,114,378,254,119,236,259,71,155,15,1603,126,336,159,83,83,95,39,230,21,1162,281,751,692,378,421,699,216,853,94,4378,27,125,48,26,86,104,17,65,6,506,41,78,54,39,62,91,17,68,4,454,29,104,67,34,36,59,24,74,4,427,139,656,329,171,240,400,84,389,22,2436,313,2181,1225,564,552,573,143,483,78,6104,142,180,118,83,142,248,80,210,17,1209,154,965,358,156,145,152,30,83,19,2063,395,1813,1330,668,645,448,131,253,61,5747,22,416,117,57,52,69,18,56,9,820
59799,6,0,4,0,0,0,0,3,5,24,23,13,3,4,4,7,10,64,10,144,3,0,0,0,5,0,0,16,4,27,97,9,5,4,10,18,11,345,13,509,7,0,0,0,0,0,0,35,0,57,0,0,0,0,4,0,0,29,0,33,23,4,3,0,6,4,0,119,0,159,0,0,0,0,0,0,0,4,0,8,28,0,0,0,0,3,0,59,0,89,9,7,3,0,3,3,8,45,0,73,20,8,0,3,0,6,7,82,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,17,0,25,10,4,3,0,0,4,6,33,0,66,0,0,0,0,0,5,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
