POW_GCCSA_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
5GPER,1689,33778,7106,2188,3817,3278,805,978,765,54407,2611,21665,15115,7027,16630,14674,3687,5235,1793,88436,3980,9222,10277,6792,23674,22981,6491,10232,1845,95493,6110,9101,10691,7026,23018,24059,7069,12290,1640,101007,4871,9487,11973,7651,22974,23910,7128,12538,1251,101785,2660,7791,10535,7186,19691,22036,6640,11831,982,89349,2373,6591,9264,7072,19034,20551,6836,12176,902,84792,2807,5980,8215,6751,18654,18631,6192,11828,787,79845,3180,5764,7733,6008,16101,14673,5070,9044,617,68188,2738,5932,6637,4513,10972,9341,3018,5381,396,48941,1268,4395,3443,1783,3977,3248,996,1702,195,21010,370,2448,1041,477,801,663,181,366,67,6420,119,1089,318,103,153,149,35,67,58,2089,34771,123244,102355,64578,179504,178196,54148,93676,11292,841764,10,57,12,7,3,5,0,6,6,94,3,67,72,30,47,93,17,70,12,404,24,120,161,110,232,424,148,478,51,1745,88,338,381,306,566,1091,351,1508,102,4738,110,490,595,482,820,1764,509,2244,116,7134,78,478,692,512,763,1925,601,2396,75,7518
5RWAU,640,6556,1352,737,1451,1429,450,980,362,13950,950,1573,1679,1302,3293,3275,1362,4495,523,18451,1581,1668,1702,1322,3914,4056,1980,7378,605,24201,2154,2262,2156,1425,3447,4113,2151,8433,543,26687,1805,2429,2508,1568,3558,4110,2143,8260,501,26885,1438,2063,2285,1540,3422,4052,2020,7421,416,24655,1514,1812,2200,1619,3711,4112,2021,7632,364,24989,1745,1654,2183,1687,3710,4093,1911,7478,364,24821,1778,1744,2077,1460,3378,3467,1552,6221,326,22003,1510,1884,1836,1246,2485,2405,1097,4139,220,16809,612,1244,810,486,847,822,352,1395,95,6661,104,590,259,103,167,192,52,256,18,1751,24,279,69,32,32,54,5,52,25,576,15859,25752,21114,14532,33408,36174,17095,64142,4357,232439,0,5,0,0,0,0,0,3,0,23,0,9,0,3,6,21,11,31,0,90,9,15,12,13,36,57,24,168,12,339,38,65,66,46,82,166,77,440,12,985,35,120,112,88,146,254,113,710,15,1590,30,106,117,105,131,307,132,795,27,1747
59499,102,741,168,92,253,335,87,135,62,1974,251,873,541,295,538,738,200,697,146,4289,329,478,472,274,594,804,285,1074,151,4465,470,476,414,247,577,820,293,1228,160,4679,382,523,398,215,515,690,227,1069,109,4130,294,445,325,220,436,562,192,878,67,3418,295,430,382,211,398,534,189,814,77,3328,327,428,389,216,396,485,179,836,72,3325,323,403,331,227,310,403,117,645,56,2818,263,412,290,167,222,243,96,440,31,2180,120,289,130,67,73,102,24,156,14,985,37,170,60,12,12,25,6,33,8,366,14,63,20,3,4,3,0,6,4,123,3221,5745,3924,2243,4330,5741,1896,8015,958,36070,0,0,0,0,0,0,0,0,0,4,4,17,10,10,7,14,9,18,0,88,4,18,31,19,25,64,18,73,0,250,16,45,48,26,51,145,47,191,12,575,16,53,39,52,88,203,63,232,9,750,20,48,59,58,70,181,43,229,8,716
59799,0,5,0,0,0,0,0,3,0,13,0,0,0,0,9,7,0,32,7,55,9,3,0,0,4,3,3,58,0,84,28,4,0,5,4,8,9,106,3,156,47,3,0,0,8,11,4,140,3,216,38,0,0,3,0,8,3,123,4,186,30,0,7,0,7,7,5,132,0,189,38,9,0,0,8,8,6,148,4,219,21,0,0,4,0,5,4,102,3,143,8,0,0,0,4,5,0,37,5,58,9,0,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,227,37,20,16,40,64,29,883,26,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
