POW_GCCSA_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
5GPER,21,12517,1996,79,124,18,8,2229,1286,45,79,20,16,1439,2966,87,243,38,27,3363,46196,1845,3229,555,162,51991,2011,107,178,18,0,2316,4153,353,712,140,62,5423,31016,1141,1857,320,193,34520,1230,59,77,27,88,1486,436885,17203,26215,5231,1876,487405,477530,31538,31366,4876,1959,547269,1605,292,335,42,43,2318,1417,61,88,5,17,1598,2784,202,238,27,3,3258,11744,1534,996,410,97,14775,1218,116,164,39,11,1546,798,83,89,17,5,996,562,21,20,4,0,615,3475,290,398,49,20,4231,360,54,68,24,4,503,3081,257,261,48,8,3649,32576,2306,1768,324,237,37214,6232,373,392,93,29,7125,2971,252,325,53,26,3628,810,106,155,19,24,1109,8666,733,540,65,43,10048,3882,588,559,169,48,5242,2174,92,181,32,3,2484,2970,463,341,59,20,3858,365,63,65,4,3,501,15194,1167,1088,170,66,17694,3212,66,65,17,20,3378,1795,204,235,57,15,2300,29622,1632,1844,225,173,33497
5RWAU,9,2089,146,9,9,0,0,157,338,0,10,5,0,349,725,18,60,17,14,830,6371,326,679,220,59,7667,388,21,34,21,0,470,251,43,68,23,10,395,3676,133,281,62,33,4192,864,46,73,56,55,1088,101313,4610,7863,3290,943,118021,168533,11437,14746,5363,1679,201767,198,11,24,3,6,242,111,0,5,0,0,116,609,38,63,13,7,737,1113,59,70,20,3,1273,108,15,16,4,0,136,73,0,10,0,0,85,334,10,0,0,3,350,985,64,139,35,6,1230,38,9,11,3,0,60,192,13,18,4,0,226,2312,122,83,29,27,2568,727,15,34,11,4,796,207,3,10,3,0,225,60,4,5,0,0,70,1546,105,75,11,5,1743,553,47,74,49,16,734,214,5,19,5,11,252,340,17,11,5,10,375,40,12,4,0,0,54,875,42,42,11,5,977,222,6,3,0,0,222,530,41,81,27,6,683,12703,457,516,140,92,13908
59499,3,381,46,3,15,0,0,58,28,6,3,4,0,38,75,8,49,6,0,137,1217,94,631,49,20,2018,53,9,34,5,3,98,72,14,23,0,4,107,776,52,350,20,11,1213,100,8,41,8,12,171,11872,783,4638,479,197,17965,22853,3178,10134,702,430,37296,100,23,62,0,5,200,21,6,18,0,0,45,77,13,52,3,0,140,267,65,202,28,11,566,54,17,36,4,0,110,16,0,14,0,0,35,28,5,3,0,0,37,152,25,113,9,5,298,13,5,14,0,0,33,96,7,45,0,0,152,723,173,423,14,19,1347,154,20,83,4,0,263,80,4,60,0,6,154,35,11,34,0,6,87,411,126,165,6,4,717,154,44,138,10,7,353,51,5,28,0,0,80,87,43,50,4,4,190,15,3,15,0,0,33,375,53,192,7,7,632,56,3,13,0,0,73,74,22,66,5,8,177,2337,220,650,27,42,3270
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,0,0,5,131,0,8,0,4,144,853,17,17,3,6,899,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,7,98,0,0,0,0,104
