POW_GCCSA_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
5GPER,347,1671,1692,1703,1572,359,18,7411,17,226,1133,1339,1353,1287,269,13,5639,20,137,835,1068,1023,874,191,6,4150,13,209,1361,1794,1630,1177,189,9,6381,3,28,222,323,314,208,36,0,1132,0,17,128,271,210,166,31,0,825,12,50,79,85,112,105,32,0,471,2474,5090,12224,12354,11775,10701,2888,245,57760,258,71,83,69,73,81,22,3,662,5405,432,220,214,174,188,90,21,6742,2791,1100,495,479,457,488,206,31,6057,1096,1148,781,676,698,679,268,56,5404,799,1189,1178,876,883,838,388,88,6230,703,1549,1781,1385,1481,1354,542,95,8891,496,1421,2002,1743,1742,1582,518,71,9579,398,1436,2841,2125,2185,1756,487,47,11285,243,965,2371,2090,2012,1680,419,48,9827,82,417,1316,1117,1055,862,201,23,5080,35,220,837,820,717,569,119,8,3332,18,164,517,519,448,314,62,4,2041,27,139,686,720,602,393,64,4,2621,6,6,97,128,91,66,11,6,413,3,17,79
5RWAU,236,545,574,721,722,196,10,3049,47,299,809,785,968,915,179,0,4003,29,303,998,1054,1173,985,183,4,4717,40,518,2507,3029,3237,2423,369,5,12141,3,66,464,781,775,545,91,0,2713,3,18,277,542,562,365,72,8,1852,11,28,63,72,92,101,29,0,392,644,2158,6783,7932,8951,7908,1955,116,36441,110,24,39,31,43,54,21,3,327,1346,38,65,77,64,91,40,8,1733,566,124,167,201,172,217,83,19,1555,241,149,211,272,260,340,132,41,1647,220,177,297,278,330,381,162,40,1888,271,294,487,456,569,538,229,52,2905,255,516,755,560,642,615,187,36,3555,243,679,1127,767,776,701,169,29,4494,148,510,1152,796,830,750,176,21,4383,89,360,728,577,583,484,112,13,2959,48,258,560,451,402,340,78,4,2138,33,170,438,344,296,219,49,3,1554,26,210,702,668,493,353,54,3,2513,0,26,110,154,122,69,14,0,490,3,12,84
59499,37,140,131,145,136,38,0,634,3,41,158,124,142,152,41,3,667,5,47,159,133,131,146,32,0,660,0,88,376,369,357,277,62,0,1539,0,7,72,98,97,59,15,0,348,0,3,53,92,66,52,5,0,274,0,6,15,10,18,27,12,0,87,100,529,1718,1581,1595,1509,511,36,7579,28,13,13,17,18,13,11,0,121,143,32,30,48,48,54,29,3,386,63,74,87,98,123,122,42,12,621,45,60,108,135,161,154,47,8,712,50,76,124,133,157,184,86,9,826,62,88,172,195,231,256,82,13,1092,64,105,173,209,240,233,91,9,1132,51,144,249,251,262,234,66,9,1264,36,137,344,285,307,243,72,4,1429,14,94,208,216,216,180,47,4,977,15,59,191,180,196,147,25,0,808,11,47,153,152,124,84,16,0,595,3,53,206,192,172,120,18,0,769,0,12,31,55,26,18,7,0,155,0,3,27
59799,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,6,0,0,0,4,3,0,0,0,15,0,0,5,11,16,12,0,0,46,0,0,4,12,7,8,0,0,33,0,0,10,17,22,9,0,0,62,0,0,0,0,0,0,0,0,0,4,7,26,49,55,30,8,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,7,4,0,3,0,0,18,0,0,4,0,3,0,0,0,5,0,4,0,7,3,3,0,0,16,0,3,3,8,3,4,0,0,18,0,0,23,37,27,9,0,0,107,0,0,3,12,8,3,0,0,34,0,0,6
