POW_GCCSA_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
5GPER,249,885,1850,1250,2386,2024,489,664,143,9946,354,744,1389,1496,4556,3688,865,1057,192,14344,499,684,963,1227,6235,6452,1630,2127,217,20026,475,427,516,740,4521,5825,1729,2492,163,16897,422,307,344,509,3255,5206,1670,3049,170,14922,355,179,202,257,1751,3263,1301,2815,100,10226,802,248,279,358,2273,4189,2010,6081,134,16379,269,66,73,42,385,844,429,1629,47,3785,378,81,70,53,308,600,359,1640,34,3530,31,54,49,35,180,230,60,167,399,1198,4509,9344,9473,7205,28127,34709,11071,22550,1893,128885,121,270,76,35,23,25,7,29,32,627,344,5477,207,39,12,14,4,15,51,6166,355,5698,856,122,50,46,14,34,84,7254,314,4600,1626,239,118,95,14,53,93,7157,325,4119,2825,530,269,148,43,98,119,8480,532,4162,5701,1620,797,418,90,213,206,13737,703,2493,5526,3042,2316,899,194,395,169,15736,688,1603,3792,3752,4804,1817,355,693,187,17697,617,947,2162,2733,5061,2805,625,1099,192,16246
5RWAU,106,173,371,299,495,572,163,283,34,2496,129,171,274,352,912,839,252,476,50,3451,197,181,216,243,1099,1445,465,898,82,4829,192,129,113,144,737,1219,506,1175,73,4293,246,122,129,99,549,1012,494,1837,57,4541,299,95,85,80,381,773,449,2035,61,4257,1199,272,296,152,838,1579,1254,7295,164,13045,584,135,126,38,243,387,542,3390,67,5509,682,107,93,40,205,306,414,3406,59,5319,31,25,21,13,38,78,28,171,134,530,3898,2758,2545,1814,6113,8920,4754,21437,873,53118,28,60,20,3,8,7,4,9,7,141,110,1005,31,4,8,3,0,19,26,1208,69,781,164,31,12,9,4,8,20,1096,57,625,253,61,31,32,12,20,25,1111,89,700,469,143,66,48,15,23,15,1563,179,756,1033,383,229,119,43,64,47,2842,199,520,1109,750,524,254,45,148,52,3598,172,310,754,888,1022,458,101,217,47,3978,170,205,424,598,1013,675,180,362,53,3686
59499,61,147,229,163,220,275,45,94,21,1257,91,174,242,195,356,469,97,181,31,1839,127,132,212,266,491,809,175,312,43,2566,98,92,138,206,378,865,230,388,26,2424,120,64,83,153,324,732,249,553,21,2292,74,27,47,67,154,487,155,519,13,1547,219,58,48,71,190,478,259,1211,32,2569,105,10,16,7,35,69,42,418,10,715,127,20,24,16,37,54,33,414,11,736,13,7,11,7,18,49,13,40,53,206,1207,1578,1510,1386,2492,4670,1363,4253,304,18753,17,17,7,3,5,4,0,3,0,47,39,389,4,0,0,5,0,0,5,446,34,379,50,6,0,3,0,0,3,477,34,357,72,3,3,4,0,4,12,488,36,342,154,27,10,5,0,7,6,594,64,378,294,67,32,19,6,8,12,881,58,288,343,132,59,39,12,20,9,962,47,145,271,180,92,74,21,31,13,868,43,99,152,162,129,103,33,60,3,788
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,3,7,0,16,0,0,0,0,0,0,0,11,0,16,5,0,0,0,0,3,0,11,0,15,7,0,0,0,0,0,0,18,0,27,11,0,4,0,0,3,6,58,0,86,12,0,0,0,0,0,0,64,0,80,69,4,3,0,4,8,4,185,0,278,0,0,0,0,0,0,0,0,0,0,113,8,4,6,10,24,14,354,3,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3
