POW_GCCSA_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
5GPER,727,149,141,207,482,416,562,28,63,2782,3761,1023,1436,2236,4444,3213,1637,75,181,18013,6044,1412,1585,2431,5754,4753,2592,58,242,24879,1162,283,383,601,1212,851,409,10,32,4950,7060,1554,2172,3094,6822,6242,2319,53,333,29648,2726,577,736,1082,2338,2002,1040,33,89,10623,7215,1596,2159,3810,7896,6365,4404,53,351,33853,3016,993,1354,2902,7855,7647,7856,61,413,32103,4758,1025,1452,1920,4758,3536,2712,37,219,20422,806,182,249,355,644,610,392,9,27,3288,2936,636,896,1287,2042,1678,748,15,66,10305,1867,321,409,593,983,911,377,15,59,5531,8220,2055,3138,4450,7458,6421,4112,122,253,36233,2589,547,801,1234,2632,2717,3269,32,122,13940,7832,1509,1934,2586,4457,3076,1362,28,227,23021,10331,2166,2964,3979,6482,5146,2713,52,247,34078,16159,3936,5055,8108,16597,14116,8270,222,652,73124,1545,331,455,739,1281,1081,612,11,66,6110,3661,839,1097,1559,3707,3550,2067,20,210,16715,4060,1006,1393,2268,4952,4197,3162,72,964,22076
5RWAU,1138,147,229,278,404,435,947,155,224,3954,3603,741,1240,1578,3782,2813,1346,54,291,15454,865,145,214,352,838,837,817,49,65,4188,239,30,41,81,188,135,60,0,14,792,1402,240,376,486,1076,877,427,21,112,5009,299,58,69,94,214,182,129,18,20,1086,1172,154,192,332,783,775,586,10,77,4074,1037,189,264,467,1216,1380,1714,34,135,6446,879,106,195,222,531,469,222,12,64,2700,63,0,6,25,43,39,26,0,5,209,144,7,27,45,78,72,26,0,5,405,230,28,34,54,135,152,108,10,7,758,589,102,125,188,399,334,215,7,25,2000,516,90,137,151,336,358,406,19,52,2057,1147,162,219,310,652,551,176,10,50,3271,1634,231,335,438,799,550,281,10,84,4366,2270,377,541,827,1798,1677,1078,23,126,8716,180,27,32,38,74,74,48,0,6,469,500,74,88,179,372,357,213,17,39,1844,612,85,152,240,508,454,410,29,190,2680
59499,89,20,24,31,38,23,54,6,7,293,399,99,126,185,373,323,127,4,39,1670,129,22,30,43,91,64,42,0,9,426,46,6,12,23,15,23,7,0,0,131,1757,348,502,674,1317,1130,366,7,102,6214,91,16,21,26,54,38,14,0,7,276,172,29,31,43,105,88,58,4,6,544,93,25,36,55,108,101,112,0,9,536,456,114,173,203,478,446,678,4,39,2576,52,9,14,28,41,31,21,0,0,200,65,10,21,23,22,29,16,0,6,181,61,14,17,15,33,22,19,0,4,174,354,67,80,110,142,111,117,9,16,1007,702,108,173,208,481,436,439,4,38,2586,115,29,25,57,79,74,46,0,3,431,212,50,62,107,161,117,87,0,17,807,688,119,195,269,448,370,266,9,30,2388,54,10,21,19,42,29,21,0,4,192,283,46,71,97,200,143,83,0,7,933,284,49,73,132,241,190,165,9,66,1211
59799,0,0,0,0,0,4,0,0,0,7,46,10,7,21,40,32,13,0,0,169,11,0,0,0,3,5,0,0,0,20,3,0,0,0,4,3,0,0,0,13,13,9,0,11,9,11,9,0,0,56,0,0,0,0,0,0,0,0,0,3,8,0,3,3,3,0,0,0,0,14,8,3,3,6,5,7,10,0,0,41,5,0,6,0,7,6,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,12,4,3,3,5,5,0,8,0,5,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,4,11,6,4,0,0,64
