POW_GCCSA_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
5GPER,162,1831,434,135,112,144,26,77,32,2950,174,1901,694,158,121,137,31,79,33,3323,312,2788,1539,428,310,315,73,181,50,5996,479,2694,2503,829,672,566,107,244,70,8156,574,2585,3533,1550,1896,1532,301,464,85,12515,887,2148,4554,2797,4873,4252,825,1077,140,21552,1097,1380,3528,3325,7194,6630,1343,1880,131,26511,1483,1242,2611,3472,9129,8929,2149,3067,142,32220,1298,789,1499,2272,8084,8734,2346,3444,115,28583,2218,1327,2135,2865,12921,18322,5635,9371,182,54971,400,371,490,619,1876,4401,1430,2675,47,12306,728,650,1065,1249,2523,7670,2849,7247,88,24072,34,87,108,64,150,244,53,140,301,1184,10177,23272,25190,19919,50010,62106,17200,30112,1476,239460,62,101,61,37,58,88,26,82,42,560,60,630,87,15,26,34,8,25,15,902,84,1081,233,88,62,72,23,40,28,1708,125,1295,519,159,241,230,58,102,45,2769,128,1261,956,269,634,622,118,199,64,4246,223,1305,1875,663,1257,1344,297,387,100,7457
5RWAU,41,279,80,32,22,43,10,17,6,524,35,344,129,32,26,31,4,34,11,640,81,420,272,94,55,74,16,51,5,1064,116,516,391,134,134,110,25,65,15,1504,114,414,557,300,290,246,58,141,19,2137,214,323,657,506,698,573,148,295,24,3445,227,235,480,553,966,925,268,497,29,4176,308,187,347,607,1273,1272,425,768,32,5221,267,119,205,363,1093,1345,516,988,25,4908,600,246,324,385,1432,2320,1260,2989,59,9611,168,63,84,75,209,429,403,1078,16,2527,232,93,131,141,258,665,476,1516,20,3536,18,27,27,10,26,42,7,41,42,243,2528,3693,3799,3267,6520,8108,3621,8539,316,40391,29,30,11,14,5,21,6,53,9,178,23,196,22,6,3,10,6,22,3,289,36,244,62,23,24,20,5,35,17,462,29,274,106,50,64,58,28,54,10,676,41,298,193,79,183,189,44,92,20,1140,74,308,414,176,336,426,112,218,30,2108
59499,24,176,31,4,4,9,0,4,5,259,15,183,54,15,7,14,0,11,0,308,23,217,91,32,18,19,6,9,3,415,24,164,96,30,36,31,8,20,0,405,31,151,115,59,51,46,14,19,7,499,39,112,121,80,83,83,18,38,13,588,31,68,79,63,115,96,22,73,5,555,40,52,59,60,119,139,26,79,11,587,42,38,55,32,86,121,34,74,0,486,99,56,60,71,133,218,65,258,11,967,34,13,23,17,40,56,35,112,0,324,67,24,33,25,32,108,32,166,0,501,3,9,4,4,9,4,0,12,9,50,522,1701,860,516,736,957,255,896,77,6520,16,15,12,14,9,11,0,13,0,86,11,79,13,0,0,3,0,3,3,110,17,144,33,10,5,13,4,3,6,239,31,204,70,33,32,38,8,10,4,433,44,187,115,55,86,97,19,38,10,647,57,219,204,107,166,224,37,49,19,1086
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,7,0,11,5,0,0,0,0,7,0,9,0,15,5,4,0,0,5,0,0,33,0,49,3,5,0,0,0,0,3,26,0,39,11,0,0,0,4,4,0,87,0,103,0,0,0,0,0,0,0,0,0,0,30,8,3,4,4,17,3,165,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
