POW_GCCSA_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
5GPER,271,432,73,103,156,72,15,62,64,1236,151,740,112,451,267,222,53,170,38,2194,232,1335,252,1048,592,666,109,448,53,4734,382,1726,318,1274,743,852,175,665,71,6201,423,2075,466,1663,979,1104,234,860,91,7885,786,3980,725,2761,1649,1471,395,1243,133,13138,1098,5688,1055,3150,2211,1449,463,1287,149,16547,1937,9107,1749,3856,3432,1472,913,1556,248,24274,3191,16226,2602,3847,5536,1281,1188,1343,364,35581,3225,20767,2019,2302,4980,857,828,591,357,35924,3815,25588,1620,1778,3765,632,541,344,331,38409,3628,23189,1036,1290,2244,384,344,172,261,32539,13938,45531,1697,1854,3862,710,395,214,434,68629,5384,10216,425,215,931,249,63,53,123,17662,14030,20901,600,161,1531,486,89,46,308,38148,184,779,51,97,97,50,29,39,286,1620,52663,188264,14802,25840,32958,11948,5840,9090,3316,344733,115,92,52,87,96,48,6,37,29,554,74,148,71,273,108,107,28,102,12,926,137,303,141,712,263,364,60,261,31,2279
5RWAU,124,63,7,10,21,4,0,20,12,260,49,100,17,52,36,20,3,20,0,306,99,192,34,86,77,44,10,80,0,618,111,251,50,111,108,44,16,99,11,810,108,360,41,181,104,68,19,110,8,994,214,564,90,300,206,137,33,186,27,1753,278,920,107,414,278,148,44,257,22,2463,399,1312,198,513,347,175,74,449,43,3510,615,2192,332,556,514,190,135,432,44,5025,662,2979,276,342,460,85,131,284,33,5251,664,3869,307,285,370,51,129,160,44,5880,678,3852,218,202,240,42,191,99,47,5569,2215,7420,594,430,437,66,431,133,58,11785,715,1751,229,70,109,13,72,30,16,3010,1722,2671,366,60,125,31,71,28,36,5098,52,115,7,14,15,5,6,13,44,274,8699,28623,2873,3618,3448,1124,1373,2393,461,52613,71,20,13,15,20,11,6,14,11,180,43,34,16,66,31,23,3,31,0,247,86,60,36,98,58,40,10,51,7,447
59499,14,31,7,11,13,10,7,11,9,106,15,86,18,50,19,7,17,24,3,226,10,128,20,90,22,22,39,69,9,407,22,125,37,86,38,19,58,62,9,455,27,167,34,97,28,23,67,78,13,537,33,223,60,133,49,18,111,100,8,736,40,238,68,189,51,35,128,111,10,875,59,286,123,148,62,36,141,102,17,971,60,352,127,140,78,36,179,130,6,1105,69,337,97,89,56,21,76,58,14,828,87,371,91,68,37,26,39,41,21,777,65,318,58,38,31,16,40,33,7,614,169,635,77,53,49,15,52,31,16,1099,79,212,15,4,13,6,5,9,8,352,184,345,27,3,20,14,9,8,11,617,4,26,4,3,5,0,0,9,9,59,935,3889,859,1210,565,302,974,860,175,9765,5,9,5,3,4,3,4,10,6,50,0,22,7,35,4,8,3,36,0,116,4,43,24,75,10,19,19,55,0,243
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,16,4,25,9,6,3,0,5,6,0,51,0,12,5,0,0,0,0,0,0,14,9,44,20,0,0,0,0,7,0,89,0,0,0,0,0,0,0,0,0,0,14,98,39,14,6,0,11,26,4,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
