POW_GCCSA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
5GPER,16159,3936,5055,8108,16597,14116,8270,222,652,73124,1545,331,455,739,1281,1081,612,11,66,6110,3661,839,1097,1559,3707,3550,2067,20,210,16715,4060,1006,1393,2268,4952,4197,3162,72,964,22076,96499,22141,29818,45431,92813,78527,50617,1009,4824,421687
5RWAU,2270,377,541,827,1798,1677,1078,23,126,8716,180,27,32,38,74,74,48,0,6,469,500,74,88,179,372,357,213,17,39,1844,612,85,152,240,508,454,410,29,190,2680,18528,2984,4530,6394,14226,12521,9227,480,1607,70500
59499,688,119,195,269,448,370,266,9,30,2388,54,10,21,19,42,29,21,0,4,192,283,46,71,97,200,143,83,0,7,933,284,49,73,132,241,190,165,9,66,1211,6105,1200,1702,2320,4460,3800,2728,65,414,22790
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,4,11,6,4,0,0,64,116,31,45,56,97,76,47,0,14,480
