POW_GCCSA_CODE_2021,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
5GPER,6171,18757,816,386,26133,23217,19223,1094,1048,44579,36720,10651,1326,1256,49949,44721,7915,1674,1184,55486,49458,7185,1707,997,59348,44251,6022,1256,769,52296,41882,5633,1285,679,49474,39841,5754,1408,584,47585,33534,6272,1680,479,41971,22870,7030,1494,347,31742,9029,6140,778,169,16112,2637,3741,262,104,6737,898,2156,137,127,3308,355225,106464,14915,8121,484720,2815,25057,909,446,29219,17958,26128,1573,888,46552,29872,18069,2799,882,51618,28346,23134,4766,861,57117,26205,27540,3523,670,57946,25363,24897,1625,518,52398,27233,22574,1303,516,51626,26437,20712,1718,498,49364,21047,18661,1898,401,42005,12639,15619,1627,269,30153,4373,8093,770,142,13382,909,3194,245,69,4417,216,1186,97,112,1604,223412,234863,22861,6274,487405,8986,43814,1727,830,55357,41175,45349,2667,1939,91133,66590,28719,4126,2136,101566,73061,31044,6442,2049,112599,75666,34721,5238,1669,117295,69614,30918,2879,1282,104693,69114,28204,2583,1196,101100,66282,26466,3130,1077,96952,54585,24931,3578,879,83971,35512,22656,3118,612,61890,13402,14231,1551,309,29495,3544,6931,507,175,11159
5RWAU,2850,3809,337,195,7198,7782,1827,495,325,10433,11554,1691,818,432,14493,13885,1723,1136,420,17167,14702,1624,1191,397,17906,13595,1527,1031,343,16494,13879,1562,1123,290,16855,13763,1769,1296,294,17121,12268,1932,1294,264,15762,9196,2279,1084,189,12755,3827,1771,551,91,6246,1289,1116,162,84,2651,642,769,101,107,1621,119233,23416,10615,3438,156698,1519,5026,322,205,7070,4958,2902,485,223,8572,6605,3404,832,238,11084,5948,4994,1148,216,12303,5849,6178,733,208,12975,6132,5574,517,178,12405,7021,5307,521,196,13044,7127,5131,655,190,13113,6039,4848,750,161,11798,3920,4457,723,135,9239,1441,2329,280,82,4142,422,963,82,46,1515,191,449,57,72,760,57190,51569,7113,2148,118021,4369,8830,660,407,14263,12740,4728,978,551,19005,18159,5094,1653,669,25577,19838,6717,2279,632,29468,20551,7800,1927,606,30876,19730,7104,1546,521,28904,20903,6872,1643,485,29902,20891,6904,1954,487,30226,18302,6783,2045,428,27564,13119,6738,1813,321,21996,5271,4100,835,171,10385,1711,2086,245,132,4169
59499,759,698,76,36,1571,1997,1210,175,111,3487,2914,1043,242,122,4328,3628,1006,341,151,5124,3549,972,292,106,4917,3015,954,277,68,4309,2862,1013,313,82,4275,2879,1058,309,83,4335,2428,1184,328,63,4008,1737,1275,310,40,3362,665,922,167,25,1783,185,459,84,13,739,61,229,44,25,357,26692,12017,2952,938,42601,79,483,42,30,638,439,1005,115,58,1616,607,847,139,49,1639,659,1075,227,56,2016,526,1263,176,49,2010,530,1141,100,32,1797,584,1225,86,32,1923,615,1274,132,38,2063,493,1163,161,26,1837,276,904,135,24,1343,90,482,76,6,657,28,194,42,13,276,16,95,30,13,156,4938,11151,1457,417,17965,840,1191,116,66,2207,2433,2215,287,166,5104,3520,1889,384,172,5967,4287,2077,566,212,7141,4082,2231,466,156,6932,3538,2094,372,102,6109,3453,2234,402,117,6199,3498,2336,440,124,6396,2920,2347,489,86,5847,2013,2176,444,64,4703,758,1403,247,31,2433,213,657,119,27,1015
59799,5,0,0,0,6,28,0,0,0,36,57,5,8,0,67,104,7,28,3,138,152,3,46,3,205,136,7,35,0,182,141,8,27,0,175,154,9,44,0,203,106,6,27,0,142,45,5,8,5,62,8,0,7,0,23,0,0,0,0,7,0,0,0,0,0,956,54,214,22,1240,3,7,0,0,7,14,0,0,0,21,14,0,0,0,27,14,6,4,0,19,10,5,0,0,14,0,0,3,0,11,8,5,9,0,22,11,6,0,0,16,5,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,21,23,10,144,3,3,0,0,13,45,7,0,7,55,76,5,9,0,91,121,11,26,9,165,165,10,47,3,221,144,3,36,0,189,151,11,34,0,196,160,12,43,4,223,115,6,27,3,149,51,5,8,5,61,8,0,9,0,25,0,0,0,0,8
