POW_GCCSA_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
5GPER,1106,3337,233,239,4916,578639,341328,37774,14394,972128
5RWAU,829,1220,154,183,2383,176427,74983,17727,5586,274718
59499,81,326,76,36,516,31634,23168,4409,1359,60566
59799,0,0,0,0,0,1046,77,235,27,1386
