POW_GCCSA_CODE_2021,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000_3499_Mng,CI_II_3000_3499_Pro,CI_II_3000_3499_TecTW,CI_II_3000_3499_CoPSW,CI_II_3000_3499_ClAW,CI_II_3000_3499_SWks,CI_II_3000_3499_MaOpDv,CI_II_3000_3499_Lab,CI_II_3000_3499_IDNS,CI_II_3000_3499_Tot,CI_II_3500mo_Mng,CI_II_3500mo_Pro,CI_II_3500mo_TecTW,CI_II_3500mo_CoPSW,CI_II_3500mo_ClAW,CI_II_3500mo_SWks,CI_II_3500mo_MaOpDv,CI_II_3500mo_Lab,CI_II_3500mo_IDNS,CI_II_3500mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000_3499_Mng,LE_IDNS_3000_3499_Pro,LE_IDNS_3000_3499_TecTW,LE_IDNS_3000_3499_CoPSW,LE_IDNS_3000_3499_ClAW,LE_IDNS_3000_3499_SWks,LE_IDNS_3000_3499_MaOpDv,LE_IDNS_3000_3499_Lab,LE_IDNS_3000_3499_IDNS,LE_IDNS_3000_3499_Tot,LE_IDNS_3500mo_Mng,LE_IDNS_3500mo_Pro,LE_IDNS_3500mo_TecTW,LE_IDNS_3500mo_CoPSW,LE_IDNS_3500mo_ClAW,LE_IDNS_3500mo_SWks,LE_IDNS_3500mo_MaOpDv,LE_IDNS_3500mo_Lab,LE_IDNS_3500mo_IDNS,LE_IDNS_3500mo_Tot
5GPER,148,76,76,47,105,29,94,90,4,673,37,12,8,3,15,9,14,10,0,109,37,20,17,6,14,6,8,5,4,121,3,0,6,13,10,6,0,10,9,64,1110,697,1723,2739,2930,2683,1232,2519,151,15787,24,31,25,20,35,13,6,14,64,225,16,30,20,94,36,77,6,63,50,386,21,55,39,127,65,99,28,119,51,609,34,67,58,201,69,101,33,144,62,779,57,72,99,206,100,159,43,194,57,992,86,129,132,351,213,192,83,252,107,1546,130,169,190,486,326,234,116,247,125,2021,168,224,298,503,429,214,217,307,154,2518,274,412,445,477,592,191,288,302,181,3163,216,401,323,225,470,121,186,147,149,2247,248,479,249,150,306,99,128,101,105,1865,189,460,198,137,147,49,105,62,96,1443,463,782,252,138,161,60,130,59,131,2178,163,189,38,7,29,28,31,16,39,545,325,449,61,17,65,50,17,13,59,1054
5RWAU,51,20,93,24,42,10,275,111,14,638,13,8,23,3,0,0,49,12,3,113,17,10,21,3,4,3,23,9,0,103,4,0,6,0,0,5,3,13,4,40,537,250,755,897,1043,819,849,1222,91,6458,38,3,5,4,4,7,5,20,28,114,13,10,8,28,0,39,6,33,18,145,28,12,24,34,15,25,9,51,17,215,35,12,12,24,14,34,10,48,29,222,38,19,32,66,32,34,22,57,25,326,69,41,45,92,63,63,27,119,28,540,51,27,59,108,70,62,36,124,37,578,101,50,61,110,91,64,54,153,61,746,102,91,92,96,122,50,86,145,41,836,79,69,82,59,75,35,78,96,42,615,62,80,70,41,53,28,116,73,22,541,61,71,54,39,31,15,95,47,29,445,121,142,155,43,43,23,250,81,34,893,37,48,56,7,9,6,59,15,14,240,83,62,70,4,10,3,45,21,20,313
59499,0,0,9,5,0,3,30,25,0,83,0,0,5,0,0,0,0,12,0,19,0,3,4,0,0,0,8,0,0,20,0,0,4,0,0,0,0,0,0,8,32,52,196,185,49,66,118,278,19,987,0,4,3,0,5,0,0,0,7,22,0,0,7,8,0,3,0,12,0,31,4,10,5,10,8,0,3,14,8,58,5,10,6,13,7,0,5,23,7,79,7,8,5,17,4,4,0,20,7,80,8,14,19,31,8,8,14,24,10,128,8,5,25,20,10,6,30,27,8,144,11,12,31,20,19,5,17,27,17,154,8,5,33,23,16,8,30,49,9,182,18,9,40,11,10,4,13,20,9,137,21,13,30,12,8,5,9,15,9,120,10,8,22,3,9,0,15,17,3,91,23,12,47,0,5,0,22,30,15,143,5,4,9,0,4,0,13,4,4,37,12,8,10,5,0,3,13,3,5,52
59799,0,0,0,0,5,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,3,10,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,3,5,0,0,0,3,0,0,10
