POW_GCCSA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
5GPER,3803,350744,675,355225,1350,104834,286,106464,499,22392,138,23032,5654,477970,1098,484720,2921,220122,369,223412,2517,231907,436,234863,543,28463,121,29134,5983,480495,925,487405,6728,570866,1042,578639,3865,336736,727,341328,1045,50858,258,52161,11636,958465,2029,972128
5RWAU,4454,114286,499,119233,1259,21994,156,23416,853,13071,131,14050,6566,149348,786,156698,2752,54226,211,57190,2267,49084,222,51569,627,8564,78,9266,5639,111868,512,118021,7203,168507,711,176427,3523,71080,381,74983,1475,21629,209,23312,12210,261217,1293,274718
59499,516,26087,96,26692,189,11770,51,12017,135,3732,26,3895,846,41586,173,42601,121,4791,24,4938,160,10948,43,11151,60,1803,10,1876,345,17543,79,17965,636,30879,118,31634,355,22724,94,23168,201,5531,41,5769,1189,59132,244,60566
59799,16,936,3,956,0,48,0,54,5,226,0,230,21,1220,7,1240,0,92,0,91,4,21,0,21,3,28,0,31,4,137,0,144,14,1023,3,1046,4,73,0,77,3,255,0,262,22,1355,7,1386
