POW_GCCSA_CODE_2021,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
5GPER,57,531,27,7,623,153,676,36,12,876,176,532,48,17,771,219,455,58,8,754,219,424,55,17,716,254,381,58,4,701,295,385,81,7,771,297,401,75,10,790,263,387,74,17,745,209,385,77,15,682,106,205,42,10,361,44,143,12,5,206,36,180,13,36,260,2325,5094,663,166,8241,8865,43033,1685,786,54376,40792,44458,2618,1865,89732,66114,28055,4062,2055,100289,72506,30429,6354,1978,111274,75065,34129,5160,1603,115949,68972,30314,2809,1230,103324,68374,27645,2489,1147,99651,65572,25886,3034,1035,95527,53924,24373,3484,843,82626,35029,22116,3017,584,60747,13187,13910,1494,287,28882,3465,6732,496,162,10851,1061,3116,214,183,4584,572933,334203,36912,13758,957808,65,246,14,33,358,232,218,13,55,517,302,128,12,63,506,335,162,24,59,574,382,172,22,48,633,385,225,16,55,682,445,174,15,42,674,412,176,19,35,637,396,173,16,25,606,269,153,28,23,467,111,111,19,13,251,34,56,4,11,101
5RWAU,34,127,8,6,172,48,114,10,3,177,45,99,18,3,164,44,90,18,0,161,46,78,20,0,148,72,73,15,0,161,86,98,23,9,218,74,96,34,0,204,96,92,35,10,238,58,99,25,7,188,50,84,21,4,156,24,63,10,6,93,31,90,18,16,155,709,1208,256,64,2240,4305,8641,648,391,13990,12622,4584,962,520,18684,18017,4949,1625,641,25240,19682,6585,2248,611,29125,20380,7650,1888,580,30504,19522,6965,1519,494,28494,20647,6716,1609,461,29430,20659,6753,1901,464,29778,18061,6637,2001,403,27103,12968,6591,1763,306,21636,5182,3996,808,161,10146,1677,1997,235,117,4030,793,1111,134,147,2189,174514,73168,17348,5315,270347,34,62,3,6,107,75,33,10,22,142,104,45,10,25,177,109,39,18,18,185,119,72,13,22,228,140,69,7,27,244,164,66,5,19,258,157,58,17,17,249,145,54,12,15,224,92,56,17,5,174,46,30,3,3,86,7,23,0,10,32
59499,4,18,6,0,23,3,31,4,0,43,11,23,3,0,36,9,22,0,3,37,12,18,7,0,40,15,22,3,0,43,13,22,4,0,44,10,30,11,0,49,13,21,17,0,52,13,27,7,0,56,5,25,9,0,39,0,13,3,4,21,4,17,4,4,29,125,297,75,15,515,829,1162,110,63,2168,2416,2165,281,160,5029,3496,1857,378,171,5897,4251,2045,555,209,7062,4039,2201,455,155,6847,3498,2059,363,99,6022,3419,2192,397,111,6115,3463,2295,427,124,6303,2881,2303,469,85,5741,1983,2122,433,64,4603,744,1373,234,31,2379,213,635,117,24,983,80,302,68,25,472,31300,22717,4295,1311,59627,5,0,0,0,13,17,15,0,0,34,15,11,4,7,30,18,11,4,5,39,28,15,0,6,48,23,16,0,0,47,19,20,0,3,41,21,10,5,4,45,24,20,3,0,49,13,24,3,5,51,3,9,4,0,19,0,7,4,0,6
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,44,7,0,7,52,75,5,9,0,88,121,11,26,9,165,162,10,45,3,220,138,7,36,0,181,151,11,34,0,196,160,12,43,4,223,115,6,27,3,149,51,5,8,5,61,8,0,9,0,25,0,0,0,0,7,0,0,0,0,0,1036,76,234,27,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
