POW_GCCSA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
5GPER,1047,215,241,679,33,2220,10674,123,408,196,37,11440,9427,255,811,240,69,10796,8155,477,1189,321,84,10227,9852,652,1454,245,120,12322,15512,1115,2277,331,138,19380,19803,1703,2688,289,167,24652,33455,2487,3556,321,252,40072,49391,3859,4449,332,269,58300,43256,3571,3497,225,198,50751,41634,4404,3060,199,178,49474,34604,3421,2167,162,125,40479,73175,6844,3102,204,191,83519,18906,2810,1017,79,46,22861,32473,7745,2925,209,115,43480,3511,396,341,86,419,4747,404881,40077,33204,4117,2446,484720,1591,114,252,1051,33,3033,15556,148,1326,414,87,17525,18112,333,1993,396,105,20946,18146,540,2156,470,142,21448,21906,604,2083,407,137,25130,36127,1023,2782,440,181,40555,43215,1386,2657,393,209,47849,52729,1563,2755,339,198,57582,59410,1801,2639,306,173,64338,46758,1514,1794,199,104,50373,39276,1813,1463,203,90,42846,26612,1238,966,125,58,29007,39853,2177,1569,171,57,43827,6271,835,500,72,22,7695,8125,1970,1090,149,34,11370,3211,141,193,104,241,3898,436885,17203
5RWAU,366,66,146,486,29,1090,2234,34,122,141,17,2546,1575,74,274,221,38,2173,1424,133,371,220,54,2196,1978,172,477,234,57,2924,3566,373,787,265,84,5071,4967,435,869,235,98,6602,8101,682,1160,298,131,10365,11813,1087,1488,259,147,14789,10704,973,1136,194,110,13112,12145,1184,1063,176,117,14683,12569,931,835,130,93,14558,34719,1542,1053,165,128,37611,11507,628,350,58,58,12595,11984,1351,804,119,82,14336,1480,137,162,108,146,2032,131125,9787,11086,3309,1391,156698,424,35,92,533,27,1109,3522,37,304,213,27,4110,3507,70,456,299,42,4371,3821,148,561,224,72,4826,5037,141,630,230,72,6109,8926,293,858,272,89,10435,11068,351,782,232,78,12510,12802,449,828,230,107,14409,13682,509,897,240,87,15416,10300,442,564,155,54,11522,8627,555,494,158,67,9907,6330,338,331,107,37,7149,9581,545,529,151,39,10852,1428,220,138,50,15,1849,1393,390,288,94,28,2197,862,69,110,101,93,1239,101313,4610
59499,124,35,74,101,3,337,447,23,148,20,12,649,460,32,341,20,14,869,549,78,434,47,29,1130,753,107,627,39,38,1565,1181,162,995,42,41,2424,1406,259,1204,39,64,2981,2014,372,1541,57,87,4075,2753,605,1949,36,61,5396,2462,561,1621,30,47,4729,2439,680,1353,36,35,4542,2072,440,875,29,32,3456,4511,679,958,30,35,6213,1308,195,179,7,0,1695,1412,294,265,23,16,2008,305,46,119,12,61,550,24198,4565,12709,566,574,42601,102,8,42,96,4,247,520,11,289,32,6,860,727,30,486,42,20,1307,821,52,509,31,19,1436,995,45,508,46,23,1613,1434,47,635,39,22,2179,1442,77,529,45,19,2115,1329,84,510,32,23,1982,1342,92,400,20,7,1868,889,73,246,15,9,1231,722,67,158,19,6,981,457,51,111,9,4,629,696,60,101,12,4,873,110,34,35,10,0,187,118,44,54,17,3,242,163,11,27,14,20,231,11872,783
59799,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,8,0,0,0,0,8,3,0,0,0,0,6,11,0,3,0,0,8,16,0,0,0,0,16,39,0,3,0,0,44,22,3,0,0,0,24,48,4,0,0,0,54,67,0,3,0,0,75,275,3,0,0,0,277,190,0,0,0,0,194,503,7,0,0,0,513,13,0,0,0,0,12,1206,16,17,4,4,1240,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,4,11,0,0,0,0,13,9,0,0,0,0,13,12,0,0,0,0,16,16,0,0,0,0,16,40,0,0,0,0,40,10,0,0,0,0,10,13,0,0,0,0,13,4,0,0,0,0,7,131,0
