POW_GCCSA_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
5GPER,154,15,3,2356,3219,390,651,118,63,4447,28111,2526,2315,295,223,33465,1267,132,125,30,134,1686,404881,40077,33204,4117,2446,484720,249536,9415,14165,2819,807,276737,464,18,14,17,6,523,540,22,27,6,5,598,1606,75,143,15,0,1843,6692,645,517,213,48,8116,637,34,59,18,7,754,338,19,20,11,0,389,297,5,12,6,0,320,1970,99,217,33,12,2331,178,16,16,14,0,222,1619,95,128,19,0,1867,14563,521,549,154,90,15874,3719,147,232,60,19,4176,1391,72,113,20,8,1605,311,14,13,4,3,352,4446,159,203,38,15,4860,1720,118,171,53,17,2086,1497,48,138,24,0,1708,1593,170,172,36,9,1990,170,15,18,3,0,207,8263,381,491,93,33,9263,1556,13,17,6,12,1605,842,64,84,24,3,1024,14721,445,769,140,96,16172,682,33,49,9,6,777,10315,100,242,90,48,10793,1232,59,138,19,5,1449,4056,172,194,48,16,4486,11067,504,806,115
5RWAU,38,19,7,467,202,41,58,21,0,327,5448,248,233,58,31,6015,944,105,142,70,100,1367,131125,9787,11086,3309,1391,156698,74217,3529,5818,2644,638,86842,38,0,0,0,0,39,35,0,5,0,0,35,356,21,44,14,0,434,489,30,40,16,0,578,38,7,5,0,0,49,14,0,0,0,0,22,118,4,0,0,0,123,591,28,85,17,3,725,18,4,0,0,0,22,96,3,6,0,0,108,761,30,31,14,6,842,410,12,28,4,5,460,49,0,3,4,0,57,15,0,3,0,0,16,555,18,31,9,3,617,216,5,23,21,4,271,150,9,14,0,7,181,157,6,3,0,5,177,10,3,0,0,0,16,380,21,17,6,0,423,85,0,0,0,0,87,250,13,29,11,4,315,4807,149,223,74,38,5292,48,0,8,3,3,64,2512,32,53,14,21,2640,100,5,13,0,0,112,195,10,21,0,0,233,1837,65,141,33
59499,39,0,3,128,68,15,74,0,0,165,1226,228,691,19,33,2206,184,30,68,7,21,315,24198,4565,12709,566,574,42601,7139,439,2638,328,102,10642,13,0,0,0,0,12,3,0,0,0,0,12,33,5,20,0,0,62,123,23,82,16,0,241,16,0,11,0,0,26,6,0,0,0,0,6,10,0,0,0,0,12,74,7,56,6,3,140,6,0,3,0,0,6,40,3,13,0,0,65,234,21,48,5,0,309,80,7,26,3,0,119,16,0,9,0,0,26,3,0,0,0,0,3,89,9,24,0,0,122,37,6,32,3,0,82,43,0,18,0,0,67,32,8,20,4,0,62,5,0,4,0,0,3,185,9,75,3,0,277,20,0,5,0,0,18,37,7,20,3,0,64,705,28,163,12,11,926,13,0,3,0,0,22,144,7,40,0,0,192,30,0,23,0,0,62,105,9,46,0,8,169,260,20,93,5
59799,0,0,0,6,0,0,0,0,0,0,53,0,0,0,0,56,0,0,0,0,0,0,1206,16,17,4,4,1240,78,0,8,0,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
