POW_GCCSA_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
5GPER,4,30,0,8,28,0,0,0,0,67,4,64,10,38,41,7,0,13,13,188,12,109,18,64,85,6,3,8,5,310,15,117,11,56,105,4,5,11,13,333,11,143,20,70,101,21,7,13,11,407,16,337,30,92,275,56,8,18,10,837,38,342,57,110,426,44,19,23,24,1075,55,402,86,149,849,60,55,31,29,1719,109,673,198,295,1570,75,101,29,45,3073,179,920,429,376,1915,33,63,22,74,4009,356,1396,502,360,1309,16,37,12,73,4058,495,1363,322,268,672,13,21,5,52,3212,1389,2818,473,495,592,24,10,8,52,5857,318,492,44,88,38,0,0,0,5,998,414,593,23,36,45,3,0,0,10,1122,11,34,4,12,27,0,0,0,17,104,3416,9822,2229,2514,8075,368,340,189,422,27379,6,76,10,44,28,0,0,11,7,185,7,125,21,139,45,4,0,43,4,391,15,250,48,311,137,4,5,192,11,981
5RWAU,3,3,0,4,13,0,0,0,0,20,3,4,0,8,13,0,0,0,0,28,0,7,4,3,24,5,0,0,0,46,5,12,0,6,28,0,0,3,0,56,0,10,0,13,41,8,0,3,0,74,4,14,3,19,57,15,0,3,0,111,11,16,4,13,88,18,3,0,0,160,15,23,4,11,124,19,6,3,3,208,16,42,7,25,214,23,3,6,7,334,27,50,10,22,196,13,4,6,4,331,30,73,14,24,105,3,6,0,5,265,37,79,18,34,50,0,0,0,5,224,74,78,26,37,41,3,0,0,3,270,11,13,0,4,6,0,0,0,0,37,15,18,0,0,0,0,0,0,6,37,0,8,3,0,4,3,0,0,0,16,251,431,104,234,999,113,19,26,30,2213,3,25,3,7,7,0,5,6,5,55,4,35,12,58,19,0,0,25,0,144,9,57,27,113,25,0,0,66,0,291
59499,0,0,0,4,6,0,0,0,0,17,0,8,0,6,10,0,3,0,0,24,0,0,0,3,17,0,0,0,0,27,0,6,0,9,21,0,0,0,0,38,0,5,0,7,15,0,0,0,0,34,4,8,0,9,21,3,0,0,0,51,0,3,3,3,20,0,0,0,0,35,6,12,5,10,11,3,0,0,0,45,0,11,9,4,12,0,0,0,0,39,3,8,14,7,10,0,0,0,3,49,6,3,22,13,8,0,0,0,0,58,11,12,7,15,6,0,3,0,0,52,18,21,23,19,13,0,0,5,0,99,3,0,3,4,5,0,0,0,0,15,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,70,93,80,121,181,12,16,4,10,593,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,18,0,16,3,0,0,13,0,48
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
