POW_GCCSA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
5GPER,1551,6705,5033,2490,4602,4428,1337,3032,309,29495,507,4039,2024,871,1113,1212,330,889,175,11159,233,2164,828,340,294,394,104,320,239,4916,37774,145960,119574,75796,191813,202258,61921,122645,14394,972128
5RWAU,835,1976,1364,768,1040,1323,523,2388,171,10385,245,1161,626,295,282,474,164,790,132,4169,154,679,354,188,113,284,74,366,183,2383,17727,31902,25622,17457,36201,42735,19563,77921,5586,274718
59499,247,791,399,210,150,246,75,288,31,2433,119,409,178,66,37,66,22,81,27,1015,76,232,65,23,12,32,4,27,36,516,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
59799,9,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,235,39,21,17,40,63,31,905,27,1386
