POW_GCCSA_CODE_2021,M_15_19_E,M_15_19_OM_IE,M_15_19_OM_UIE,M_15_19_CFW,M_15_19_SE_NS,M_15_19_Total,M_20_24_E,M_20_24_OM_IE,M_20_24_OM_UIE,M_20_24_CFW,M_20_24_ES_NS,M_20_24_Total,M_25_29_E,M_25_29_OM_IE,M_25_29_OM_UIE,M_25_29_CFW,M_25_29_ES_NS,M_25_29_Total,M_30_34_E,M_30_34_OM_IE,M_30_34_OM_UIE,M_30_34_CFW,M_30_34_ES_NS,M_30_34_Total,M_35_39_E,M_35_39_OM_IE,M_35_39_OM_UIE,M_35_39_CFW,M_35_39_ES_NS,M_35_39_Total,M_40_44_E,M_40_44_OM_IE,M_40_44_OM_UIE,M_40_44_CFW,M_40_44_ES_NS,M_40_44_Total,M_45_49_E,M_45_49_OM_IE,M_45_49_OM_UIE,M_45_49_CFW,M_45_49_ES_NS,M_45_49_Total,M_50_54_E,M_50_54_OM_IE,M_50_54_OM_UIE,M_50_54_CFW,M_50_54_ES_NS,M_50_54_Total,M_55_59_E,M_55_59_OM_IE,M_55_59_OM_UIE,M_55_59_CFW,M_55_59_ES_NS,M_55_59_Total,M_60_64_E,M_60_64_OM_IE,M_60_64_OM_UIE,M_60_64_CFW,M_60_64_ES_NS,M_60_64_Total,M_65_69_E,M_65_69_OM_IE,M_65_69_OM_UIE,M_65_69_CFW,M_65_69_ES_NS,M_65_69_Total,M_70_74_E,M_70_74_OM_IE,M_70_74_OM_UIE,M_70_74_CFW,M_70_74_ES_NS,M_70_74_Total,M_75ov_E,M_75ov_OM_IE,M_75ov_OM_UIE,M_75ov_CFW,M_75ov_ES_NS,M_75ov_Total,M_Total_E,M_Total_OM_IE,M_Total_OM_UIE,M_Total_CFW,M_Total_ES_NS,M_Total_Total,F_15_19_E,F_15_19_OM_IE,F_15_19_OM_UIE,F_15_19_CFW,F_15_19_ES_NS,F_15_19_Total,F_20_24_E,F_20_24_OM_IE,F_20_24_OM_UIE,F_20_24_CFW,F_20_24_ES_NS,F_20_24_Total,F_25_29_E,F_25_29_OM_IE,F_25_29_OM_UIE,F_25_29_CFW,F_25_29_ES_NS,F_25_29_Total,F_30_34_E,F_30_34_OM_IE,F_30_34_OM_UIE,F_30_34_CFW,F_30_34_ES_NS,F_30_34_Total,F_35_39_E,F_35_39_OM_IE,F_35_39_OM_UIE,F_35_39_CFW,F_35_39_ES_NS,F_35_39_Total,F_40_44_E,F_40_44_OM_IE,F_40_44_OM_UIE,F_40_44_CFW,F_40_44_ES_NS,F_40_44_Total,F_45_49_E,F_45_49_OM_IE,F_45_49_OM_UIE,F_45_49_CFW,F_45_49_ES_NS,F_45_49_Total,F_50_54_E,F_50_54_OM_IE,F_50_54_OM_UIE,F_50_54_CFW,F_50_54_ES_NS,F_50_54_Total,F_55_59_E,F_55_59_OM_IE,F_55_59_OM_UIE,F_55_59_CFW,F_55_59_ES_NS,F_55_59_Total,F_60_64_E,F_60_64_OM_IE,F_60_64_OM_UIE,F_60_64_CFW,F_60_64_ES_NS,F_60_64_Total,F_65_69_E,F_65_69_OM_IE,F_65_69_OM_UIE,F_65_69_CFW,F_65_69_ES_NS,F_65_69_Total,F_70_74_E,F_70_74_OM_IE,F_70_74_OM_UIE,F_70_74_CFW,F_70_74_ES_NS,F_70_74_Total,F_75ov_E,F_75ov_OM_IE,F_75ov_OM_UIE,F_75ov_CFW,F_75ov_ES_NS,F_75ov_Total,F_Total_E,F_Total_OM_IE,F_Total_OM_UIE,F_Total_CFW,F_Total_ES_NS,F_Total_Total,P_15_19_E,P_15_19_OM_IE,P_15_19_OM_UIE,P_15_19_CFW,P_15_19_ES_NS,P_15_19_Total,P_20_24_E,P_20_24_OM_IE,P_20_24_OM_UIE,P_20_24_CFW,P_20_24_ES_NS,P_20_24_Total,P_25_29_E,P_25_29_OM_IE,P_25_29_OM_UIE,P_25_29_CFW,P_25_29_ES_NS,P_25_29_Total,P_30_34_E,P_30_34_OM_IE,P_30_34_OM_UIE,P_30_34_CFW,P_30_34_ES_NS,P_30_34_Total,P_35_39_E,P_35_39_OM_IE,P_35_39_OM_UIE,P_35_39_CFW,P_35_39_ES_NS,P_35_39_Total,P_40_44_E,P_40_44_OM_IE
5GPER,25631,57,228,140,70,26133,43016,289,1006,136,133,44579,46332,1255,2046,107,209,49949,48828,3311,2897,228,219,55486,50305,4951,3495,341,259,59348,43315,5121,3337,300,230,52296,39880,5372,3601,353,260,49474,37243,5593,4043,430,286,47585,31982,5116,4213,416,242,41971,23280,4093,3704,456,210,31742,10337,2683,2576,386,133,16112,3466,1422,1346,405,100,6737,1267,813,705,426,105,3308,404881,40077,33204,4117,2446,484720,28774,40,244,94,77,29219,45410,112,853,74,96,46552,49160,491,1648,177,137,51618,52178,1426,2841,480,189,57117,51489,2187,3442,628,203,57946,46038,2396,3207,581,171,52398,44912,2558,3375,612,170,51626,42604,2541,3439,577,203,49364,36204,2251,2780,554,211,42005,25663,1597,2206,522,164,30153,10675,934,1284,403,89,13382,2953,463,622,320,57,4417,826,193,271,216,101,1604,436885,17203,26215,5231,1876,487405,54407,94,472,233,145,55357,88436,404,1861,205,230,91133,95493,1745,3696,282,351,101566,101007,4738,5742,704,406,112599,101785,7134,6941,968,462,117295,89349,7518
5RWAU,6984,17,44,113,45,7198,10080,75,170,58,53,10433,13693,253,407,63,80,14493,15645,676,670,87,96,17167,15673,1041,923,167,104,17906,14028,1160,1001,186,116,16494,14007,1265,1201,258,131,16855,13817,1461,1382,295,171,17121,12412,1350,1515,326,165,15762,9520,1144,1510,436,143,12755,3874,703,1130,432,114,6246,1048,416,679,415,89,2651,355,232,470,475,91,1621,131125,9787,11086,3309,1391,156698,6961,8,27,50,28,7070,8370,21,105,27,51,8572,10509,86,332,95,65,11084,11041,311,672,202,72,12303,11213,545,859,282,70,12975,10618,592,857,265,75,12405,10984,661,1003,300,101,13044,11005,664,981,346,118,13113,9597,662,1030,415,97,11798,7296,529,908,404,106,9239,2792,298,598,384,60,4142,707,144,318,302,46,1515,218,85,182,229,53,760,101313,4610,7863,3290,943,118021,13950,23,66,160,65,14263,18451,90,276,87,101,19005,24201,339,737,155,148,25577,26687,985,1343,289,163,29468,26885,1590,1785,449,177,30876,24655,1747
59499,1429,0,109,28,9,1571,2932,79,433,15,31,3487,3199,221,846,25,42,4328,3296,494,1275,24,43,5124,2838,636,1355,36,53,4917,2306,610,1313,33,51,4309,2133,605,1435,53,50,4275,2082,562,1582,48,63,4335,1738,527,1614,55,75,4008,1343,432,1467,63,63,3362,612,235,810,73,49,1783,225,113,332,56,14,739,73,49,147,66,30,357,24198,4565,12709,566,574,42601,543,0,75,9,9,638,1357,12,230,11,6,1616,1264,27,312,26,9,1639,1387,80,487,42,16,2016,1290,112,541,48,23,2010,1122,100,527,38,9,1797,1190,93,576,40,24,1923,1241,110,633,47,28,2063,1084,100,584,47,17,1837,835,56,376,58,18,1343,365,49,181,44,10,657,134,24,71,37,10,276,51,13,48,30,16,156,11872,783,4638,479,197,17965,1974,4,182,39,14,2207,4289,88,666,24,40,5104,4465,250,1157,46,52,5967,4679,575,1755,64,63,7141,4130,750,1894,87,74,6932,3418,716
59799,6,0,0,0,0,6,36,0,0,0,0,36,63,0,0,0,0,67,139,0,4,0,0,138,202,5,0,0,0,205,175,0,0,0,3,182,175,0,4,0,0,175,197,0,0,0,0,203,132,5,0,0,0,142,56,3,0,0,0,62,18,0,0,0,0,23,3,3,0,0,0,7,0,0,0,0,0,0,1206,16,17,4,4,1240,7,0,0,0,0,7,21,0,0,0,0,21,25,0,3,0,0,27,17,0,5,0,0,19,14,0,0,0,0,14,11,0,0,0,0,11,18,0,0,0,0,22,16,0,0,0,0,16,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,8,0,4,144,13,0,0,0,0,13,55,0,0,0,0,55,84,0,5,0,0,91,156,0,7,0,0,165,216,5,0,0,0,221,186,0
