POW_GCCSA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
5GPER,763,2654,5736,12027,17318,7259,1121,46891,11713,17849,18050,15228,10511,2835,302,76491,262,844,2142,4448,6416,3068,598,17770,11,13,28,36,59,48,32,221,753,1764,4238,8299,10771,4362,630,30825,266,484,1155,3608,7157,4074,878,17617,179,356,621,852,1013,483,111,3624,144,275,522,1221,2380,1239,231,6019,15301,23549,20088,16166,9620,1651,165,86548,44,110,333,618,917,469,135,2635,6854,11501,13851,15108,13078,3780,429,64599,110892,160639,162734,132078,83771,19480,1904,671495,5289,5591,6178,7087,5246,1325,155,30872,146488,214168,221994,198052,145866,40652,4916,972128,115166,167445,171651,141651,91342,21470,2093,710823,22860,34962,36609,38657,36222,12204,1595,183099,2977,5652,6524,8604,10052,4163,734,38697,195,527,1022,2050,3004,1500,341,8640,26035,41134,44151,49315,49271,17863,2671,230435,5289,5591,6178,7087,5246,1325,155,30872,146488,214168,221994,198052,145866,40652,4916,972128
5RWAU,200,755,1839,4126,6349,2776,598,16642,2847,4770,5184,4612,3471,1007,132,22023,58,234,554,1255,2120,1082,271,5574,7,8,12,17,24,21,22,110,191,552,1179,2693,3712,1484,264,10082,63,167,339,1153,2423,1344,412,5888,33,99,185,281,348,174,61,1184,49,90,127,415,931,478,112,2196,3147,5273,5494,5081,3221,620,72,22913,11,39,92,182,316,188,72,897,1309,2395,3153,3815,3729,1122,188,15717,25249,41680,43439,40145,28719,7157,910,187316,1375,1615,1940,2284,1844,516,90,9669,33274,55048,59779,60131,49553,14554,2383,274718,26068,43152,45426,42475,30832,7718,991,196660,5114,8762,10231,11838,12292,4248,793,53276,680,1367,1865,2826,3475,1490,372,12077,39,147,323,700,1108,579,136,3038,5829,10281,12411,15371,16877,6318,1297,68387,1375,1615,1940,2284,1844,516,90,9669,33274,55048,59779,60131,49553,14554,2383,274718
59499,31,184,352,773,1292,602,134,3373,576,979,1027,886,660,233,39,4414,15,62,99,224,416,264,73,1150,0,4,0,0,13,7,7,32,29,102,238,504,754,370,72,2070,10,45,84,259,576,366,99,1434,9,24,31,53,56,37,19,231,13,25,44,104,222,127,33,567,778,1342,1227,1083,729,167,7,5336,0,7,17,41,62,53,12,194,306,548,678,830,791,284,49,3472,5592,10014,9643,8525,6237,1661,180,41844,256,397,432,499,367,105,19,2078,7310,13102,13038,12601,10552,3447,516,60566,5769,10332,10035,9049,6659,1817,193,43852,1111,2017,2119,2351,2595,1037,186,11422,163,325,384,577,668,344,80,2539,5,33,69,131,253,145,46,681,1283,2374,2576,3058,3514,1528,305,14634,256,397,432,499,367,105,19,2078,7310,13102,13038,12601,10552,3447,516,60566
59799,5,0,4,20,18,3,0,51,5,15,23,13,7,6,0,70,0,0,0,6,9,3,0,18,0,0,0,0,0,0,0,0,0,0,5,8,3,0,0,18,0,0,0,5,8,3,0,24,0,0,0,0,0,0,0,8,0,0,0,0,3,4,0,4,6,19,24,17,6,0,0,64,0,0,0,0,0,0,0,3,0,7,10,9,6,0,0,34,49,208,340,336,152,16,0,1109,0,6,14,9,4,0,0,31,66,252,411,418,212,28,0,1386,55,210,350,349,157,16,0,1131,8,32,44,59,39,7,0,197,0,4,7,4,9,3,0,31,0,0,0,0,0,0,0,4,8,38,50,65,51,12,0,224,0,6,14,9,4,0,0,31,66,252,411,418,212,28,0,1386
