POW_GCCSA_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
5GPER,51,87,64,19,18,7,37,24,209,512,21,31,13,0,0,4,4,0,54,128,24,38,10,5,11,0,3,10,94,210,37,119,181,99,55,39,52,83,1678,2349,331,800,1065,783,435,272,544,780,5383,10382,779,691,560,627,700,605,207,662,426,5256,542,1850,902,6166,1439,10050,833,6742,452,28965,937,2591,1708,7254,2708,8830,1222,6057,441,31742,1300,2950,2769,7157,3460,6834,1307,5404,492,31673,1558,3323,4246,8480,4508,6983,1607,6230,524,37451,2786,5996,7457,13737,8363,9230,2665,8891,811,59935,4045,8156,9946,15736,11330,8670,4109,9579,931,72500,7021,12515,14344,17697,16582,8151,8678,11285,1377,97653,10962,21552,20026,16246,24154,6957,11126,9827,1787,122633,10420,26511,16897,8799,20009,4547,7411,5080,1456,101119,11440,32220,14922,6519,13710,3282,5639,3332,1251,92314,9799,28583,10226,4528,7201,2008,4150,2041,954,69480,27335,54971,16379,5898,9305,2969,6381,2621,1485,127348,9335,12306,3785,567,1857,771,1132,413,387,30558,20756,24072,3530,480,2622,1482,825,388,695,54850
5RWAU,9,7,38,4,3,0,20,16,83,177,0,6,14,0,4,0,0,0,22,51,10,5,3,0,0,0,3,3,44,66,23,20,46,21,6,18,38,23,462,657,168,125,311,183,103,98,175,292,1897,3351,812,133,178,141,166,140,122,327,188,2202,356,251,289,1208,320,2208,155,1733,141,6659,638,456,462,1096,582,1371,233,1555,152,6549,789,524,676,1111,779,1027,286,1647,180,7021,952,640,1140,1563,1064,1234,363,1888,182,9033,1622,1064,2108,2842,2006,2034,678,2905,254,15505,1884,1504,2496,3598,2516,2324,978,3555,250,19109,2807,2137,3451,3978,3464,2229,1805,4494,418,24779,4046,3445,4829,3686,4628,1763,2954,4383,459,30202,3369,4176,4293,2077,3441,868,3049,2959,401,24636,3486,5221,4541,1713,2509,625,4003,2138,342,24585,2943,4908,4257,1177,1454,391,4717,1554,299,21711,6222,9611,13045,1858,1975,481,12141,2513,608,48459,2107,2527,5509,256,469,127,2713,490,244,14447,4209,3536,5319,166,503,243,1852,415,302,16537
59499,6,9,5,0,0,0,0,5,26,47,0,3,0,0,0,0,0,5,6,12,0,0,0,0,0,0,0,4,7,16,4,8,11,9,3,0,10,7,110,162,26,60,85,55,33,17,47,97,458,879,68,56,86,47,57,23,52,121,63,579,36,223,110,446,63,125,88,386,31,1514,49,306,239,477,113,166,178,621,37,2176,94,259,433,488,147,161,213,712,50,2562,104,308,647,594,145,182,306,826,72,3175,175,415,1086,881,201,217,461,1092,78,4604,195,405,1257,962,270,224,540,1132,105,5089,256,499,1839,868,309,206,705,1264,127,6056,350,588,2566,788,329,236,834,1429,144,7263,377,555,2424,423,265,188,634,977,109,5954,444,587,2292,275,199,144,667,808,99,5518,294,486,1547,187,143,90,660,595,76,4081,638,967,2569,196,184,92,1539,769,124,7083,203,324,715,22,55,21,348,155,32,1875,436,501,736,31,55,42,274,116,59,2245
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,11,15,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,6,4,10,0,5,3,0,0,0,5,4,0,14,0,0,4,10,0,0,0,6,0,18,4,3,16,3,0,6,3,18,0,54,0,6,16,0,0,0,3,5,0,33,0,11,15,7,3,0,6,16,4,65,0,15,27,8,0,0,15,18,5,89,9,49,86,13,10,0,46,107,6,321,8,39,80,4,6,0,33,34,3,198,32,103,278,5,12,0,62,28,8,525
