POW_GCCSA_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
5GPER,6100,14,41,4,12,6171,22577,168,400,22,42,23217,34434,996,1171,42,88,36720,39806,2782,1903,124,105,44721,42571,4241,2340,175,126,49458,37264,4425,2276,174,114,44251,34385,4643,2508,202,145,41882,31963,4752,2726,243,161,39841,26355,4190,2673,211,110,33534,17555,3000,2017,191,105,22870,6244,1592,1027,102,60,9029,1389,690,432,94,24,2637,287,310,188,90,17,898,300930,31800,19706,1694,1105,355225,18385,37,183,111,38,18757,18425,104,556,101,43,19223,9557,208,782,51,46,10651,6520,416,857,78,45,7915,5423,578,1020,128,38,7185,4314,602,953,108,44,6022,3822,633,1000,128,43,5633,3610,732,1205,156,47,5754,3853,792,1409,162,57,6272,4233,967,1551,222,57,7030,3393,1010,1427,263,45,6140,1855,694,865,281,43,3741,876,467,485,294,38,2156,84265,7246,12301,2083,575,106464,13425,557,644,144,132,14915,6262,472,557,192,633,8121,404881,40077,33204,4117,2446,484720,2779,0,23,4,5,2815,17648,53,222,15,19,17958,28944,287
5RWAU,2807,4,15,12,10,2850,7558,63,109,30,33,7782,10931,221,316,42,40,11554,12620,601,541,69,55,13885,12886,937,694,128,63,14702,11563,1027,798,138,69,13595,11525,1127,926,204,91,13879,11162,1246,1030,226,94,13763,9724,1138,1091,215,106,12268,7009,880,948,286,76,9196,2436,467,652,218,67,3827,497,247,325,188,31,1289,112,108,220,172,27,642,100830,8059,7669,1919,759,119233,3677,10,28,80,12,3809,1739,10,44,29,8,1827,1583,18,69,20,8,1691,1547,43,114,8,7,1723,1317,77,186,32,16,1624,1206,94,170,41,24,1527,1200,88,217,37,21,1562,1267,148,279,47,32,1769,1337,143,340,85,23,1932,1457,202,463,126,32,2279,981,189,389,183,27,1771,459,145,297,179,37,1116,212,100,200,233,25,769,17980,1270,2804,1100,258,23416,9559,319,451,165,119,10615,2749,133,168,129,253,3438,131125,9787,11086,3309,1391,156698,1501,4,5,6,0,1519,4872,12,50,9,17,4958,6399,50
59499,730,0,20,0,5,759,1779,40,164,4,9,1997,2229,169,493,6,19,2914,2390,404,801,11,19,3628,2117,530,862,16,25,3549,1693,479,795,16,25,3015,1532,456,827,25,27,2862,1481,423,928,16,32,2879,1173,350,856,27,30,2428,805,246,636,22,21,1737,299,101,224,20,17,665,63,40,68,11,0,185,8,15,26,13,6,61,16296,3256,6700,187,251,26692,604,0,76,21,0,698,906,31,256,5,9,1210,649,47,328,9,8,1043,511,68,413,5,14,1006,402,85,450,19,17,972,344,110,473,13,11,954,313,117,543,22,14,1013,315,130,573,19,22,1058,310,141,687,25,31,1184,339,142,739,30,28,1275,228,108,523,41,22,922,136,55,230,34,7,459,58,27,94,42,7,229,5119,1060,5388,269,186,12017,2136,186,483,89,57,2952,644,60,132,21,77,938,24198,4565,12709,566,574,42601,76,0,3,0,0,79,405,4,30,0,4,439,532,10
59799,5,0,0,0,0,5,28,0,0,0,0,28,55,0,0,0,0,57,104,0,4,0,0,104,151,5,0,0,0,152,136,0,0,0,0,136,143,0,3,0,0,141,150,0,0,0,0,154,101,5,4,0,0,106,46,3,0,0,0,45,8,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,928,17,8,0,5,956,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,7,3,0,0,0,0,3,7,0,0,0,0,7,8,0,0,0,0,8,9,0,0,0,0,9,4,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,3,0,0,54,212,0,0,0,0,214,18,0,0,0,0,22,1206,16,17,4,4,1240,3,0,0,0,0,3,14,0,0,0,0,14,13,0
