POW_GCCSA_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
5GPER,37,55,40,25,48,64,20,50,126,462,23,41,45,31,49,53,15,48,94,399,21,45,39,32,49,69,13,63,92,431,39,38,48,37,61,63,24,86,90,489,52,54,48,32,51,60,15,59,83,452,42,57,41,39,27,63,16,36,54,377,16,48,32,21,15,31,0,21,30,222,14,41,17,3,7,17,0,7,49,164,23,48,11,8,3,8,0,9,94,203,339,615,431,287,433,536,145,457,1077,4320,1727,34384,7205,2227,3847,3314,813,1013,830,55357,2667,22509,15571,7269,16847,15043,3782,5502,1939,91133,4126,10282,11098,7335,24357,24144,6848,11246,2136,101566,6442,10950,12121,7974,24270,26296,7737,14758,2049,112599,5238,11861,13920,8949,24596,27047,8035,15980,1669,117295,2879,9928,12465,8520,21138,25320,7618,15535,1282,104693,2583,8684,11039,8481,20671,23916,7998,16529,1196,101100,3130,8067,10199,8195,20355,21933,7439,16554,1077,96952,3578,7899,9582,7455,17628,17669,6121,13166,879,83971,3118,8487,8485,5678,12088,11540,3759,8127,612,61890
5RWAU,16,22,8,8,17,25,6,41,38,177,11,27,14,17,13,20,13,44,33,190,12,20,23,16,24,25,7,69,37,232,22,35,30,15,22,35,11,67,40,288,28,21,18,10,24,42,7,65,33,259,31,32,23,15,6,26,16,61,31,245,24,24,20,13,11,28,5,44,14,179,10,28,15,5,3,8,6,21,30,129,22,18,18,3,5,8,0,11,58,147,217,279,198,123,176,279,97,505,449,2330,660,6695,1384,748,1464,1448,453,1002,407,14263,978,1662,1741,1332,3345,3361,1400,4633,551,19005,1653,1879,1819,1393,4038,4269,2055,7796,669,25577,2279,2707,2407,1606,3668,4548,2318,9305,632,29468,1927,3026,2917,1855,3856,4714,2381,9599,606,30876,1546,2578,2703,1820,3730,4772,2289,8942,521,28904,1643,2299,2609,1964,4065,4987,2386,9462,485,29902,1954,2203,2643,2053,4069,5023,2250,9550,487,30226,2045,2394,2564,1823,3747,4397,1897,8265,428,27564,1813,2641,2486,1617,2787,3146,1376,5818,321,21996
59499,6,9,12,7,6,17,0,10,14,74,6,3,5,12,8,13,6,8,5,58,5,9,14,0,6,16,0,7,11,77,8,15,18,0,10,21,0,9,12,91,10,24,10,7,7,12,8,5,5,89,10,20,6,11,7,10,3,9,11,83,12,15,10,0,4,11,0,5,6,62,9,0,5,0,0,0,0,0,6,28,9,12,3,0,0,0,0,5,13,40,89,137,108,52,51,121,23,76,110,767,116,899,189,102,260,351,86,141,66,2207,287,1187,648,374,596,818,234,787,166,5104,384,792,687,412,743,1096,372,1315,172,5967,566,926,715,434,808,1342,453,1679,212,7141,466,1054,725,449,785,1287,397,1607,156,6932,372,928,688,480,696,1101,344,1394,102,6109,402,914,786,535,717,1104,327,1299,117,6199,440,977,816,538,694,1116,340,1346,124,6396,489,1014,767,565,589,938,281,1116,86,5847,444,1009,745,430,448,625,189,753,64,4703
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,3,0,13,0,0,0,0,9,7,0,32,7,55,9,7,0,0,4,3,3,60,0,91,26,8,0,5,4,8,5,103,9,165,47,3,0,0,5,10,4,143,3,221,36,0,0,3,0,8,3,123,0,189,34,0,6,0,7,8,5,133,0,196,43,9,6,0,5,8,6,148,4,223,27,0,3,4,0,5,0,107,3,149,8,0,0,0,4,5,0,44,5,61
