POW_GCCSA_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
5GPER,1961,1283,9173,2259,3411,818,1713,1325,291,22239,2095,1418,8808,1698,2278,608,1446,990,279,19623,1907,1122,6276,1103,1195,376,1207,603,221,14009,4031,1906,10196,1087,1308,518,2121,912,394,22466,1136,467,2364,87,255,101,415,138,110,5082,1783,448,1989,70,238,164,273,109,111,5198,127,53,612,194,100,80,92,105,340,1707,18036,10128,63521,29597,21367,10933,13149,13338,2842,182907,4,0,4,19,21,20,3,25,8,97,13,37,21,165,44,238,26,209,11,760,24,32,45,255,84,401,59,281,9,1180,12,24,80,212,91,300,54,219,8,1005,39,25,110,249,143,317,48,243,11,1182,66,47,246,369,246,395,69,326,10,1790,99,59,262,394,338,323,121,273,13,1870,133,46,280,374,495,256,226,303,24,2142,196,89,228,294,626,203,255,293,16,2204,124,93,158,173,390,81,123,109,16,1256,109,87,112,101,229,55,85,73,8,848,63,48,58,60,108,33,53,47,6,486
5RWAU,802,323,2604,627,879,208,857,717,117,7134,811,371,2986,557,602,143,1155,603,116,7352,647,265,2965,310,362,94,1445,475,87,6651,1241,653,9985,465,500,98,3985,886,279,18099,440,268,4280,44,149,31,951,190,119,6476,818,254,3851,27,137,49,636,159,129,6056,84,24,316,59,29,16,104,65,131,834,7559,3281,34012,8004,6388,2945,10844,7009,1381,81417,19,0,4,0,3,4,0,5,4,46,8,5,7,44,11,60,8,49,0,197,9,11,20,57,27,79,8,74,0,272,22,14,19,45,52,68,13,76,7,311,24,17,31,69,52,77,9,74,4,351,35,14,94,131,93,127,24,127,4,653,29,11,109,134,131,137,38,151,7,753,61,22,95,142,163,118,45,168,5,821,99,42,74,91,208,64,76,147,12,820,57,28,64,69,138,32,73,111,9,583,59,27,61,46,79,21,100,68,3,452,36,13,41,21,35,17,104,35,0,299
59499,94,65,1596,148,45,40,139,303,20,2449,125,49,1579,73,33,24,167,251,23,2324,76,48,1113,54,30,16,174,188,30,1725,146,100,1937,52,50,8,519,260,43,3123,39,38,548,11,15,3,134,57,17,850,89,28,552,3,16,4,96,46,16,857,9,4,110,3,0,3,27,30,26,207,894,615,11415,1997,477,324,1803,2717,291,20538,0,0,3,0,0,0,0,3,0,11,0,6,4,17,0,5,0,10,0,42,0,8,3,19,0,5,4,23,0,55,0,4,5,21,0,6,9,23,0,67,0,5,19,15,5,7,5,21,0,75,0,3,35,22,13,3,5,32,0,124,0,6,33,28,7,6,7,37,0,120,4,0,20,21,5,7,13,25,0,100,9,3,18,18,6,10,7,26,0,90,5,0,13,17,6,5,10,17,0,63,4,0,12,5,9,0,9,12,0,61,6,0,6,4,4,0,12,16,0,48
59799,0,0,5,0,0,0,0,0,0,15,0,0,9,0,0,0,3,6,0,24,0,4,13,0,0,0,3,4,0,30,0,8,53,3,5,0,14,31,0,115,0,9,61,0,0,0,18,13,3,102,7,8,175,3,6,0,28,10,9,247,0,0,0,0,0,0,0,3,4,9,17,33,344,13,13,0,72,79,15,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
