POW_GCCSA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
5GPER,3062,213,341,29,25,3676,18365,216,411,131,66,19184,2074,159,293,22,15,2558,7363,492,465,73,30,8425,21724,1761,1625,209,59,25374,4548,292,310,40,20,5206,1971,100,113,28,15,2229,4006,155,285,51,35,4532,90600,6522,7924,967,378,106400,4017,282,328,32,6,4668,7375,738,1363,258,136,9870,59126,3661,4174,611,411,67988,2494,195,205,59,222,3173,841764,57278,59418,9350,4320,972128
5RWAU,254,16,25,3,3,302,5168,43,78,17,35,5338,210,11,15,4,0,241,463,16,34,11,4,526,4405,216,277,54,18,4973,423,24,18,5,0,466,507,9,8,3,0,527,958,18,65,17,14,1068,15284,832,1456,415,128,18122,763,59,73,43,7,934,452,84,126,44,12,723,9128,375,517,118,67,10203,1806,151,217,127,159,2459,232439,14399,18952,6600,2330,274718
59499,128,32,97,0,3,252,324,12,78,10,3,426,68,12,76,0,0,158,217,29,99,4,4,358,647,105,248,17,6,1022,127,15,52,0,6,200,42,6,14,4,0,72,120,5,59,3,3,188,3618,694,2692,108,98,7208,124,22,76,4,3,230,139,25,95,0,0,266,2004,279,1041,46,48,3415,281,41,114,18,39,489,36070,5347,17340,1043,767,60566
59799,0,0,0,0,0,5,36,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,132,6,0,0,0,137,6,0,0,0,0,6,0,0,0,0,0,0,68,0,0,0,0,72,6,0,0,0,0,6,1334,16,17,4,11,1386
