POW_GCCSA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
5GPER,677,1184,1198,863,717,594,471,621,2318,8643,119691,239460,128885,120762,128674,81942,57760,79166,15782,972128
5RWAU,503,243,530,232,177,155,392,377,657,3277,36747,40391,53118,26721,26061,17220,36441,32945,5074,274718
59499,51,50,206,53,42,20,87,100,174,776,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
59799,0,0,0,0,0,0,0,6,8,18,61,233,528,45,42,6,168,258,46,1386
