POW_GCCSA_CODE_2021,M_AgFF_H_0,M_AgFF_H_1_19,M_AgFF_H_20_29,M_AgFF_H_30_34,M_AgFF_H_35_39,M_AgFF_H_40_44,M_AgFF_H_45_49,M_AgFF_H_50ov,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_19,M_Min_H_20_29,M_Min_H_30_34,M_Min_H_35_39,M_Min_H_40_44,M_Min_H_45_49,M_Min_H_50ov,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_19,M_Mnf_H_20_29,M_Mnf_H_30_34,M_Mnf_H_35_39,M_Mnf_H_40_44,M_Mnf_H_45_49,M_Mnf_H_50ov,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_19,M_EGWWS_H_20_29,M_EGWWS_H_30_34,M_EGWWS_H_35_39,M_EGWWS_H_40_44,M_EGWWS_H_45_49,M_EGWWS_H_50ov,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_19,M_Const_H_20_29,M_Const_H_30_34,M_Const_H_35_39,M_Const_H_40_44,M_Const_H_45_49,M_Const_H_50ov,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_19,M_WST_H_20_29,M_WST_H_30_34,M_WST_H_35_39,M_WST_H_40_44,M_WST_H_45_49,M_WST_H_50ov,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_19,M_RetT_H_20_29,M_RetT_H_30_34,M_RetT_H_35_39,M_RetT_H_40_44,M_RetT_H_45_49,M_RetT_H_50ov,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_19,M_AcFd_H_20_29,M_AcFd_H_30_34,M_AcFd_H_35_39,M_AcFd_H_40_44,M_AcFd_H_45_49,M_AcFd_H_50ov,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_19,M_TPW_H_20_29,M_TPW_H_30_34,M_TPW_H_35_39,M_TPW_H_40_44,M_TPW_H_45_49,M_TPW_H_50ov,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_19,M_IMT_H_20_29,M_IMT_H_30_34,M_IMT_H_35_39,M_IMT_H_40_44,M_IMT_H_45_49,M_IMT_H_50ov,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_19,M_FinIns_H_20_29,M_FinIns_H_30_34,M_FinIns_H_35_39,M_FinIns_H_40_44,M_FinIns_H_45_49,M_FinIns_H_50ov,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_19,M_RHRE_H_20_29,M_RHRE_H_30_34,M_RHRE_H_35_39,M_RHRE_H_40_44,M_RHRE_H_45_49,M_RHRE_H_50ov,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_19,M_ProSTS_H_20_29,M_ProSTS_H_30_34,M_ProSTS_H_35_39,M_ProSTS_H_40_44,M_ProSTS_H_45_49,M_ProSTS_H_50ov,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_19,M_AdSup_H_20_29,M_AdSup_H_30_34,M_AdSup_H_35_39,M_AdSup_H_40_44,M_AdSup_H_45_49,M_AdSup_H_50ov,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_19,M_PubAS_H_20_29,M_PubAS_H_30_34,M_PubAS_H_35_39,M_PubAS_H_40_44,M_PubAS_H_45_49,M_PubAS_H_50ov,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_19,M_EdTrn_H_20_29,M_EdTrn_H_30_34,M_EdTrn_H_35_39,M_EdTrn_H_40_44,M_EdTrn_H_45_49,M_EdTrn_H_50ov,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_19,M_HltHC_SA_H_20_29,M_HltHC_SA_H_30_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40_44,M_HltHC_SA_H_45_49,M_HltHC_SA_H_50ov,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_19,M_ArtsR_H_20_29,M_ArtsR_H_30_34,M_ArtsR_H_35_39,M_ArtsR_H_40_44,M_ArtsR_H_45_49,M_ArtsR_H_50ov,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_19,M_OthSvs_H_20_29,M_OthSvs_H_30_34,M_OthSvs_H_35_39,M_OthSvs_H_40_44,M_OthSvs_H_45_49,M_OthSvs_H_50ov,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_19,M_IDNS_H_20_29,M_IDNS_H_30_34,M_IDNS_H_35_39,M_IDNS_H_40_44,M_IDNS_H_45_49,M_IDNS_H_50ov,M_IDNS_H_NS,M_IDNS_H_Tot
5GPER,101,366,354,270,534,831,273,814,63,3599,2115,817,654,507,3174,8214,3482,11486,389,30836,930,1638,1512,1219,9651,11253,4599,7697,260,38764,241,241,207,235,2146,2223,839,1552,67,7742,1573,2661,2708,2696,8731,19238,6497,16166,723,60989,450,808,703,591,3881,5381,1876,3791,119,17587,1038,8980,5265,2639,7174,6737,2267,4362,341,38798,680,10315,4733,1982,3716,3435,1256,2814,338,29276,1437,2224,2541,1778,5417,8479,3371,7211,440,32903,117,530,369,275,1332,1502,357,697,22,5207,221,486,497,418,2692,3851,1001,2229,49,11450,111,611,505,331,1103,1717,747,1849,52,7024,956,2621,2138,1868,8720,15967,4296,8862,198,45624,410,1949,1779,892,2377,2763,741,1647,131,12689,1517,1560,1313,1056,9341,10287,2908,4156,224,32368,622,3659,1902,1382,4986,5428,1837,3429,122,23374,946,2941,3086,2795,7719,6440,1832,3659,227,29651,284,2201,923,666,1598,1511,438,913,72,8604,453,1515,1404,962,4037,5109,1821,3527,223,19048,720,2305,1638,1254,5354,7326,1995,4561,4038,29194
5RWAU,621,985,868,718,1039,2854,1255,6742,276,15360,5159,1194,1003,287,1788,2980,4084,26673,797,43969,534,423,375,323,1771,2679,1397,2781,103,10388,143,101,78,82,598,693,327,816,34,2876,941,713,672,628,1686,3599,1572,8519,283,18610,173,173,127,84,390,956,526,1479,35,3940,249,1502,781,526,1243,1363,535,1077,78,7347,314,1692,771,476,886,943,381,1742,127,7336,608,567,554,360,772,1477,700,3525,144,8702,12,56,40,25,105,125,49,98,3,514,22,36,36,43,129,186,74,162,3,692,60,90,73,46,127,223,110,565,10,1312,107,275,229,179,456,829,278,1173,33,3556,183,374,290,219,406,437,243,959,45,3151,501,336,237,204,1779,2347,660,1160,70,7291,162,414,312,322,894,1096,420,693,38,4353,241,443,510,503,1220,1053,289,673,55,4984,43,222,96,60,161,157,51,143,12,943,180,323,194,168,703,1235,502,1555,64,4925,354,485,296,211,697,1053,417,1689,1234,6450
59499,96,118,104,83,71,201,79,344,28,1134,881,118,137,39,174,249,239,2941,102,4881,68,72,57,47,147,170,60,225,10,854,34,17,18,21,65,72,23,106,6,372,798,1181,1390,1437,2381,4939,1499,3857,266,17734,31,34,18,19,94,144,40,137,0,517,39,115,89,52,118,138,43,109,9,715,67,130,78,46,42,51,24,137,11,579,205,526,559,331,370,633,192,801,84,3695,17,75,31,18,78,88,16,46,6,371,17,44,19,20,33,51,17,39,0,234,13,46,34,19,18,42,17,54,0,244,66,264,137,85,144,289,69,313,16,1390,154,725,545,310,370,419,100,356,43,3021,86,123,78,47,99,203,62,173,14,878,38,337,119,57,47,74,14,38,3,736,73,306,204,130,163,145,48,100,10,1177,13,259,71,38,26,41,13,33,3,491,83,206,177,117,191,279,92,311,22,1481,169,240,170,134,239,351,108,368,313,2082
59799,3,0,0,0,5,0,0,13,4,29,91,7,3,4,8,15,10,328,5,474,7,0,0,0,0,0,0,30,0,47,0,0,0,0,0,0,0,24,0,30,23,4,3,0,6,4,0,117,0,162,0,0,0,0,0,0,0,4,0,8,17,0,0,0,0,5,0,52,0,80,7,6,3,0,0,3,0,31,0,48,20,9,0,3,0,0,0,76,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,16,0,25,8,0,3,0,0,4,5,24,0,54,0,0,0,0,0,5,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,28,4,0,0,5,6,5,107,6,154
